Index,Question,Q_KeyEntities,Q_KGEntities,Answer,A_KeyEntities,A_KGEntities
31,"Doctor, I have been feeling very fatigued lately and my abdomen feels swollen and tender. I am also experiencing jaundice in my eyes. Could it be a liver problem?","['Fatigue', 'Abdominal swelling', 'Abdominal tenderness', 'Jaundice', 'Liver problem']","['Fatigue', 'Swollen_abdomen', 'Sharp_abdominal_pain', 'Jaundice', 'Liver_cancer']","Based on your symptoms, it is possible that you may have cirrhosis, a liver disease. We will need to run a battery of medical tests to confirm the diagnosis, including hematologic tests, complete blood count, glucose measurement, an electrolyte panel, a lipid panel, liver function tests, and hemoglobin A1c measurement.","['Cirrhosis', 'Liver disease', 'Hematologic tests', 'Complete blood count', 'Glucose measurement', 'Electrolyte panel', 'Lipid panel', 'Liver function tests', 'Hemoglobin A1c measurement']","['Cirrhosis', 'Liver_cancer', 'Hematologic_tests_(Blood_test)', 'Complete_blood_count_(Cbc)', 'Glucose_measurement_(Glucose_level)', 'Electrolytes_panel', 'Lipid_panel', 'Liver_function_tests_(Liver_test)', 'Hemoglobin_A1c_measurement_(Hemoglobin_a1c_test)']"
32,"Doctor, I think I might have a thoracic aortic aneurysm, can you please tell me what tests I need to do?","['Thoracic aortic aneurysm', 'Diagnostic tests']","['Thoracic_aortic_aneurysm', 'Hematologic_tests_(Blood_test)']","You will need to undergo a radiographic imaging procedure along with an electrocardiogram to diagnose a thoracic aortic aneurysm. Additionally, you will also need to do hematologic tests, a complete blood count, X-ray computed tomography, glucose measurement to check your glucose level, and kidney function tests to check your kidney function.","['Radiographic imaging procedure', 'Electrocardiogram', 'Thoracic aortic aneurysm', 'Hematologic tests', 'Complete blood count', 'X-ray computed tomography', 'Glucose measurement (Blood sugar)', 'Kidney function tests']","['Radiographic_imaging_procedure', 'Electrocardiogram', 'Thoracic_aortic_aneurysm', 'Hematologic_tests_(Blood_test)', 'Complete_blood_count_(Cbc)', 'X-ray_computed_tomography_(Scan_ct)', 'Glucose_measurement_(Glucose_level)', 'Kidney_function_tests_(Kidney_function_test)']"
33,"Hello, I've been experiencing some intense headaches recently and I'm worried it might be something serious.","['Headaches', 'Intense headaches', 'Serious condition potential']","['Headache', 'Frontal_headache', 'Hemarthrosis']","I'm sorry to hear that. Based on your symptoms, we will need to run some tests. We will perform a radiographic imaging procedure to see if there are any abnormalities in your brain.","['Radiographic imaging procedure', 'Abnormalities in brain']","['Radiographic_imaging_procedure', 'Seizures']"
34,"Doctor, I was diagnosed with congenital rubella. What medical tests do I need to undergo?","['congenital rubella', 'medical tests']","['Congenital_rubella', 'Hematologic_tests_(Blood_test)']",You need to undergo a corneal transplant.,['Corneal transplant'],['Corneal_transplant']
35,"Doctor, I have been recently diagnosed with diabetic retinopathy, what tests do I need to undergo?","['diabetic retinopathy', 'tests']","['Diabetic_retinopathy', 'Standard_pregnancy_test']","For your diabetic retinopathy, you will need to undergo an ophthalmic examination and evaluation, hemoglobin A1c measurement, and an ophthalmologic and otologic diagnosis and treatment. Additionally, you may also need other therapeutic procedures on eyelids, conjunctiva, cornea, repair of retinal tear, detachment, other extraocular muscle and orbit therapeutic procedures, and other intraocular therapeutic procedures based on your individual case.","['Diabetic retinopathy', 'Ophthalmic examination and evaluation', 'Hemoglobin A1c measurement', 'Ophthalmologic and otologic diagnosis and treatment', 'Therapeutic procedures on eyelids', 'conjunctiva', 'and cornea', 'Repair of retinal tear and detachment', 'Extraocular muscle and orbit therapeutic procedures', 'Intraocular therapeutic procedures']","['Diabetic_retinopathy', 'Ophthalmic_examination_and_evaluation_(Eye_exam)', 'Hemoglobin_A1c_measurement_(Hemoglobin_a1c_test)', 'Ophthalmologic_and_otologic_diagnosis_and_treatment', 'Other_therapeutic_procedures_on_eyelids;_conjunctiva;_cornea', 'Glaucoma', 'Corneal_disorder', 'Repair_of_retinal_tear;_detachment', 'Other_extraocular_muscle_and_orbit_therapeutic_procedures', 'Other_intraocular_therapeutic_procedures']"
36,"Doctor, I have been experiencing severe muscle pain, fatigue, and sleep disturbances for a few months now. I have done some research and I think I might have fibromyalgia, can you help me confirm it?","['Muscle pain', 'Fatigue', 'Sleep disturbances', 'Fibromyalgia diagnosis confirmation']","['Muscle_pain', 'Fatigue', 'Sleepiness', 'Fibromyalgia']","I'm sorry to hear that you've been experiencing those symptoms. Based on what you've told me, it is possible that you have fibromyalgia. In order to confirm the diagnosis, we will need to run multiple medical tests. These will include physical therapy exercises, magnetic resonance imaging (MRI), other therapeutic procedures, mammography (mammogram), depression screen (depression screening), other physical therapy, and rehabilitation, as well as a bone density scan. These tests will help us to determine the underlying cause of your symptoms and develop an effective treatment plan to manage your condition.","['Fibromyalgia', 'Physical therapy exercises', 'Magnetic resonance imaging (MRI)', 'Other therapeutic procedures', 'Mammography (Mammogram)', 'Depression screen (Depression screening)', 'Rehabilitation', 'Bone density scan']","['Fibromyalgia', 'Physical_therapy_exercises_(Exercises)', 'Magnetic_resonance_imaging_(Mri)', 'Other_therapeutic_procedures', 'Mammography_(Mammogram)', 'Depression_screen_(Depression_screening)', 'Other_physical_therapy_and_rehabilitation', 'Bone_density_scan']"
37,"Doctor, I'm experiencing abdominal pain and I think it might be related to my bowel. Can you help me?","['Abdominal pain', 'Bowel']","['Sharp_abdominal_pain', 'Diarrhea']","It is possible that you have ischemia of the bowel. To confirm the diagnosis, we need to perform some medical tests. We will need to conduct a complete blood count, a blood test to check your kidney function, glucose level tests, electrolytes panel, radiographic imaging procedures and a CT scan.","['Ischemia of the bowel', 'Complete blood count', 'Kidney function test', 'Glucose level tests', 'Electrolytes panel', 'Radiographic imaging procedures', 'CT scan']","['Ischemia_of_the_bowel', 'Complete_blood_count_(Cbc)', 'Kidney_function_tests_(Kidney_function_test)', 'Glucose_measurement_(Glucose_level)', 'Electrolytes_panel', 'Radiographic_imaging_procedure', 'X-ray_computed_tomography_(Scan_ct)']"
38,"Doctor, I think my child may have fetal alcohol syndrome. What tests are required to confirm this?","['Fetal alcohol syndrome', 'Required tests', 'Confirmation']","['Fetal_alcohol_syndrome', 'Other_diagnostic_procedures_(interview;_evaluation;_consultation)', 'Inactivated']","We recommend mental health counseling for both you and your child. Additionally, we will need to perform ophthalmologic and otologic diagnosis and treatment. We may also conduct a hemoglobin A1c measurement test. However, please be aware that a corneal transplant, procedures on the spleen or removal of ectopic pregnancy, and tracheostomy may not be necessary for a diagnosis of fetal alcohol syndrome as they are treatments for other medical conditions.","['Mental health counseling', 'Ophthalmologic diagnosis and treatment', 'Otologic diagnosis and treatment', 'Hemoglobin A1c measurement test']","['Mental_health_counseling', 'Ophthalmologic_and_otologic_diagnosis_and_treatment', 'Diagnostic_procedures_on_ear', 'Hemoglobin_A1c_measurement_(Hemoglobin_a1c_test)']"
39,"Doctor, I have been feeling some abdominal pain with fever for the last few days. I am worried it might be peritonitis.","['Abdominal pain', 'Fever', 'Peritonitis']","['Sharp_abdominal_pain', 'Fever', 'Peritonitis']","I'm sorry to hear that. To confirm whether or not you have peritonitis, we will need to conduct several medical tests including Hematologic tests, Radiographic imaging procedure, Complete blood count (CBC), Fluid replacement, X-ray computed tomography scan (CT scan), Kidney function tests (Kidney function tests), and Glucose measurement to check your glucose levels.","['Peritonitis', 'Hematologic tests', 'Radiographic imaging procedure', 'CBC', 'Fluid replacement', 'CT scan', 'Kidney function tests', 'Glucose measurement']","['Peritonitis', 'Hematologic_tests_(Blood_test)', 'Radiographic_imaging_procedure', 'Complete_blood_count_(Cbc)', 'Intravenous_fluid_replacement', 'X-ray_computed_tomography_(Scan_ct)', 'Kidney_function_tests_(Kidney_function_test)', 'Glucose_measurement_(Glucose_level)']"
40,"Doctor, I have this sharp pain in my abdomen. I think I might have injured myself.","['Abdominal pain', 'Injury']","['Sharp_abdominal_pain', 'Injury_to_the_knee']","Alright, we need to do a few tests to determine the cause of the pain. First, we will need to do a radiographic imaging procedure. We will also need to do some blood tests, including a complete blood count (CBC) and some hematology tests. Additionally, we may need to do a scan CT to get a better look at the injury. We will also do a urinalysis and kidney function tests. Based on the results, we may need to do intravenous fluid replacement.","['Radiographic imaging procedure', 'Blood tests (Complete blood count', 'Hematology tests)', 'CT scan', 'Urinalysis', 'Kidney function tests', 'Intravenous fluid replacement.']","['Radiographic_imaging_procedure', 'Hematologic_tests_(Blood_test)', 'Hemoglobin_A1c_measurement_(Hemoglobin_a1c_test)', 'X-ray_computed_tomography_(Scan_ct)', 'Urinalysis', 'Kidney_function_tests_(Kidney_function_test)', 'Intravenous_fluid_replacement']"
