Q_ID,Reference_Ans,output1,output2,output3,output4,output5,output6,output7,output8,output1_precision,output1_recall,output1_f1,output2_precision,output2_recall,output2_f1,output3_precision,output3_recall,output3_f1,output4_precision,output4_recall,output4_f1,output5_precision,output5_recall,output5_f1,output6_precision,output6_recall,output6_f1,output7_precision,output7_recall,output7_f1,output8_precision,output8_recall,output8_f1
4,"Cryptorchidism. The patient states they have cryptorchidism, and the symptoms align with potential issues related to the scrotum and testes.",Cryptorchidism. The presentation of undescended testicles is a classic symptom of cryptorchidism.\n\n,"Cryptorchidism is the most likely diagnosis given the patient’s presentation of undescended testicles.  The condition involves the incomplete descent of one or both testicles, which can lead to various complications and potential pain.\n\n",Cryptorchidism is the most likely diagnosis given the patient’s presentation of undescended testicles. It’s a condition where the testes haven’t descended into the scrotum during development.\n\n,Cryptorchidism is the most likely diagnosis given the patient’s presentation of undescended testicles. It’s a condition where the testes haven’t descended into the scrotum during fetal development.\n\n,"Cryptorchidism. The patient’s condition – the incomplete descent of testicles – is a hallmark of cryptorchidism. While other conditions could present with similar symptoms, cryptorchidism is a significant and often requiring medical attention diagnosis.\n\n","\n   Cryptorchidism is a condition where testicles are not descended into the scrotum during fetal development. It's a congenital condition, meaning it's present at birth. It's often associated with hormonal imbalances and can lead to complications if left untreated.\n\n",Cryptorchidism\n,"\n\nBased on the patient’s description – cryptorchidism – the most likely disease is **Congenital Cryptorchidism**.\n\n*   **Explanation:** Cryptorchidism is a condition where one or both testicles fail to descend into the scrotum during fetal development. This is a relatively common condition, particularly in males, and often has a genetic component. It’s a significant medical issue that can impact fertility and overall health.\n\n",0.818244457244873,0.8445539474487305,0.8311910629272461,0.7950783967971802,0.8653994798660278,0.8287498354911804,0.7923007607460022,0.8769208192825317,0.8324658870697021,0.7899320125579834,0.8758232593536377,0.8306632041931152,0.8275322914123535,0.8739531636238098,0.8501095175743103,0.7556060552597046,0.8545628786087036,0.8020436763763428,0.8148229122161865,0.7181075811386108,0.7634142637252808,0.7561757564544678,0.8786686062812805,0.8128331899642944
5,"Poisoning due to ethylene glycol. The patient states they ingested ethylene glycol, and the symptoms listed in the table for this poisoning match the patient's statement.","\n   Ethylene glycol poisoning is a serious condition that can lead to severe neurological effects, including seizures, coma, and death. The symptoms described – nausea, vomiting, and potential respiratory distress – are consistent with this.\n\n","Poisoning due to ethylene glycol is a serious concern, and the symptoms described – particularly the rapid onset of symptoms and potential for severe complications – strongly suggest this possibility.  The combination of ethylene glycol poisoning and the sudden onset of symptoms warrants immediate medical attention.\n\n","The patient’s symptoms – excessive anger, possible depression, and possible poisoning due to ethylene glycol – strongly suggest a possible neurotoxic effect.  Ethylene glycol is a highly toxic substance that can disrupt the central nervous system, leading to psychological distress and potentially triggering depressive episodes.\n\n","The patient's symptoms – particularly the sudden onset of severe throat pain, hoarseness, and potential difficulty swallowing – strongly suggest a possible acute poisoning, specifically ethylene glycol poisoning.  The combination of these symptoms is highly indicative of a severe metabolic disruption caused by the ingestion of a toxic substance.\n\n","\n   Ethylene glycol poisoning is a serious condition that can lead to severe neurological effects, including seizures, coma, and death. The symptoms described – nausea, vomiting, and potential respiratory distress – are consistent with this type of poisoning.\n\n","\n   Ethylene glycol poisoning is a serious condition that can lead to severe neurological effects, including seizures, coma, and death. The symptoms described – rapid onset of vomiting, disorientation, and potential respiratory distress – are highly suggestive of this type of poisoning.\n\n",The patient is experiencing potential poisoning due to ethylene glycol.\n,"\n\nBased on the patient’s description – drinking ethylene glycol – the most likely disease is **Acute Hepatic Encephalopathy (AHE)**, often referred to as “poisoning of the liver.”  Ethylene glycol is a metabolic poison that primarily affects the liver, leading to a buildup of toxic metabolites.  This can cause neurological symptoms, confusion, altered mental status, and ultimately, coma.  While other possibilities exist, AHE is the most concerning given the immediate symptoms.\n\n",0.7588465213775635,0.8262828588485718,0.7911301851272583,0.8073548078536987,0.8507452011108398,0.8284822702407837,0.7668741941452026,0.8440527319908142,0.8036146759986877,0.766469419002533,0.8449653387069702,0.8038055896759033,0.7614306211471558,0.8272436857223511,0.7929739356040955,0.7546430826187134,0.8248565793037415,0.788189172744751,0.8693297505378723,0.8243815898895264,0.8462592363357544,0.7357488870620728,0.8561723828315735,0.7914057970046997
14,"Injury to the knee. The symptoms ""Knee pain"" and ""Problems with movement"" are listed for this disease. The inability to put weight on the knee further supports this diagnosis.","Possible knee injury due to a fall or sudden movement, potentially involving ligament damage or meniscus tear.  The pain and inability to put weight on the leg strongly suggest a significant injury.\n\n","\n   Laryngitis – Inflammation of the larynx (voice box) is a common cause of hoarseness and throat discomfort, often triggered by overuse of the voice or infection.\n\n","The patient’s symptoms – severe knee pain, inability to put weight on the leg, and the possibility of a possible injury to the abdomen – strongly suggest a possible musculoskeletal injury, specifically a knee injury.  The pain is localized to the knee, and the inability to weight-bear indicates a significant joint issue.\n\n","The patient’s symptoms – severe knee pain, inability to put weight on the leg, and the possibility of a possible injury to the abdomen – strongly suggest a possible fracture or dislocation of the knee.  The pain is likely related to the joint itself, and the inability to weight-bear indicates a significant instability.\n\n","\nLaryngitis – Inflammation of the larynx (voice box) is a common cause of hoarseness and throat discomfort, often triggered by overuse or injury.\n\n","The patient's symptoms – a sudden, sharp pain in the knee, inability to put weight on it, and potential for swelling – strongly suggest a possible fracture or dislocation of the knee joint. While other possibilities exist, this is the most likely diagnosis given the acute onset and accompanying symptoms.\n\n","The patient likely has laryngitis, an inflammation of the vocal cords.\n","\n\nBased on the patient’s description – a sudden, severe knee pain while playing football, inability to put weight, and potential for damage – the most likely diagnosis is **Meniscal Tear**.\n\n*   **Explanation:** Meniscal tears are a common injury in athletes, particularly those involved in high-impact activities like football. The sudden, sharp pain, locking/catching sensation, and inability to bear weight are classic symptoms. The pain often radiates down the leg, and the tear can involve the cartilage and the meniscal fibers.\n\n",0.7998021841049194,0.845039963722229,0.8217989802360535,0.7229644060134888,0.7571468949317932,0.739660918712616,0.8064655661582947,0.8537209630012512,0.8294206857681274,0.8157114386558533,0.8514589071273804,0.8332020044326782,0.7276828289031982,0.754723846912384,0.740956723690033,0.7987378835678101,0.8513578176498413,0.8242088556289673,0.7369034886360168,0.7430821657180786,0.7399798631668091,0.7235439419746399,0.8255310654640198,0.7711802124977112
18,"Tinnitus of unknown cause. The primary symptom aligns directly with the definition of the disease. Mastoiditis, while it can also cause ringing in the ears, typically presents with additional symptoms like pain, redness, and swelling behind the ear.",Ringing in the ears (Tinnitus) – The patient’s primary complaint of continuous ringing in their ears is a significant indicator of a potential auditory problem.\n\n,Ringing in the ears (Tinnitus) – The patient’s primary complaint of continuous ringing in their ears is a significant indicator of a potential auditory problem.\n\n,"\n   The patient’s symptoms – continuous ringing in the ears, coupled with a persistent worry – strongly suggest **Meniere's Disease**. This condition is characterized by fluctuating hearing loss, tinnitus, and vertigo. It’s a complex inner ear disorder with a genetic component.\n\n","Tinnitus of unknown cause. The patient's description of continuous ringing in the ears is a prominent symptom of tinnitus, which is a condition where hearing is perceived as ringing, buzzing, or hissing, even when no external sound is present.  The lack of a clear cause makes it a diagnosis requiring further investigation.\n\n","\n   The patient’s symptoms – continuous ringing in the ears, coupled with worry – strongly suggest **Meniere’s Disease**. This condition is characterized by fluctuating hearing loss, tinnitus, and vertigo. It’s often linked to fluid buildup in the inner ear.\n\n","Ringing in the ears (Tinnitus) – The patient’s primary complaint of continuous ringing in their ears is a significant indicator of a neurological issue, which is a common presentation of tinnitus.\n\n","\nThe patient is experiencing tinnitus, which is a persistent ringing in the ears.\n","\n\nBased on the patient’s description – continuous, persistent ringing in the ears – the most likely disease is **Meniere’s Disease**.\n\n*   **Why?** Meniere’s Disease is a chronic disorder affecting the inner ear. It’s characterized by episodes of vertigo (dizziness), tinnitus (ringing in the ears), hearing loss, and a feeling of fullness in the ear. The symptoms often fluctuate in intensity and can be quite debilitating. The continuous nature of the ringing is a hallmark of this condition.\n\n",0.8019659519195557,0.7902072668075562,0.7960432171821594,0.8019659519195557,0.7902072668075562,0.7960432171821594,0.788353443145752,0.8237287998199463,0.8056529760360718,0.8181806802749634,0.8453106880187988,0.8315244913101196,0.7986425161361694,0.8279232978820801,0.8130193948745728,0.8097653388977051,0.8081221580505371,0.8089429140090942,0.808100700378418,0.7791226506233215,0.7933472394943237,0.7700836658477783,0.8311817646026611,0.7994670867919922
27,"Atelectasis. The patient reports shortness of breath, difficulty breathing, and a feeling of compression in the chest. Atelectasis is the only condition in the table that presents with shortness of breath, difficulty breathing, and sharp chest pain as symptoms.","\n\nBased on the patient's symptoms – difficulty breathing, chest tightness, and feeling compressed – the most likely disease is **Atelectasis**. Atelectasis refers to the collapse of alveoli (air sacs) in the lungs, which can be caused by various factors, including inflammation, fluid buildup, or other conditions. It can manifest as shortness of breath and chest discomfort.\n\n","Pulmonary eosinophilia – The patient’s difficulty breathing, chest compression, and shortness of breath are all consistent with a possible allergic reaction or inflammatory process affecting the lungs. This is a concerning possibility requiring further investigation.\n\n","The patient’s symptoms – difficulty breathing, chest tightness, and shortness of breath – strongly suggest a potential issue with the respiratory system, specifically a collapsed lung or pulmonary edema. This is often associated with a significant decrease in lung volume.\n\n","\n   The patient’s symptoms – difficulty breathing, chest tightness, and shortness of breath – strongly suggest a potential issue with the respiratory system, specifically a collapsed lung or pulmonary edema. This is often associated with a significant decrease in lung volume.\n\n","\nBased on the patient's reported symptoms – difficulty breathing, chest tightness, and a feeling of compression – the most likely diagnosis is **Acute Asthma**. The combination of wheezing, shortness of breath, and chest tightness are classic symptoms of asthma exacerbation.\n\n","\nBased on the patient's reported symptoms – difficulty breathing, chest tightness, and a feeling of compression – the most likely diagnosis is **Acute Asthma**. The combination of wheezing, shortness of breath, and chest tightness are classic symptoms of asthma exacerbation.\n\n","\n    The patient is experiencing symptoms suggestive of Asthma, specifically shortness of breath and chest tightness.\n","\n\nBased on the patient’s description of labored breathing, chest discomfort, and difficulty taking deep breaths, the most likely diagnosis is **Asthma**.\n\n*   **Explanation:** Asthma is a chronic inflammatory disease of the airways that causes them to narrow, making it difficult to breathe. The symptoms – labored breathing, chest discomfort, and difficulty with deep breaths – are classic signs of airway constriction.  The feeling of compression in the chest is a common symptom, often associated with asthma.\n\n",0.8040486574172974,0.890144944190979,0.844909131526947,0.792885422706604,0.840949535369873,0.8162105679512024,0.8141189217567444,0.8346163034439087,0.8242401480674744,0.8042958378791809,0.8315701484680176,0.8177056908607483,0.82110995054245,0.855193018913269,0.8378050327301025,0.82110995054245,0.855193018913269,0.8378050327301025,0.8204374313354492,0.8052104115486145,0.8127526044845581,0.7797043323516846,0.8340446949005127,0.8059595823287964
30,"Injury to the hip. The patient reports hip pain and difficulty moving, which aligns with the symptoms listed for ""Injury to the hip"" in the table. Leg pain is also a symptom associated with this injury.","Hip fracture. The patient’s symptoms – pain, difficulty moving, and a possible injury – strongly suggest a hip fracture.  The combination of these symptoms is a significant concern and warrants immediate medical evaluation.\n\n","\n   Hip fracture is the most likely diagnosis given the symptoms of severe pain, difficulty moving, and a recent injury.\n\n","The patient’s symptoms – a significant pain in the hip, difficulty moving, and a possible headache – strongly suggest a possible injury to the hip, potentially involving a fracture or dislocation.  The pain radiating to the head could be related to the hip injury.\n\n","The patient's symptoms – a significant hip injury, pain, and difficulty moving – strongly suggest a musculoskeletal issue, potentially involving the hip joint. While other conditions could present with similar symptoms, the combination of these findings warrants consideration of a hip injury.\n\n","Hip fracture. The symptoms of severe pain, difficulty moving, and a history of a fall or injury strongly suggest a possible hip fracture.\n\n","Hip fracture. The symptoms of significant pain, difficulty moving, and a possible injury to the hip are highly suggestive of a hip fracture.\n\n","\nThe patient is experiencing potential hip injury, likely due to the pain and difficulty moving.\n","\n\nBased on the patient’s description – “I think I injured my hip while running yesterday, it hurts a lot and I have difficulty moving” – the most likely disease is **Hip Bursitis**.\n\n*   **Why?** Hip bursitis is inflammation of the bursa, a fluid-filled sac that cushions the hip joint.  A sudden, forceful impact like running can irritate the bursa, causing pain, swelling, and difficulty moving. The pain is often localized to the hip joint and can radiate down the thigh.\n\n",0.8091567754745483,0.8219292163848877,0.8154929876327515,0.7942867875099182,0.804149866104126,0.799187958240509,0.817969799041748,0.8420661091804504,0.8298431038856506,0.7968383431434631,0.8292346596717834,0.8127137422561646,0.8052428364753723,0.8070855140686035,0.8061631917953491,0.8345180749893188,0.8439345359802246,0.8391999006271362,0.8093565106391907,0.8004595041275024,0.8048834204673767,0.7336034774780273,0.8127416968345642,0.7711475491523743
46,Emphysema. Both shortness of breath and a cough are symptoms associated with emphysema according to the table.,"Emphysema is a possible diagnosis given the symptoms of shortness of breath, coughing up phlegm, and chest tightness. Emphysema is a chronic lung disease characterized by damage to the air sacs (alveoli) in the lungs.\n\n","Emphysema is a possible diagnosis, though it’s important to rule out other conditions. Emphysema is a chronic lung disease characterized by airflow obstruction and mucus buildup. It’s often associated with smoking and chronic bronchitis.\n\n","Thoracic aortic aneurysm. The patient’s shortness of breath and coughing up phlegm are classic symptoms associated with aortic aneurysms, which can be a serious condition requiring immediate medical attention.\n\n","Thoracic aortic aneurysm. The patient’s shortness of breath and coughing up phlegm are classic symptoms associated with aortic aneurysms, which can sometimes cause chest pain and shortness of breath.  The phlegm could be a result of the aneurysm's pressure on the surrounding tissues.\n\n","Emphysema. The symptoms of shortness of breath, coughing up phlegm, and chest tightness are classic indicators of emphysema.  The combination of these symptoms, particularly the presence of phlegm, points towards a potential lung condition.\n\n","Emphysema.  The patient's symptoms – shortness of breath, coughing up phlegm – are classic signs of chronic obstructive pulmonary disease (COPD), which frequently presents with emphysema.  The combination of these symptoms, particularly the phlegm, warrants consideration of this diagnosis.\n\n","Possible disease – Emphysema, given the symptoms of shortness of breath, coughing up phlegm, and chest tightness.\n","\n\nBased on the symptoms – shortness of breath and coughing up phlegm – the most likely disease is **Chronic Obstructive Pulmonary Disease (COPD)**.\n\n*   **Why?** These symptoms are classic signs of COPD, a progressive lung disease that makes it difficult to breathe. The combination of shortness of breath and phlegm (mucus) is a hallmark of this condition. While emphysema is a component of COPD, it’s not always the primary cause. Other conditions can present with similar symptoms, but COPD is the most probable diagnosis given the combination of symptoms.\n\n",0.7944871187210083,0.8630726337432861,0.827360987663269,0.7705276012420654,0.8230536580085754,0.7959250211715698,0.7768683433532715,0.8264971971511841,0.8009147047996521,0.7712664604187012,0.8236128687858582,0.7965806126594543,0.8241399526596069,0.8903650641441345,0.8559735417366028,0.781740665435791,0.8786166906356812,0.8273524641990662,0.8272778391838074,0.8502048254013062,0.8385846614837646,0.7309902906417847,0.8355951905250549,0.779800295829773
49,"Teething. Fussy and irritable behavior in a baby is a common symptom associated with teething. While other conditions could cause fussiness, teething is a frequent and often expected developmental stage.","Teething syndrome is a possibility, given the patient's fussy and irritable behavior, and the reported symptoms of teething. However, it’s important to rule out other potential causes.\n\n","Teething syndrome is a possibility, given the fussy and irritable behavior, and the presence of symptoms like teething syndrome. However, it’s important to rule out other potential causes.\n\n","\n   Laryngitis – This is a common condition in infants experiencing teething, and the symptoms described (fussy, irritable, fussy, and possibly cough) align well with this.\n\n","\n   Laryngitis is the most likely diagnosis given the patient’s symptoms – fussy behavior, irritability, and the presence of a hoarse voice. It’s a common condition associated with teething, and the potential for it to be related to other issues like reflux or post-nasal drip is also possible.\n\n","Teething syndrome is a possibility, as it can cause irritability, fussiness, and changes in appetite. However, given the specific mention of \"" teething syndrome\"", it’s important to consider other potential causes.\n\n","Teething syndrome is a possibility, as it can cause irritability, fussiness, and changes in behavior in infants. However, it’s important to rule out other potential causes.\n\n",Teething syndrome\n,"\n\n**Teething Syndrome**\n\n*   **Explanation:** The patient’s description of a fussy, irritable baby, coupled with the belief that they are experiencing teething syndrome, strongly suggests this diagnosis. Teething is a common developmental process where infants experience discomfort due to the eruption of teeth, leading to irritability, sleep disturbances, and increased fussiness. It’s a very common cause of these behavioral changes in young babies.\n\n",0.8019086122512817,0.8581402897834778,0.8290720582008362,0.7927685379981995,0.8415439128875732,0.8164284229278564,0.7954949140548706,0.8527369499206543,0.8231219053268433,0.781485915184021,0.8592277765274048,0.8185150027275085,0.7650017738342285,0.8353913426399231,0.7986486554145813,0.8044114112854004,0.8563565015792847,0.829571545124054,0.7515371441841125,0.7284458875656128,0.7398113012313843,0.7785869836807251,0.8682916164398193,0.8209961652755737
54,"Postpartum depression. The patient reports feeling ""down and sad"" after giving birth, which aligns with the symptom of depression and the recent pregnancy listed for postpartum depression in the table.","Postpartum Depression (PPD) is the most probable cause of your symptoms. It’s characterized by persistent sadness, hopelessness, anxiety, irritability, and difficulty enjoying activities you once loved.  The hormonal shifts, physical changes, and the immense responsibility of caring for a newborn can all contribute to these feelings.\n\n","Postpartum_depression is the most likely diagnosis given the patient’s reported feelings of sadness, lack of motivation, and sleep disturbances after childbirth. The combination of these symptoms, particularly the feeling of being “down and sad,” is a hallmark of postpartum depression.\n\n","Postpartum_depression. The patient’s feelings of sadness, hopelessness, and difficulty shaking off the postpartum period, coupled with the physical symptoms like restless leg syndrome and sleepiness, strongly suggest postpartum depression.\n\n","Postpartum Depression. The patient’s symptoms – feeling down, sadness, and difficulty shaking off postpartum depression – are classic signs of this condition. The timing of these symptoms after childbirth is a significant indicator.\n\n","\n   Based on the patient's presentation – persistent feelings of sadness, decreased energy, and a recent birth – the most likely diagnosis is **Postpartum Depression (PPD)**. This is a complex mood disorder that can significantly impact a woman's well-being. The combination of physical and emotional symptoms, often triggered by the postpartum period, is a hallmark of PPD.\n\n","Postpartum Depression\n    *   **Explanation:** The patient’s symptoms – persistent sadness, loss of interest in activities, sleep disturbances, changes in appetite, feelings of worthlessness, and anxiety – are all highly characteristic of postpartum depression. The fact that it’s been a few weeks since childbirth suggests it’s a developing condition.\n\n",Postpartum depression\n,"\n\nBased on the patient’s description – persistent feelings of sadness and depression following childbirth – the most likely disease is **Postpartum Depression (PPD)**.\n\n*   **Why:** PPD is a complex condition characterized by persistent sadness, hopelessness, anxiety, irritability, sleep disturbances, changes in appetite, and feelings of worthlessness following childbirth. It’s significantly more common than anxiety and can significantly impact a woman’s well-being.  The hormonal shifts and physical changes associated with pregnancy and childbirth can trigger this.\n\n",0.7561118602752686,0.7947062849998474,0.7749287486076355,0.8198529481887817,0.8490633368492126,0.8342025279998779,0.8153724670410156,0.8329048752784729,0.8240454196929932,0.8285132646560669,0.8537395000457764,0.8409372568130493,0.7716666460037231,0.8305515050888062,0.8000270128250122,0.7632785439491272,0.8283003568649292,0.7944612503051758,0.8226558566093445,0.7507229447364807,0.7850450277328491,0.7389015555381775,0.8267126679420471,0.780344545841217
59,"Uterine fibroids. The table lists uterine fibroids as a cause of intermenstrual bleeding, and it's a relatively common condition.","Uterine Fibroids. Uterine fibroids are non-cancerous growths in the uterus that can cause heavy bleeding, pelvic pain, and irregular periods. They are a common cause of heavy bleeding in women.\n\n",Idiopathic nonmenstrual bleeding (INMB) – This is a common condition where bleeding occurs between periods without a clear underlying cause. It’s often described as unpredictable.\n\n,"Idiopathic non-menstrual bleeding is a possible disease, and Intermenstrual bleeding is a possible disease, and Idiopathic non-menstrual bleeding is a symptom of it.\n","\n   Based on the patient's reported bleeding between periods, the most likely diagnosis is **Irregular Menstrual Cycle (IMC)**. This is a complex condition with various potential causes, and the bleeding can be a symptom of underlying issues.\n\n","Uterine Fibroids. Uterine fibroids are non-cancerous growths in the uterus that can cause heavy bleeding, pain, and irregular periods. They are a common cause of heavy bleeding in women.\n\n","Uterine Fibroids. Uterine fibroids are non-cancerous growths in the uterus that can cause heavy bleeding, pelvic pain, and irregular periods. They are a common cause of heavy bleeding in women.\n\n","Intermenstrual bleeding, potentially linked to uterine fibroids.\n","\n\nBased on the patient’s description of experiencing bleeding between periods, it’s most likely that they have **Endometriosis**.\n\n*   **Explanation:** Endometriosis is a condition where tissue similar to the lining of the uterus grows outside the uterus. This tissue can cause irregular bleeding, pain, and sometimes, bleeding between periods. It’s a very common condition, particularly in women of reproductive age.  The bleeding is often unpredictable and can be quite significant.\n\n",0.8198906183242798,0.8506481051445007,0.8349862694740295,0.786324143409729,0.8107365369796753,0.7983437776565552,0.828904926776886,0.8016867637634277,0.8150687217712402,0.773457407951355,0.7954072952270508,0.7842788100242615,0.82258141040802,0.8469610214233398,0.8345931768417358,0.8198906183242798,0.8506481051445007,0.8349862694740295,0.8713677525520325,0.8366917371749878,0.8536777496337891,0.7280916571617126,0.7843134999275208,0.7551575899124146
