Question_ID,first_output,second_output,compare_result
54,output1,output2,0
54,output1,output3,2
54,output1,output4,0
54,output1,output5,0
54,output1,output6,0
54,output1,output7,0
54,output2,output3,0
54,output2,output4,0
54,output2,output5,0
54,output2,output6,0
54,output2,output7,0
54,output3,output4,0
54,output3,output5,0
54,output3,output6,0
54,output3,output7,1
54,output4,output5,0
54,output4,output6,1
54,output4,output7,0
54,output5,output6,1
54,output5,output7,2
54,output6,output7,2
205,output1,output2,2
205,output1,output3,0
205,output1,output4,0
205,output1,output5,0
205,output1,output6,0
205,output1,output7,2
205,output2,output3,0
205,output2,output4,0
205,output2,output5,0
205,output2,output6,0
205,output2,output7,0
205,output3,output4,0
205,output3,output5,0
205,output3,output6,0
205,output3,output7,2
205,output4,output5,0
205,output4,output6,0
205,output4,output7,0
205,output5,output6,0
205,output5,output7,2
205,output6,output7,2
218,output1,output2,0
218,output1,output3,0
218,output1,output4,0
218,output1,output5,0
218,output1,output6,0
218,output1,output7,0
218,output2,output3,0
218,output2,output4,0
218,output2,output5,0
218,output2,output6,2
218,output2,output7,0
218,output3,output4,0
218,output3,output5,0
218,output3,output6,2
218,output3,output7,0
218,output4,output5,1
218,output4,output6,0
218,output4,output7,0
218,output5,output6,0
218,output5,output7,2
218,output6,output7,0
245,output1,output2,1
245,output1,output3,0
245,output1,output4,0
245,output1,output5,2
245,output1,output6,0
245,output1,output7,1
245,output2,output3,0
245,output2,output4,2
245,output2,output5,0
245,output2,output6,0
245,output2,output7,0
245,output3,output4,0
245,output3,output5,0
245,output3,output6,0
245,output3,output7,1
245,output4,output5,0
245,output4,output6,0
245,output4,output7,1
245,output5,output6,0
245,output5,output7,2
245,output6,output7,0
261,output1,output2,2
261,output1,output3,0
261,output1,output4,0
261,output1,output5,1
261,output1,output6,1
261,output1,output7,2
261,output2,output3,1
261,output2,output4,1
261,output2,output5,1
261,output2,output6,1
261,output2,output7,1
261,output3,output4,0
261,output3,output5,1
261,output3,output6,1
261,output3,output7,1
261,output4,output5,0
261,output4,output6,1
261,output4,output7,0
261,output5,output6,2
261,output5,output7,0
261,output6,output7,1
263,output1,output2,2
263,output1,output3,0
263,output1,output4,1
263,output1,output5,1
263,output1,output6,1
263,output1,output7,0
263,output2,output3,2
263,output2,output4,1
263,output2,output5,2
263,output2,output6,0
263,output2,output7,0
263,output3,output4,1
263,output3,output5,1
263,output3,output6,0
263,output3,output7,1
263,output4,output5,1
263,output4,output6,1
263,output4,output7,1
263,output5,output6,2
263,output5,output7,1
263,output6,output7,1
356,output1,output2,0
356,output1,output3,0
356,output1,output4,0
356,output1,output5,0
356,output1,output6,0
356,output1,output7,0
356,output2,output3,0
356,output2,output4,0
356,output2,output5,0
356,output2,output6,0
356,output2,output7,0
356,output3,output4,0
356,output3,output5,0
356,output3,output6,0
356,output3,output7,0
356,output4,output5,0
356,output4,output6,0
356,output4,output7,0
356,output5,output6,0
356,output5,output7,0
356,output6,output7,0
376,output1,output2,1
376,output1,output3,1
376,output1,output4,2
376,output1,output5,1
376,output1,output6,1
376,output1,output7,2
376,output2,output3,2
376,output2,output4,2
376,output2,output5,1
376,output2,output6,1
376,output2,output7,2
376,output3,output4,2
376,output3,output5,1
376,output3,output6,1
376,output3,output7,1
376,output4,output5,1
376,output4,output6,1
376,output4,output7,1
376,output5,output6,2
376,output5,output7,2
376,output6,output7,2
459,output1,output2,0
459,output1,output3,1
459,output1,output4,0
459,output1,output5,0
459,output1,output6,0
459,output1,output7,2
459,output2,output3,1
459,output2,output4,0
459,output2,output5,0
459,output2,output6,2
459,output2,output7,0
459,output3,output4,0
459,output3,output5,0
459,output3,output6,0
459,output3,output7,0
459,output4,output5,0
459,output4,output6,0
459,output4,output7,0
459,output5,output6,0
459,output5,output7,0
459,output6,output7,0
543,output1,output2,0
543,output1,output3,0
543,output1,output4,0
543,output1,output5,0
543,output1,output6,0
543,output1,output7,2
543,output2,output3,0
543,output2,output4,0
543,output2,output5,0
543,output2,output6,0
543,output2,output7,0
543,output3,output4,0
543,output3,output5,0
543,output3,output6,0
543,output3,output7,0
543,output4,output5,0
543,output4,output6,0
543,output4,output7,0
543,output5,output6,0
543,output5,output7,0
543,output6,output7,0
570,output1,output2,1
570,output1,output3,0
570,output1,output4,0
570,output1,output5,2
570,output1,output6,1
570,output1,output7,2
570,output2,output3,0
570,output2,output4,2
570,output2,output5,0
570,output2,output6,0
570,output2,output7,2
570,output3,output4,0
570,output3,output5,2
570,output3,output6,0
570,output3,output7,2
570,output4,output5,0
570,output4,output6,0
570,output4,output7,0
570,output5,output6,0
570,output5,output7,0
570,output6,output7,0
585,output1,output2,0
585,output1,output3,1
585,output1,output4,1
585,output1,output5,2
585,output1,output6,0
585,output1,output7,0
585,output2,output3,1
585,output2,output4,1
585,output2,output5,0
585,output2,output6,0
585,output2,output7,0
585,output3,output4,2
585,output3,output5,2
585,output3,output6,2
585,output3,output7,2
585,output4,output5,0
585,output4,output6,0
585,output4,output7,1
585,output5,output6,1
585,output5,output7,2
585,output6,output7,0
646,output1,output2,2
646,output1,output3,2
646,output1,output4,0
646,output1,output5,0
646,output1,output6,2
646,output1,output7,0
646,output2,output3,0
646,output2,output4,1
646,output2,output5,0
646,output2,output6,0
646,output2,output7,1
646,output3,output4,2
646,output3,output5,2
646,output3,output6,0
646,output3,output7,2
646,output4,output5,1
646,output4,output6,2
646,output4,output7,1
646,output5,output6,0
646,output5,output7,0
646,output6,output7,0
654,output1,output2,1
654,output1,output3,1
654,output1,output4,0
654,output1,output5,0
654,output1,output6,1
654,output1,output7,0
654,output2,output3,1
654,output2,output4,1
654,output2,output5,1
654,output2,output6,2
654,output2,output7,0
654,output3,output4,2
654,output3,output5,2
654,output3,output6,2
654,output3,output7,2
654,output4,output5,2
654,output4,output6,2
654,output4,output7,2
654,output5,output6,0
654,output5,output7,0
654,output6,output7,1
713,output1,output2,1
713,output1,output3,1
713,output1,output4,0
713,output1,output5,0
713,output1,output6,0
713,output1,output7,0
713,output2,output3,0
713,output2,output4,0
713,output2,output5,0
713,output2,output6,0
713,output2,output7,2
713,output3,output4,0
713,output3,output5,0
713,output3,output6,0
713,output3,output7,0
713,output4,output5,0
713,output4,output6,0
713,output4,output7,0
713,output5,output6,0
713,output5,output7,2
713,output6,output7,0
760,output1,output2,0
760,output1,output3,2
760,output1,output4,1
760,output1,output5,0
760,output1,output6,1
760,output1,output7,1
760,output2,output3,0
760,output2,output4,0
760,output2,output5,2
760,output2,output6,0
760,output2,output7,0
760,output3,output4,0
760,output3,output5,2
760,output3,output6,0
760,output3,output7,0
760,output4,output5,0
760,output4,output6,0
760,output4,output7,1
760,output5,output6,1
760,output5,output7,0
760,output6,output7,0
768,output1,output2,0
768,output1,output3,2
768,output1,output4,0
768,output1,output5,0
768,output1,output6,0
768,output1,output7,0
768,output2,output3,0
768,output2,output4,2
768,output2,output5,0
768,output2,output6,0
768,output2,output7,0
768,output3,output4,0
768,output3,output5,0
768,output3,output6,0
768,output3,output7,0
768,output4,output5,0
768,output4,output6,1
768,output4,output7,0
768,output5,output6,1
768,output5,output7,0
768,output6,output7,2
793,output1,output2,2
793,output1,output3,1
793,output1,output4,2
793,output1,output5,0
793,output1,output6,1
793,output1,output7,0
793,output2,output3,2
793,output2,output4,0
793,output2,output5,2
793,output2,output6,2
793,output2,output7,0
793,output3,output4,1
793,output3,output5,1
793,output3,output6,1
793,output3,output7,0
793,output4,output5,2
793,output4,output6,0
793,output4,output7,1
793,output5,output6,1
793,output5,output7,0
793,output6,output7,2
828,output1,output2,0
828,output1,output3,0
828,output1,output4,2
828,output1,output5,0
828,output1,output6,0
828,output1,output7,2
828,output2,output3,0
828,output2,output4,0
828,output2,output5,0
828,output2,output6,0
828,output2,output7,2
828,output3,output4,0
828,output3,output5,2
828,output3,output6,0
828,output3,output7,0
828,output4,output5,0
828,output4,output6,0
828,output4,output7,0
828,output5,output6,2
828,output5,output7,2
828,output6,output7,2
838,output1,output2,2
838,output1,output3,0
838,output1,output4,0
838,output1,output5,0
838,output1,output6,2
838,output1,output7,2
838,output2,output3,2
838,output2,output4,2
838,output2,output5,2
838,output2,output6,2
838,output2,output7,2
838,output3,output4,2
838,output3,output5,2
838,output3,output6,2
838,output3,output7,1
838,output4,output5,1
838,output4,output6,1
838,output4,output7,1
838,output5,output6,1
838,output5,output7,0
838,output6,output7,0
840,output1,output2,2
840,output1,output3,1
840,output1,output4,1
840,output1,output5,0
840,output1,output6,1
840,output1,output7,1
840,output2,output3,1
840,output2,output4,1
840,output2,output5,1
840,output2,output6,1
840,output2,output7,1
840,output3,output4,2
840,output3,output5,2
840,output3,output6,2
840,output3,output7,2
840,output4,output5,0
840,output4,output6,2
840,output4,output7,1
840,output5,output6,1
840,output5,output7,1
840,output6,output7,1
913,output1,output2,0
913,output1,output3,0
913,output1,output4,0
913,output1,output5,0
913,output1,output6,2
913,output1,output7,1
913,output2,output3,0
913,output2,output4,0
913,output2,output5,0
913,output2,output6,0
913,output2,output7,2
913,output3,output4,0
913,output3,output5,0
913,output3,output6,2
913,output3,output7,1
913,output4,output5,0
913,output4,output6,1
913,output4,output7,2
913,output5,output6,0
913,output5,output7,0
913,output6,output7,0
1023,output1,output2,1
1023,output1,output3,0
1023,output1,output4,1
1023,output1,output5,1
1023,output1,output6,0
1023,output1,output7,1
1023,output2,output3,0
1023,output2,output4,1
1023,output2,output5,1
1023,output2,output6,1
1023,output2,output7,1
1023,output3,output4,0
1023,output3,output5,2
1023,output3,output6,1
1023,output3,output7,0
1023,output4,output5,1
1023,output4,output6,2
1023,output4,output7,1
1023,output5,output6,0
1023,output5,output7,2
1023,output6,output7,0
1144,output1,output2,0
1144,output1,output3,0
1144,output1,output4,1
1144,output1,output5,1
1144,output1,output6,2
1144,output1,output7,0
1144,output2,output3,0
1144,output2,output4,2
1144,output2,output5,2
1144,output2,output6,2
1144,output2,output7,0
1144,output3,output4,0
1144,output3,output5,0
1144,output3,output6,0
1144,output3,output7,0
1144,output4,output5,0
1144,output4,output6,0
1144,output4,output7,0
1144,output5,output6,0
1144,output5,output7,0
1144,output6,output7,0
1274,output1,output2,1
1274,output1,output3,0
1274,output1,output4,1
1274,output1,output5,1
1274,output1,output6,2
1274,output1,output7,1
1274,output2,output3,0
1274,output2,output4,0
1274,output2,output5,2
1274,output2,output6,2
1274,output2,output7,2
1274,output3,output4,0
1274,output3,output5,2
1274,output3,output6,0
1274,output3,output7,0
1274,output4,output5,2
1274,output4,output6,1
1274,output4,output7,1
1274,output5,output6,0
1274,output5,output7,0
1274,output6,output7,1
1308,output1,output2,0
1308,output1,output3,2
1308,output1,output4,0
1308,output1,output5,0
1308,output1,output6,0
1308,output1,output7,2
1308,output2,output3,2
1308,output2,output4,0
1308,output2,output5,2
1308,output2,output6,2
1308,output2,output7,2
1308,output3,output4,0
1308,output3,output5,0
1308,output3,output6,1
1308,output3,output7,0
1308,output4,output5,2
1308,output4,output6,2
1308,output4,output7,2
1308,output5,output6,2
1308,output5,output7,2
1308,output6,output7,0
1333,output1,output2,2
1333,output1,output3,2
1333,output1,output4,0
1333,output1,output5,0
1333,output1,output6,0
1333,output1,output7,0
1333,output2,output3,2
1333,output2,output4,0
1333,output2,output5,0
1333,output2,output6,0
1333,output2,output7,2
1333,output3,output4,0
1333,output3,output5,0
1333,output3,output6,2
1333,output3,output7,0
1333,output4,output5,0
1333,output4,output6,0
1333,output4,output7,0
1333,output5,output6,0
1333,output5,output7,0
1333,output6,output7,0
1339,output1,output2,2
1339,output1,output3,0
1339,output1,output4,0
1339,output1,output5,0
1339,output1,output6,0
1339,output1,output7,0
1339,output2,output3,0
1339,output2,output4,0
1339,output2,output5,2
1339,output2,output6,0
1339,output2,output7,0
1339,output3,output4,0
1339,output3,output5,0
1339,output3,output6,2
1339,output3,output7,0
1339,output4,output5,0
1339,output4,output6,0
1339,output4,output7,0
1339,output5,output6,0
1339,output5,output7,2
1339,output6,output7,0
1402,output1,output2,2
1402,output1,output3,0
1402,output1,output4,0
1402,output1,output5,0
1402,output1,output6,2
1402,output1,output7,1
1402,output2,output3,1
1402,output2,output4,1
1402,output2,output5,1
1402,output2,output6,0
1402,output2,output7,2
1402,output3,output4,2
1402,output3,output5,0
1402,output3,output6,1
1402,output3,output7,2
1402,output4,output5,0
1402,output4,output6,1
1402,output4,output7,2
1402,output5,output6,2
1402,output5,output7,2
1402,output6,output7,2
1576,output1,output2,0
1576,output1,output3,0
1576,output1,output4,0
1576,output1,output5,0
1576,output1,output6,0
1576,output1,output7,1
1576,output2,output3,0
1576,output2,output4,2
1576,output2,output5,1
1576,output2,output6,2
1576,output2,output7,1
1576,output3,output4,0
1576,output3,output5,1
1576,output3,output6,0
1576,output3,output7,1
1576,output4,output5,0
1576,output4,output6,0
1576,output4,output7,1
1576,output5,output6,0
1576,output5,output7,1
1576,output6,output7,1
1629,output1,output2,0
1629,output1,output3,2
1629,output1,output4,0
1629,output1,output5,0
1629,output1,output6,0
1629,output1,output7,2
1629,output2,output3,0
1629,output2,output4,0
1629,output2,output5,2
1629,output2,output6,0
1629,output2,output7,0
1629,output3,output4,0
1629,output3,output5,2
1629,output3,output6,0
1629,output3,output7,2
1629,output4,output5,0
1629,output4,output6,2
1629,output4,output7,0
1629,output5,output6,2
1629,output5,output7,0
1629,output6,output7,1
1717,output1,output2,1
1717,output1,output3,1
1717,output1,output4,1
1717,output1,output5,1
1717,output1,output6,1
1717,output1,output7,0
1717,output2,output3,1
1717,output2,output4,1
1717,output2,output5,0
1717,output2,output6,0
1717,output2,output7,0
1717,output3,output4,2
1717,output3,output5,0
1717,output3,output6,2
1717,output3,output7,1
1717,output4,output5,2
1717,output4,output6,2
1717,output4,output7,0
1717,output5,output6,0
1717,output5,output7,0
1717,output6,output7,1
1729,output1,output2,1
1729,output1,output3,2
1729,output1,output4,2
1729,output1,output5,0
1729,output1,output6,2
1729,output1,output7,0
1729,output2,output3,2
1729,output2,output4,2
1729,output2,output5,0
1729,output2,output6,0
1729,output2,output7,1
1729,output3,output4,1
1729,output3,output5,1
1729,output3,output6,1
1729,output3,output7,1
1729,output4,output5,1
1729,output4,output6,1
1729,output4,output7,1
1729,output5,output6,1
1729,output5,output7,0
1729,output6,output7,1
1764,output1,output2,1
1764,output1,output3,2
1764,output1,output4,2
1764,output1,output5,2
1764,output1,output6,1
1764,output1,output7,2
1764,output2,output3,0
1764,output2,output4,1
1764,output2,output5,2
1764,output2,output6,0
1764,output2,output7,2
1764,output3,output4,0
1764,output3,output5,2
1764,output3,output6,2
1764,output3,output7,2
1764,output4,output5,2
1764,output4,output6,2
1764,output4,output7,2
1764,output5,output6,1
1764,output5,output7,2
1764,output6,output7,2
1792,output1,output2,1
1792,output1,output3,2
1792,output1,output4,2
1792,output1,output5,1
1792,output1,output6,1
1792,output1,output7,2
1792,output2,output3,1
1792,output2,output4,2
1792,output2,output5,1
1792,output2,output6,2
1792,output2,output7,1
1792,output3,output4,1
1792,output3,output5,1
1792,output3,output6,0
1792,output3,output7,1
1792,output4,output5,1
1792,output4,output6,1
1792,output4,output7,1
1792,output5,output6,0
1792,output5,output7,1
1792,output6,output7,1
1800,output1,output2,2
1800,output1,output3,0
1800,output1,output4,1
1800,output1,output5,0
1800,output1,output6,0
1800,output1,output7,0
1800,output2,output3,1
1800,output2,output4,1
1800,output2,output5,2
1800,output2,output6,2
1800,output2,output7,2
1800,output3,output4,1
1800,output3,output5,2
1800,output3,output6,2
1800,output3,output7,2
1800,output4,output5,2
1800,output4,output6,2
1800,output4,output7,2
1800,output5,output6,0
1800,output5,output7,1
1800,output6,output7,1
1806,output1,output2,0
1806,output1,output3,0
1806,output1,output4,2
1806,output1,output5,0
1806,output1,output6,2
1806,output1,output7,0
1806,output2,output3,2
1806,output2,output4,0
1806,output2,output5,2
1806,output2,output6,0
1806,output2,output7,0
1806,output3,output4,2
1806,output3,output5,0
1806,output3,output6,0
1806,output3,output7,0
1806,output4,output5,0
1806,output4,output6,0
1806,output4,output7,0
1806,output5,output6,2
1806,output5,output7,0
1806,output6,output7,0
1829,output1,output2,2
1829,output1,output3,0
1829,output1,output4,1
1829,output1,output5,0
1829,output1,output6,2
1829,output1,output7,2
1829,output2,output3,1
1829,output2,output4,1
1829,output2,output5,0
1829,output2,output6,0
1829,output2,output7,1
1829,output3,output4,1
1829,output3,output5,2
1829,output3,output6,2
1829,output3,output7,2
1829,output4,output5,2
1829,output4,output6,2
1829,output4,output7,0
1829,output5,output6,1
1829,output5,output7,1
1829,output6,output7,2
1867,output1,output2,0
1867,output1,output3,2
1867,output1,output4,0
1867,output1,output5,0
1867,output1,output6,0
1867,output1,output7,0
1867,output2,output3,2
1867,output2,output4,1
1867,output2,output5,0
1867,output2,output6,0
1867,output2,output7,0
1867,output3,output4,0
1867,output3,output5,0
1867,output3,output6,0
