Q_ID,Question,Reference Answer,Answer
5239,"Doctor, I'm experiencing some strange symptoms. I've been acting hostile towards my family, and I'm having problems with my movement. Also, I've noticed that I've been slurring my words lately.","1. **Most Likely Disease:** Substance-related mental disorder. While both stroke and substance-related mental disorder share the ""problems with movement"" symptom, substance-related mental disorder is the only disease listed with ""hostile behavior"" as a symptom, which the patient is experiencing. Slurred speech could potentially be related to a substance.

2. **Recommended Medication(s):**
    *   Lorazepam

3. **Suggested Medical Test(s):**
    *   Hematologic tests (Blood test)","**\n\n1. **Most Likely Disease:** Stroke.  The combination of hostile behavior (potentially indicative of a neurological event altering personality), movement problems, and slurred speech strongly suggests a stroke.  While a substance-related mental disorder could contribute to some of the symptoms, the motor deficits make a stroke the more probable diagnosis.\n\n2. **Recommended Medication(s):**  Treatment for stroke depends on the type and severity.  This is an emergency situation requiring immediate medical attention.  Potential medications include tissue plasminogen activator (tPA) to break up blood clots (if given within a specific timeframe), anticoagulants to prevent further clotting, and medications to manage blood pressure and prevent future strokes.  Rehabilitation therapies (physical, occupational, speech) will also be crucial for recovery.\n\n3. **Suggested Medical Test(s):**  A non-contrast CT scan of the brain is the initial imaging test of choice to quickly rule out a hemorrhagic stroke.  An MRI of the brain provides more detailed images to assess the extent and location of the stroke. Blood tests to check for blood clotting factors and other potential underlying causes are also necessary.  A neurological examination is crucial to fully assess the patient's neurological deficits.\n\n\n**"
913,"Hi Doctor, I've been feeling very weak and fatigued lately. I also noticed that my muscles have been shrinking and I'm having trouble building muscle. ","1. **Most Likely Disease:** Fibromyalgia. The symptoms of fatigue and muscle pain/difficulty building muscle align with the symptoms listed for fibromyalgia. While muscle wasting can occur in other conditions, it's not a primary feature listed in the table for Cirrhosis, whereas muscle pain and fatigue are core symptoms of Fibromyalgia.

2. **Recommended Medication(s):**
* Pregabalin (Lyrica)
* Tizanidine
* Nortriptyline
* Milnacipran (Savella)
* Chlorzoxazone
* Oxymorphone (Opana)

3. **Suggested Medical Test(s):**
* Physical therapy exercises (Exercises)
* Magnetic resonance imaging (Mri)
* Bone density scan
* Depression screen (Depression screening)","\n\n1. **Most Likely Disease:**\n\nBased on the symptoms of weakness, fatigue, and muscle shrinking/difficulty building muscle, several possibilities exist, and a definitive diagnosis cannot be made without further investigation. However, **muscle wasting conditions** (like muscular dystrophy or other myopathies) present a strong initial consideration.  These conditions are characterized by progressive muscle weakness and loss of muscle mass.  Other possibilities, while less likely given the provided information alone, include various metabolic disorders or neurological conditions affecting muscle function.\n\n\n2. **Recommended Medication(s):**\n\nNo specific medication can \""cure\"" muscle wasting conditions; the approach depends on the underlying cause.  Treatment may involve:\n\n* **Supportive care:** This focuses on managing symptoms like fatigue and pain.  This may involve nutritional support, physical therapy, and possibly medications to manage pain or other symptoms.\n* **Disease-specific treatments:**  If a specific underlying condition is identified (e.g., a specific type of muscular dystrophy), targeted therapies might be available. These are often experimental or under development and vary depending on the specific diagnosis.  Corticosteroids are sometimes used in certain muscular dystrophies, but they have potential side effects.\n\n\n3. **Suggested Medical Test(s):**\n\nTo determine the underlying cause, a comprehensive evaluation is necessary.  Tests may include:\n\n* **Creatine kinase (CK) blood test:**  Elevated CK levels often suggest muscle damage.\n* **Electromyography (EMG):**  This test assesses the electrical activity of muscles and nerves.\n* **Muscle biopsy:** A small sample of muscle tissue is examined under a microscope to assess muscle fiber structure and identify potential abnormalities.\n* **Genetic testing:**  This is particularly useful if a hereditary muscle disease is suspected (like muscular dystrophy).\n* **Metabolic panel:**  To rule out metabolic disorders affecting muscle function.\n* **Neurological examination:** To assess nerve function and rule out neurological causes of muscle weakness.\n\n\n"
205,"Hi doctor, I am experiencing some pain in my lower abdomen and after a few tests, I have been diagnosed with a benign kidney cyst. What medical tests do I need to undergo now? ","Since there is no reference table provided, I will answer based on my medical knowledge.

1. **Most Likely Disease:** Benign Kidney Cyst. The patient has already been diagnosed with this based on tests. While lower abdominal pain can have many causes, the question specifically states a diagnosis of a benign kidney cyst. Further testing is to monitor the cyst and rule out complications or other potential causes of the pain.

2. **Recommended Medication(s):**
    *   Pain relievers (e.g., Acetaminophen, Ibuprofen)

3. **Suggested Medical Test(s):**
    *   Repeat Ultrasound
    *   CT Scan of Abdomen and Pelvis
    *   MRI of Abdomen and Pelvis
    *   Urinalysis
    *   Blood Pressure Measurement","\n\n1. **Most Likely Disease:** Benign kidney cyst.  The patient has already been diagnosed with this condition.\n\n2. **Recommended Medication(s):**  There is no specific medication to \""cure\"" a benign kidney cyst.  Treatment focuses on managing symptoms and monitoring the cyst's growth.  Pain relievers like ibuprofen or acetaminophen might be recommended for pain management if needed.  In some cases,  surgery may be considered if the cyst causes significant pain or complications.\n\n3. **Suggested Medical Test(s):**  Since the patient already has a diagnosis, the next steps depend on the size and symptoms of the cyst.  Regular ultrasound monitoring is often recommended to track the cyst's growth.  If the cyst is large or causing symptoms, further imaging like a CT scan or MRI might be considered.  Blood tests may be ordered to rule out other conditions.\n\n\n"
2254,"Doctor, I am experiencing some pain and soreness in my breast, along with some back pain and difficulty breathing. What could be the problem?","1. **Most Likely Disease:** Dengue fever, Problem during pregnancy, Abscess of the lung.
The patient exhibits pain or soreness of the breast, which aligns with dengue fever, back pain, which aligns with problem during pregnancy, and difficulty breathing, which is related to abscess of the lung

2. **Recommended Medication(s):**
*   Acetaminophen
*   Multivitamin, Prenatal
*   Budesonide

3. **Suggested Medical Test(s):**
*   CT scan abdomen (Ct of abdomen)
*   Standard pregnancy test
*   Radiographic imaging procedure","\n\n1. **Most Likely Disease:** Ovarian torsion.  The combination of breast pain, back pain, and difficulty breathing, while not definitively pointing to ovarian torsion, warrants serious consideration due to the potential severity and the interconnectedness of these symptoms via abdominal involvement (as suggested by multiple knowledge graph paths).  Other possibilities exist, but ovarian torsion requires immediate attention.\n\n2. **Recommended Medication(s):**  There isn't a medication to \""cure\"" ovarian torsion; it's a surgical emergency.  Pain management with analgesics like morphine or other strong opioids might be administered prior to and post-surgery to alleviate pain.  Antiemetics (to prevent nausea and vomiting) might also be prescribed.\n\n3. **Suggested Medical Test(s):**  A pelvic ultrasound is crucial for diagnosing ovarian torsion.  It's a non-invasive imaging technique that can visualize the ovaries and detect twisting.  A blood test (CBC) may show signs of inflammation or infection, which could be related to torsion or its complications. Doppler ultrasound can assess blood flow to the ovary.  In some cases, a CT scan or MRI might be used for further evaluation if the ultrasound is inconclusive.\n\n\n"
2007,"Doctor, I've been experiencing shortness of breath, drainage in my throat, weakness in my wrist, and I've been coughing up blood. What could be the problem?","1. **Most Likely Disease:** Abscess of the lung. This is the most likely diagnosis as it is the only disease in the provided data that includes all the major symptoms: shortness of breath, drainage in the throat, wrist weakness (less directly related, but possible due to overall weakness), and coughing up blood (hemoptysis). Atelectasis, while having cough and shortness of breath, doesn't explain the hemoptysis, drainage in the throat or wrist weakness as well.

2. **Recommended Medication(s):**
* Meropenem
* Vancomycin
* Budesonide
* Dexamethasone Topical Product
* Docusate (Colace)

3. **Suggested Medical Test(s):**
* Radiographic imaging procedure
* X-ray computed tomography (Scan ct)
* Plain x-ray (X ray)
* Cardiac monitoring (Cardiac monitor)
* Hematologic tests (Blood test)
* Complete blood count (Cbc)
* Electrocardiogram","\n\n1. **Most Likely Disease:**\nLung Abscess.  The combination of shortness of breath, throat drainage, coughing up blood, and wrist weakness points towards a severe lung infection like a lung abscess. While other conditions are possible (as suggested by the provided data), the severity and combination of symptoms make a lung abscess the most likely candidate.\n\n\n2. **Recommended Medication(s):**\nTreatment for a lung abscess typically involves antibiotics (e.g., penicillin, cephalosporins, or other broad-spectrum antibiotics based on culture results). In some cases, drainage of the abscess might be necessary through surgery or minimally invasive procedures. Supportive care, including rest, adequate hydration, and pain management, is also crucial.\n\n\n3. **Suggested Medical Test(s):**\n* **Chest X-ray:** To visualize the lungs and identify the abscess.\n* **CT scan of the chest:**  Provides a more detailed image than a chest x-ray, allowing for better localization and characterization of the abscess.\n* **Sputum culture and sensitivity:**  To identify the specific bacteria causing the infection and guide antibiotic selection.\n* **Blood tests:** Complete blood count (CBC) to assess the overall health and infection markers, and possibly other tests depending on the suspected cause and overall patient condition.\n\n\n"
1829,"Doctor, I have been experiencing sharp chest pain along with an irregular heartbeat. What could be the problem?","1. **Most Likely Disease:**
Coronary atherosclerosis. This is because it's the only disease in the provided data that lists *both* sharp chest pain and irregular heartbeat as symptoms. While other diseases include sharp chest pain, they do not also list irregular heartbeat.

2. **Recommended Medication(s):**
Aspirin

3. **Suggested Medical Test(s):**
Electrocardiogram","**\n\n1. **Most Likely Disease:** Coronary atherosclerosis.  While all the listed conditions can cause sharp chest pain and irregular heartbeat, coronary atherosclerosis (CAD) is the most serious and common cause of these symptoms, particularly if the pain is sharp.  Sick sinus syndrome and atrial fibrillation are arrhythmias that *can* present with chest pain, but the sharp pain suggests a more acute coronary issue. Panic disorder can mimic cardiac symptoms, but requires a different diagnostic approach.\n\n2. **Recommended Medication(s):**  This depends heavily on the severity and diagnosis.  Treatment for CAD might include:\n    * **Nitroglycerin:** To relieve chest pain by dilating blood vessels.\n    * **Aspirin:** To prevent blood clot formation.\n    * **Beta-blockers:** To slow the heart rate and reduce blood pressure.\n    * **Statins:** To lower cholesterol levels.\n    * **ACE inhibitors:** To help relax blood vessels and reduce blood pressure.\n    * **Anticoagulants (e.g., warfarin, apixaban):**  If there's evidence of clot formation.\n    * **PCI (Percutaneous Coronary Intervention) or CABG (Coronary Artery Bypass Graft):**  These procedures may be necessary to open blocked arteries if the diagnosis is confirmed.\n\n\n3. **Suggested Medical Test(s):**\n    * **Electrocardiogram (ECG or EKG):** To assess the heart's rhythm and look for abnormalities.\n    * **Cardiac enzyme tests (troponin, CK-MB):** To detect heart muscle damage.\n    * **Echocardiogram:** To visualize the heart's structure and function.\n    * **Stress test (exercise or pharmacologic):** To assess the heart's response to stress.\n    * **Coronary angiography:** A catheterization procedure to visualize the coronary arteries and identify blockages.\n\n\n**"
1144,I have been diagnosed with primary kidney disease. What are the required medications for it? ,"Since you indicated there is no reference table available, I will answer using my own medical knowledge.

1. **Most Likely Disease:** Primary Kidney Disease. The prompt itself states the diagnosis, therefore, this is the most likely disease. ""Primary"" indicates the kidney disease originated in the kidneys themselves, rather than being caused by another underlying condition like diabetes or high blood pressure.

2. **Recommended Medication(s):**

*   ACE inhibitors (e.g., Lisinopril, Enalapril)
*   ARBs (e.g., Valsartan, Losartan)
*   Diuretics (e.g., Furosemide, Hydrochlorothiazide)
*   Corticosteroids (e.g., Prednisone)
*   Immunosuppressants (e.g., Cyclosporine, Mycophenolate mofetil)
*   Phosphate binders (e.g., Sevelamer, Lanthanum carbonate)
*   Erythropoiesis-stimulating agents (ESAs) (e.g., Epoetin alfa, Darbepoetin alfa)
*   Vitamin D analogs (e.g., Calcitriol)

3. **Suggested Medical Test(s):**

*   Urinalysis
*   Urine protein creatinine ratio
*   Estimated Glomerular Filtration Rate (eGFR)
*   Kidney ultrasound
*   Kidney biopsy
*   Blood urea nitrogen (BUN)
*   Serum creatinine
*   Electrolyte panel
*   Complete blood count (CBC)
*   Parathyroid hormone (PTH)
*   Vitamin D level","\n1. **Most Likely Disease:**  \nBased on the statement \""I have been diagnosed with primary kidney disease,\"" the most likely disease is **primary kidney disease**.  This is a broad term encompassing various conditions affecting the kidneys directly, rather than secondary to another disease.  More specific details are needed for a precise diagnosis.\n\n2. **Recommended Medication(s):**\nThere is no single medication that cures primary kidney disease as it encompasses multiple conditions. Treatment depends entirely on the specific diagnosis (e.g., glomerulonephritis, polycystic kidney disease, etc.). Medications might include:\n\n* **ACE inhibitors or ARBs:** To control blood pressure and slow kidney damage.\n* **Diuretics:** To manage fluid overload.\n* **Immunosuppressants:** To reduce inflammation in certain types of kidney disease.\n* **Phosphate binders:** To control high phosphate levels.\n* **Erythropoietin stimulating agents:** To treat anemia.\n* **Dialysis or kidney transplant:** In advanced stages of kidney failure.\n\n3. **Suggested Medical Test(s):**\nThe specific tests needed will depend on the suspected type of primary kidney disease. However, some common tests include:\n\n* **Urinalysis:** To check for protein, blood, and other abnormalities in the urine.\n* **Blood tests:** To measure kidney function (e.g., creatinine, BUN, GFR), electrolytes, and other markers of kidney health.\n* **Kidney biopsy:**  A small sample of kidney tissue is examined under a microscope to determine the cause and extent of the damage. This is often crucial for precise diagnosis and treatment planning.\n* **Imaging studies (ultrasound, CT scan):** To visualize the kidneys and detect structural abnormalities.\n\n\n"
840,"Doctor, I have been experiencing severe back pain and stiffness. Sometimes the pain even radiates to my neck and shoulders. I also find it difficult to move my back freely.","1. **Most Likely Disease:** Spondylitis. The patient reports back pain, stiffness, and pain radiating to the neck and shoulders, along with limited back mobility. These symptoms strongly align with spondylitis, which involves inflammation of the vertebrae and can cause stiffness and referred pain. Fibromyalgia is also possible as it includes back pain, neck pain, and shoulder pain. However, the stiffness and limited movement described by the patient are more characteristic of spondylitis.

2. **Recommended Medication(s):**
* Cyclobenzaprine
* Diazepam (Valium)
* Carisoprodol (Soma)
* Orphenadrine (Flexon)
* Methocarbamol
* Tizanidine

3. **Suggested Medical Test(s):**
* Plain x-ray (X ray)
* Physical therapy exercises (Exercises)
* Magnetic resonance imaging (Mri)","\n\n1. **Most Likely Disease:** Spondylitis. The patient presents with severe back pain, stiffness, and pain radiating to the neck and shoulders, difficulty moving the back freely.  These are all common symptoms associated with spondylitis, an inflammatory condition affecting the spine. While other conditions are mentioned in the provided data, spondylitis is the most directly and frequently linked to the described symptoms.\n\n2. **Recommended Medication(s):**  Nonsteroidal anti-inflammatory drugs (NSAIDs) like ibuprofen or naproxen can help manage pain and inflammation.  Muscle relaxants may be prescribed to alleviate muscle spasms. In more severe cases, disease-modifying antirheumatic drugs (DMARDs) or biologics may be necessary.  Physical therapy is also a crucial component of treatment.\n\n3. **Suggested Medical Test(s):**  X-rays of the spine to visualize the condition of the vertebrae and joints.  MRI or CT scans to provide detailed images of the spine and rule out other causes of back pain.  Blood tests to assess markers of inflammation (e.g., ESR, CRP) and rule out other systemic conditions.\n\n\n"
4468,"Doctor, I recently had an ultrasound and they found a mass on my kidney. What could this mean?","1. **Most Likely Disease:** Liver cancer. The table lists ""Kidney mass"" as a symptom and ""Ultrasonography (Ultrasound)"" as a medical test associated with Liver cancer. The patient's ultrasound found a kidney mass.

2. **Recommended Medication(s):**
   * Spironolactone

3. **Suggested Medical Test(s):**
   * Ultrasonography (Ultrasound)
   * Magnetic resonance imaging (MRI)","\n1. **Most Likely Disease:**\nRenal cell carcinoma (RCC) is a possibility given the ultrasound finding of a kidney mass.  While other conditions can cause kidney masses, RCC is a common cause.  However, many kidney masses are benign.\n\n2. **Recommended Medication(s):**\nTreatment for RCC depends on the stage and grade of the cancer.  Options may include:\n    * **Targeted therapy:**  Drugs like sunitinib, pazopanib, or axitinib target specific proteins involved in tumor growth.\n    * **Immunotherapy:** Drugs like nivolumab or ipilimumab help boost the immune system to fight cancer cells.\n    * **Surgery:** Partial or complete nephrectomy (kidney removal) may be necessary.\n    * **Radiation therapy:** May be used in some cases, often in combination with other treatments.\n    * **Chemotherapy:** Less commonly used as a first-line treatment for RCC.\n\n3. **Suggested Medical Test(s):**\n    * **CT scan:**  A more detailed imaging study than ultrasound to better characterize the mass, assess its size and location, and evaluate for spread to other organs.\n    * **MRI:** May provide additional information about the mass's characteristics.\n    * **Biopsy:** A tissue sample of the mass is essential to determine if it is cancerous and, if so, its type and grade.  This is crucial for accurate diagnosis and treatment planning.\n    * **Blood tests:** To evaluate kidney function (creatinine, BUN), check for anemia (hemoglobin), and assess for tumor markers (although there isn't a highly specific marker for RCC).\n\n\n"
713,"Doctor, I was diagnosed with diabetic ketoacidosis. What tests do I need to take?<EOS>","Since there is no reference table provided, I will answer based on my medical knowledge.

1. **Most Likely Disease:** Diabetic Ketoacidosis (DKA). The patient states they were diagnosed with it.

2. **Recommended Medication(s):**
    * Insulin
    * IV fluids (e.g., Normal Saline)
    * Potassium chloride (if needed)
    * Sodium bicarbonate (in specific circumstances)

3. **Suggested Medical Test(s):**
    * Blood glucose
    * Serum ketones
    * Arterial blood gas (ABG)
    * Electrolyte panel (Sodium, Potassium, Chloride, Bicarbonate)
    * Blood urea nitrogen (BUN) and Creatinine
    * Complete blood count (CBC)
    * Urinalysis
    * EKG
    * Serum Osmolality","\n\n1. **Most Likely Disease:** Diabetic Ketoacidosis (DKA)\n\nThe patient explicitly states they were diagnosed with Diabetic Ketoacidosis.  This is a serious complication of diabetes.\n\n2. **Recommended Medication(s):**\n\n* **Insulin:** This is the cornerstone of DKA treatment.  Insulin therapy is crucial to lower blood glucose levels and correct the ketoacidosis.  The type and dose will be determined by the severity of the DKA and the patient's individual needs.  It will likely be administered intravenously initially.\n* **Fluid replacement:**  Intravenous fluids are essential to correct dehydration, a common feature of DKA.\n* **Electrolyte replacement:**  DKA often leads to electrolyte imbalances (e.g., potassium, phosphate, magnesium).  These will need to be monitored and corrected with intravenous supplementation as necessary.\n* **Bicarbonate (in severe cases):** In cases of very severe acidosis, intravenous sodium bicarbonate might be administered to directly correct the blood pH. However, this is generally used judiciously and only in severe cases as it can have adverse effects.\n\n3. **Suggested Medical Test(s):**\n\n* **Blood glucose measurement:** To determine the severity of hyperglycemia.\n* **Arterial blood gas analysis:** To measure the blood pH, bicarbonate level, and partial pressures of oxygen and carbon dioxide, assessing the severity of acidosis.\n* **Serum ketone levels (beta-hydroxybutyrate):** To confirm the presence and extent of ketoacidosis.\n* **Serum electrolytes (potassium, sodium, chloride, bicarbonate, magnesium, phosphorus):** To assess for electrolyte imbalances.\n* **Blood urea nitrogen (BUN) and creatinine:** To evaluate kidney function, which can be affected by DKA.\n* **Complete blood count (CBC):** To assess for infections or other complications.\n* **Urine analysis:** To detect ketones in the urine, confirming ketoacidosis.\n\n\n"
