Q_ID,Question,Reference_Answer,Answer
5239,"Doctor, I'm experiencing some strange symptoms. I've been acting hostile towards my family, and I'm having problems with my movement. Also, I've noticed that I've been slurring my words lately.","1. **Most Likely Disease:** Substance-related mental disorder. While both stroke and substance-related mental disorder share the ""problems with movement"" symptom, substance-related mental disorder is the only disease listed with ""hostile behavior"" as a symptom, which the patient is experiencing. Slurred speech could potentially be related to a substance.

2. **Recommended Medication(s):**
    *   Lorazepam

3. **Suggested Medical Test(s):**
    *   Hematologic tests (Blood test)","\n\n1. **Most Likely Disease:** Stroke.  The combination of hostile behavior (which can be a symptom of stroke due to brain damage affecting personality and behavior), problems with movement (a classic sign of stroke affecting motor control), and slurred speech (indicative of neurological damage affecting speech centers) strongly suggests a stroke.  While a substance-related mental disorder could also explain some of these symptoms, the motor and speech problems are more strongly indicative of a stroke.\n\n\n2. **Recommended Medication(s):**  There is no single medication to \""cure\"" a stroke, as treatment focuses on minimizing damage and improving recovery. Treatment depends on the type and location of the stroke.  Possible medications include:\n    * **tPA (tissue plasminogen activator):**  A clot-busting drug that can be administered intravenously to dissolve blood clots causing ischemic strokes (the most common type).  This must be given very quickly after symptom onset.\n    * **Antiplatelet agents (e.g., aspirin, clopidogrel):** To prevent further clot formation.\n    * **Anticoagulants (e.g., warfarin, heparin):**  To prevent blood clot formation, mainly used for certain types of stroke or to prevent future strokes.\n    * **Blood pressure medications:** To control blood pressure.\n    * **Rehabilitation therapies (physical, occupational, speech):**  Crucial for long-term recovery.\n\n\n3. **Suggested Medical Test(s):**\n    * **CT scan or MRI of the brain:** To visualize the brain and identify the location and type of stroke (ischemic or hemorrhagic).\n    * **Blood tests:**  To check blood counts, blood sugar levels, and to screen for other conditions.\n    * **Carotid ultrasound:** To assess blood flow in the carotid arteries supplying blood to the brain.\n    * **Echocardiogram:** To evaluate the heart for sources of clots (e.g., atrial fibrillation).\n\n\n"
913,"Hi Doctor, I've been feeling very weak and fatigued lately. I also noticed that my muscles have been shrinking and I'm having trouble building muscle. ","1. **Most Likely Disease:** Fibromyalgia. The symptoms of fatigue and muscle pain/difficulty building muscle align with the symptoms listed for fibromyalgia. While muscle wasting can occur in other conditions, it's not a primary feature listed in the table for Cirrhosis, whereas muscle pain and fatigue are core symptoms of Fibromyalgia.

2. **Recommended Medication(s):**
* Pregabalin (Lyrica)
* Tizanidine
* Nortriptyline
* Milnacipran (Savella)
* Chlorzoxazone
* Oxymorphone (Opana)

3. **Suggested Medical Test(s):**
* Physical therapy exercises (Exercises)
* Magnetic resonance imaging (Mri)
* Bone density scan
* Depression screen (Depression screening)","\n\n1. **Most Likely Disease:**\n\nBased on the reported weakness, fatigue, and muscle shrinking/difficulty building muscle,  a **Metabolic Disorder** is the most likely possibility. These symptoms align with the disruption of normal metabolic processes impacting energy production and muscle function.  While other conditions listed (Cirrhosis, Sick Sinus Syndrome, etc.) can present with weakness and fatigue, the muscle wasting is a stronger indicator of a metabolic issue.\n\n2. **Recommended Medication(s):**\n\nThere is no single \""cure\"" for metabolic disorders as this is a broad category. Treatment depends heavily on the specific underlying cause.  However, some potential medications and approaches include:\n\n* **Supplements:**  Depending on the identified deficiency (e.g., vitamin D, creatine, etc.), supplementation might be beneficial.\n* **Hormone Replacement Therapy (HRT):** If a hormonal imbalance is found to be the root cause (e.g., hypothyroidism).\n* **Medication to manage underlying conditions:** This could include medication for diabetes, if present.\n* **Dietary changes:** A nutritionist consultation is essential to establish a personalized diet plan to address the metabolic imbalance.\n\n3. **Suggested Medical Test(s):**\n\n* **Comprehensive metabolic panel:** This blood test assesses various markers related to metabolism, including glucose, electrolytes, liver and kidney function.\n* **Thyroid function tests:**  Checks for hypothyroidism, a common metabolic disorder causing fatigue and weakness.\n* **Muscle biopsy:** To examine the muscle tissue for abnormalities and to potentially diagnose muscular dystrophy.\n* **Genetic testing:** In some cases, genetic testing might be needed to identify underlying genetic defects affecting metabolism.\n* **Lipid Panel:** To check for lipid abnormalities, which could contribute to some metabolic disorders.\n\n\n"
205,"Hi doctor, I am experiencing some pain in my lower abdomen and after a few tests, I have been diagnosed with a benign kidney cyst. What medical tests do I need to undergo now? ","Since there is no reference table provided, I will answer based on my medical knowledge.

1. **Most Likely Disease:** Benign Kidney Cyst. The patient has already been diagnosed with this based on tests. While lower abdominal pain can have many causes, the question specifically states a diagnosis of a benign kidney cyst. Further testing is to monitor the cyst and rule out complications or other potential causes of the pain.

2. **Recommended Medication(s):**
    *   Pain relievers (e.g., Acetaminophen, Ibuprofen)

3. **Suggested Medical Test(s):**
    *   Repeat Ultrasound
    *   CT Scan of Abdomen and Pelvis
    *   MRI of Abdomen and Pelvis
    *   Urinalysis
    *   Blood Pressure Measurement","**\n\n1. **Most Likely Disease:** Benign kidney cyst.  The patient has already been diagnosed with this condition.\n\n2. **Recommended Medication(s):**  There is typically no medication needed to *cure* a benign kidney cyst.  Treatment focuses on monitoring for complications.  Pain medication (like ibuprofen or acetaminophen) might be recommended for pain relief if present.\n\n3. **Suggested Medical Test(s):**  Since the patient has already had some initial tests leading to the diagnosis, further testing depends on the size and symptoms.  Tests might include:\n    * **Ultrasound:** To monitor the size and characteristics of the cyst over time.\n    * **CT scan or MRI:**  If the cyst is large or causing symptoms, these imaging tests provide more detailed information.\n    * **Blood tests:**  To rule out infection or other kidney problems.\n\n\n**"
2254,"Doctor, I am experiencing some pain and soreness in my breast, along with some back pain and difficulty breathing. What could be the problem?","1. **Most Likely Disease:** Dengue fever, Problem during pregnancy, Abscess of the lung.
The patient exhibits pain or soreness of the breast, which aligns with dengue fever, back pain, which aligns with problem during pregnancy, and difficulty breathing, which is related to abscess of the lung

2. **Recommended Medication(s):**
*   Acetaminophen
*   Multivitamin, Prenatal
*   Budesonide

3. **Suggested Medical Test(s):**
*   CT scan abdomen (Ct of abdomen)
*   Standard pregnancy test
*   Radiographic imaging procedure","\n\n1. **Most Likely Disease:**\nOvarian torsion.  The combination of breast pain, back pain, and difficulty breathing, while not classically associated with ovarian torsion, warrants consideration. Ovarian torsion is a serious condition requiring prompt attention, and the breast pain could be referred pain or a symptom of related inflammation.  The other conditions listed in the path evidence are less likely given the symptom constellation.\n\n\n2. **Recommended Medication(s):**\nThere is no medication to \""cure\"" ovarian torsion; it's a surgical emergency.  Pain management with analgesics like morphine or other opioids may be used before and after surgery.  Antibiotics may be given prophylactically to prevent infection.\n\n\n3. **Suggested Medical Test(s):**\n* **Pelvic Ultrasound:** This is the primary imaging test to diagnose ovarian torsion. It can visualize the ovary and detect its abnormal position and blood flow.\n* **Blood tests:** Complete blood count (CBC) to assess for infection or other complications.  Beta-hCG to rule out ectopic pregnancy.\n* **Laparoscopy:** This minimally invasive surgical procedure confirms the diagnosis and allows for detorsion (untwisting) of the ovary if viable.\n\n\n"
2007,"Doctor, I've been experiencing shortness of breath, drainage in my throat, weakness in my wrist, and I've been coughing up blood. What could be the problem?","1. **Most Likely Disease:** Abscess of the lung. This is the most likely diagnosis as it is the only disease in the provided data that includes all the major symptoms: shortness of breath, drainage in the throat, wrist weakness (less directly related, but possible due to overall weakness), and coughing up blood (hemoptysis). Atelectasis, while having cough and shortness of breath, doesn't explain the hemoptysis, drainage in the throat or wrist weakness as well.

2. **Recommended Medication(s):**
* Meropenem
* Vancomycin
* Budesonide
* Dexamethasone Topical Product
* Docusate (Colace)

3. **Suggested Medical Test(s):**
* Radiographic imaging procedure
* X-ray computed tomography (Scan ct)
* Plain x-ray (X ray)
* Cardiac monitoring (Cardiac monitor)
* Hematologic tests (Blood test)
* Complete blood count (Cbc)
* Electrocardiogram","\n\n1. **Most Likely Disease:**\n\nAbscess of the lung.  The combination of shortness of breath, throat drainage, and coughing up blood strongly suggests a lung infection, with an abscess being a significant possibility.  Wrist weakness is less directly related but could be a consequence of the underlying illness or a coincidental unrelated condition.\n\n\n2. **Recommended Medication(s):**\n\nGiven the suspicion of a lung abscess, antibiotics are crucial.  Specific antibiotics would depend on the identified bacteria or fungi causing the infection.  Additionally, medications to manage pain and coughing may be necessary.  Supportive care, including rest and fluids, is also essential.  The information provided does not indicate a specific antibiotic, as that requires lab results and physician judgment.\n\n\n3. **Suggested Medical Test(s):**\n\n* **Chest X-ray:** To visualize the lungs and identify an abscess.\n* **Computed Tomography (CT) scan of the chest:** To provide a more detailed image of the lungs and better define the abscess.\n* **Sputum culture and sensitivity:** To identify the causative organism and guide antibiotic selection.\n* **Blood tests:**  A complete blood count (CBC) to assess overall health and infection markers.\n\n\n"
1829,"Doctor, I have been experiencing sharp chest pain along with an irregular heartbeat. What could be the problem?","1. **Most Likely Disease:**
Coronary atherosclerosis. This is because it's the only disease in the provided data that lists *both* sharp chest pain and irregular heartbeat as symptoms. While other diseases include sharp chest pain, they do not also list irregular heartbeat.

2. **Recommended Medication(s):**
Aspirin

3. **Suggested Medical Test(s):**
Electrocardiogram","\n\n1. **Most Likely Disease:**\nAtrial fibrillation.  Sharp chest pain and irregular heartbeat are classic symptoms of atrial fibrillation, a condition where the heart beats irregularly and rapidly. While other conditions can cause these symptoms, atrial fibrillation is a serious condition requiring prompt medical attention.\n\n\n2. **Recommended Medication(s):**\nTreatment for atrial fibrillation depends on the severity and underlying cause. Medications may include:\n* **Anticoagulants:**  To prevent blood clots (e.g., warfarin, apixaban, rivaroxaban). This is crucial to reduce the risk of stroke.\n* **Rate-control medications:** To slow the heart rate (e.g., beta-blockers, calcium channel blockers).\n* **Rhythm-control medications:** To restore a normal heart rhythm (e.g., amiodarone, flecainide).\n* **Cardioversion:**  A procedure to restore a normal heart rhythm using electrical shocks.\n\n3. **Suggested Medical Test(s):**\n* **Electrocardiogram (ECG or EKG):** This is the most important test to diagnose atrial fibrillation, showing the irregular heart rhythm.\n* **Echocardiogram:** An ultrasound of the heart to assess the heart's structure and function, checking for any underlying heart damage.\n* **Blood tests:** To check for factors that may contribute to atrial fibrillation, such as thyroid function and blood clotting ability.\n* **Holter monitor:** A portable ECG device worn for 24-48 hours to detect irregular heartbeats that may not be present during a routine ECG.\n\n\n"
1144,I have been diagnosed with primary kidney disease. What are the required medications for it? ,"Since you indicated there is no reference table available, I will answer using my own medical knowledge.

1. **Most Likely Disease:** Primary Kidney Disease. The prompt itself states the diagnosis, therefore, this is the most likely disease. ""Primary"" indicates the kidney disease originated in the kidneys themselves, rather than being caused by another underlying condition like diabetes or high blood pressure.

2. **Recommended Medication(s):**

*   ACE inhibitors (e.g., Lisinopril, Enalapril)
*   ARBs (e.g., Valsartan, Losartan)
*   Diuretics (e.g., Furosemide, Hydrochlorothiazide)
*   Corticosteroids (e.g., Prednisone)
*   Immunosuppressants (e.g., Cyclosporine, Mycophenolate mofetil)
*   Phosphate binders (e.g., Sevelamer, Lanthanum carbonate)
*   Erythropoiesis-stimulating agents (ESAs) (e.g., Epoetin alfa, Darbepoetin alfa)
*   Vitamin D analogs (e.g., Calcitriol)

3. **Suggested Medical Test(s):**

*   Urinalysis
*   Urine protein creatinine ratio
*   Estimated Glomerular Filtration Rate (eGFR)
*   Kidney ultrasound
*   Kidney biopsy
*   Blood urea nitrogen (BUN)
*   Serum creatinine
*   Electrolyte panel
*   Complete blood count (CBC)
*   Parathyroid hormone (PTH)
*   Vitamin D level","\n1. **Most Likely Disease:**  \nPrimary kidney disease is a broad term encompassing many conditions.  Without more specific symptoms, I cannot pinpoint a single most likely disease.  The provided information is insufficient for a diagnosis.  To determine the specific type of primary kidney disease, further information is needed regarding the patient's symptoms, family history, and other medical conditions.\n\n\n2. **Recommended Medication(s):**\nTreatment for primary kidney disease varies greatly depending on the underlying cause and severity. Medications may include:\n\n* **ACE inhibitors or ARBs:** To control blood pressure and slow the progression of kidney disease.\n* **Diuretics:** To manage fluid retention and edema.\n* **Phosphate binders:** To control high phosphate levels in the blood.\n* **Erythropoietin-stimulating agents:** To treat anemia.\n* **Vitamin D supplements:** To improve calcium absorption.\n\n\n3. **Suggested Medical Test(s):**\nTo diagnose and determine the treatment plan for primary kidney disease, several tests are crucial:\n\n* **Urinalysis:** To detect abnormalities in urine composition, such as proteinuria, hematuria, or casts.\n* **Blood tests:** Including blood urea nitrogen (BUN), creatinine, glomerular filtration rate (GFR), electrolytes, and complete blood count (CBC).\n* **Kidney biopsy:** A tissue sample of the kidney is examined under a microscope to determine the type and severity of kidney damage.  This is often considered the gold standard for diagnosis.\n* **Imaging tests:** Such as ultrasound, CT scan, or MRI of the kidneys to visualize the structure and identify any abnormalities.\n\n\n"
840,"Doctor, I have been experiencing severe back pain and stiffness. Sometimes the pain even radiates to my neck and shoulders. I also find it difficult to move my back freely.","1. **Most Likely Disease:** Spondylitis. The patient reports back pain, stiffness, and pain radiating to the neck and shoulders, along with limited back mobility. These symptoms strongly align with spondylitis, which involves inflammation of the vertebrae and can cause stiffness and referred pain. Fibromyalgia is also possible as it includes back pain, neck pain, and shoulder pain. However, the stiffness and limited movement described by the patient are more characteristic of spondylitis.

2. **Recommended Medication(s):**
* Cyclobenzaprine
* Diazepam (Valium)
* Carisoprodol (Soma)
* Orphenadrine (Flexon)
* Methocarbamol
* Tizanidine

3. **Suggested Medical Test(s):**
* Plain x-ray (X ray)
* Physical therapy exercises (Exercises)
* Magnetic resonance imaging (Mri)","**\n\n1. **Most Likely Disease:** Spondylitis. The patient presents with severe back pain and stiffness, with pain radiating to the neck and shoulders, and difficulty moving the back freely.  These are all classic symptoms associated with spondylitis (Path Evidence 1 & 2).  While Pyelonephritis is mentioned (Path Evidence 3),  its primary symptom, suprapubic pain, is not reported by the patient.\n\n\n2. **Recommended Medication(s):**  The provided text does not offer specific medications for spondylitis.  However, treatment typically involves pain relievers (NSAIDs like ibuprofen or naproxen), muscle relaxants, and potentially physical therapy.  In more severe cases, disease-modifying antirheumatic drugs (DMARDs) might be considered.  Note:  This information is for illustrative purposes only and does not constitute medical advice.\n\n\n3. **Suggested Medical Test(s):**  To confirm a diagnosis of spondylitis, the following tests would be helpful:\n    * **X-rays:** To visualize the spine and identify any structural abnormalities like bone erosion or fusion.\n    * **Blood tests:** To check for inflammatory markers like ESR (erythrocyte sedimentation rate) and CRP (C-reactive protein).\n    * **MRI:** To provide detailed images of the spine and soft tissues, helping to identify inflammation and other abnormalities.\n\n\n**"
4468,"Doctor, I recently had an ultrasound and they found a mass on my kidney. What could this mean?","1. **Most Likely Disease:** Liver cancer. The table lists ""Kidney mass"" as a symptom and ""Ultrasonography (Ultrasound)"" as a medical test associated with Liver cancer. The patient's ultrasound found a kidney mass.

2. **Recommended Medication(s):**
   * Spironolactone

3. **Suggested Medical Test(s):**
   * Ultrasonography (Ultrasound)
   * Magnetic resonance imaging (MRI)","\n1. **Most Likely Disease:**\nRenal cell carcinoma (RCC) is a possibility given the presence of a kidney mass.  While other conditions can cause kidney masses, RCC is a common cause and needs to be considered.  Von Hippel-Lindau disease is a much rarer genetic condition that can lead to kidney tumors.\n\n\n2. **Recommended Medication(s):**\nTreatment for a kidney mass depends entirely on the diagnosis.  If it is cancerous, treatment may involve surgery (partial nephrectomy or radical nephrectomy), targeted therapy (e.g., sunitinib, pazopanib, axitinib), immunotherapy (e.g., nivolumab, ipilimumab), or radiation therapy.  If it's benign, treatment may not be necessary, but close monitoring is crucial.  Specific medications will be determined by the type and stage of cancer or the nature of the benign mass.\n\n\n3. **Suggested Medical Test(s):**\n* **CT scan or MRI:** To better visualize the mass, its size, location, and relationship to surrounding structures.\n* **Biopsy:**  A tissue sample is needed to determine if the mass is cancerous (malignant) or benign.  This is crucial for diagnosis.\n* **Blood tests:**  Including blood counts, liver and kidney function tests, and tumor markers (such as CA IX and VEGF) may provide additional information.\n* **Genetic testing:** If Von Hippel-Lindau disease is suspected, genetic testing may be recommended.\n\n\n\n"
713,"Doctor, I was diagnosed with diabetic ketoacidosis. What tests do I need to take?<EOS>","Since there is no reference table provided, I will answer based on my medical knowledge.

1. **Most Likely Disease:** Diabetic Ketoacidosis (DKA). The patient states they were diagnosed with it.

2. **Recommended Medication(s):**
    * Insulin
    * IV fluids (e.g., Normal Saline)
    * Potassium chloride (if needed)
    * Sodium bicarbonate (in specific circumstances)

3. **Suggested Medical Test(s):**
    * Blood glucose
    * Serum ketones
    * Arterial blood gas (ABG)
    * Electrolyte panel (Sodium, Potassium, Chloride, Bicarbonate)
    * Blood urea nitrogen (BUN) and Creatinine
    * Complete blood count (CBC)
    * Urinalysis
    * EKG
    * Serum Osmolality","\n1. **Most Likely Disease:** Diabetic Ketoacidosis (DKA)\n\nThe patient was explicitly diagnosed with DKA.  DKA is a serious complication of diabetes characterized by high blood sugar, ketone buildup, and acidosis.\n\n2. **Recommended Medication(s):**\n\n* **Insulin:**  This is the cornerstone of DKA treatment to lower blood glucose levels and correct the acidosis.  The type and route of administration (IV or subcutaneous) will depend on the patient's condition and severity.\n* **Intravenous fluids:** To correct dehydration, a common symptom of DKA.  Electrolyte imbalances (potassium, sodium, phosphate) also need to be addressed with intravenous fluids containing these electrolytes.\n* **Potassium supplementation:** Often needed because insulin administration can drive potassium into cells, potentially causing hypokalemia.  Levels must be closely monitored.\n\n3. **Suggested Medical Test(s):**\n\n* **Blood glucose:** To measure blood sugar levels and monitor response to treatment.\n* **Arterial blood gas (ABG):**  To assess the severity of acidosis (pH, bicarbonate levels).\n* **Serum ketones:** To quantify the ketone bodies in the blood.\n* **Electrolytes (serum potassium, sodium, chloride, phosphate, magnesium):** To check for electrolyte imbalances, which are common in DKA.\n* **Blood urea nitrogen (BUN) and creatinine:** To assess kidney function, as DKA can impair kidney function.\n* **Complete blood count (CBC):**  To evaluate for infection, which can worsen DKA.\n* **Urine analysis:** To look for ketones and glucose in the urine.\n\n\n"
