Question_ID,Question,Greedy,GreedyDist,GreedyGen
1,"Doctor, I have been experiencing sudden and frequent panic attacks. I don't know what to do.",250,39,1123
2,"Doctor, I have been experiencing a hoarse voice for a few weeks now and it's not getting any better despite taking medication. What could be the problem?",647,129,998
3,"Hi, Doctor. I think I might have Turner syndrome. ",131,104,1123
4,"Doctor, I've been experiencing a condition called cryptorchidism. My testicles have not descended properly into the scrotum. What medical tests do I need to take?",1123,60,1123
5,"Doctor, I think I've been poisoned. I drank some ethylene glycol by mistake. ",94,145,1123
6,"Doctor, I've been having discomfort and dryness in my vagina for a while now. I also experience pain during sex. What could be the problem and what tests do I need?",1123,189,1050
7,"Hello doctor, I think I fractured my hand while playing basketball. It hurts a lot and I can't move it properly.",206,49,1123
8,"Hi Doctor, I have a problem with my mouth. It's painful and there's swelling around it. It's difficult to eat or talk properly.",1123,196,1112
9,"Doctor, I have been having trouble with my eye alignment lately. I often see double and feel eye strain, especially when I read or look at something for a long time. ",1123,136,1123
10,"Doctor, I have been experiencing headaches after my recent lumbar puncture. What tests do I need to take?",38,50,1123
11,"Doctor, I have been experiencing frequent vomiting and difficulty in passing stool. I also feel full after eating a small amount of food.",1123,24,1123
12,"Doctor, I have been experiencing pain in my mouth and my saliva glands seem to be swollen. I think I might have a salivary gland disorder.",1123,142,1123
13,"Hello doctor, I have been experiencing severe pain in my joints and stiffness in my neck and lower back. I also feel numbness and tingling sensation in my arms and legs. ",1123,22,1123
14,"Doctor, I badly hurt my knee while playing football last evening. It's quite painful and I am not able to put weight on it. What could be the problem and what tests are needed?",1123,109,1123
15,"Doctor, I have been experiencing some unusual symptoms lately, like fatigue, weight gain and increased thirst. I'm worried I might have a metabolic disorder.",206,50,1123
16,"Hi Doctor, I'm experiencing some discomfort in my vaginal area and discharge that has a foul odor. I think I might have vaginitis.",304,200,1123
17,"Doctor, I have been experiencing fainting, dizziness, and shortness of breath lately. My heart rate also seems to be fluctuating between fast and slow. What could be the problem?",647,29,1112
18,"Doctor, I've been experiencing continuous ringing in my ears for the past few weeks. I'm quite worried about it. ",647,99,1123
19,"Doctor, I have been experiencing eye pain and blurred vision, and I am afraid it might be glaucoma. What tests should I take to confirm the diagnosis?",80,82,1123
20,"Doctor, I believe I have been suffering from an eating disorder for a while now. I feel like my relationship with food has become extremely unhealthy, and it's affecting my mental health as well. I often find myself obsessing over my weight and food intake, and I don't know how to stop.",1123,48,1123
21,"Doctor, I experienced a sudden weakness and numbness on the right side of my body yesterday. It lasted for a few minutes and then went away. I also had trouble speaking for a brief period. Could you please help me figure out what's going on?",1123,184,1123
22,"Hi, doctor. I think I have Pyelonephritis. I've been experiencing pain in my lower back and side, fever, chills and frequent urination. ",304,56,1123
23,"Hi doctor, I think I have a rotator cuff injury, I'm experiencing shoulder pain and stiffness. ",647,184,1123
24,"Doctor, I have been experiencing chronic pain for a few months now.",120,107,1123
25,"Doctor, I am experiencing some problems during my pregnancy lately.",206,200,1053
26,"Doctor, I have been experiencing some discomfort in my abdomen and the skin on my body seems to be turning yellow. I am worried that it may be something serious.",304,32,1123
27,"Doctor, I have been having trouble breathing for the past few days. I feel like I am not able to take deep breaths and it feels like something is compressed in my chest.",1123,21,1112
28,"Doctor, I injured my hand and it's really painful. What tests do you recommend?",198,49,1123
29,"Doctor, I have been experiencing severe pain in my upper right abdomen and back along with nausea and vomiting. My doctor suspects that I might have Choledocholithiasis. What medical tests should I undertake to confirm the diagnosis?",84,77,1123
30,"Hi doctor, I think I injured my hip while running yesterday. It hurts a lot and I have difficulty moving.",131,54,1123
31,"Doctor, I have been feeling very fatigued lately and my abdomen feels swollen and tender. I am also experiencing jaundice in my eyes. Could it be a liver problem?",1123,71,1123
32,"Doctor, I think I might have a thoracic aortic aneurysm, can you please tell me what tests I need to do?",26,67,1123
33,"Hello, I've been experiencing some intense headaches recently and I'm worried it might be something serious.",429,55,1123
34,"Doctor, I was diagnosed with congenital rubella. What medical tests do I need to undergo?",94,69,1123
35,"Doctor, I have been recently diagnosed with diabetic retinopathy, what tests do I need to undergo?",84,199,1123
