Question_ID,Question,KG_nodes_count,Path_nodes_count
5239,"Doctor, I'm experiencing some strange symptoms. I've been acting hostile towards my family, and I'm having problems with my movement. Also, I've noticed that I've been slurring my words lately.",5,5
913,"Hi Doctor, I've been feeling very weak and fatigued lately. I also noticed that my muscles have been shrinking and I'm having trouble building muscle. ",10,10
205,"Hi doctor, I am experiencing some pain in my lower abdomen and after a few tests, I have been diagnosed with a benign kidney cyst. What medical tests do I need to undergo now? ",5,5
2254,"Doctor, I am experiencing some pain and soreness in my breast, along with some back pain and difficulty breathing. What could be the problem?",7,7
2007,"Doctor, I've been experiencing shortness of breath, drainage in my throat, weakness in my wrist, and I've been coughing up blood. What could be the problem?",7,7
1829,"Doctor, I have been experiencing sharp chest pain along with an irregular heartbeat. What could be the problem?",3,3
1144,I have been diagnosed with primary kidney disease. What are the required medications for it? ,5,5
840,"Doctor, I have been experiencing severe back pain and stiffness. Sometimes the pain even radiates to my neck and shoulders. I also find it difficult to move my back freely.",9,9
4468,"Doctor, I recently had an ultrasound and they found a mass on my kidney. What could this mean?",9,9
713,"Doctor, I was diagnosed with diabetic ketoacidosis. What tests do I need to take?<EOS>",5,5
4838,"Doctor, I've been experiencing lower body pain and my foot/toe feels stiff or tight. Any idea what it might be?",5,5
3457,"Doctor, I am experiencing an eyelid lesion or rash, diminished vision, and leg weakness. What could this be?",7,7
261,"Doctor, I have been experiencing some pain and swelling around my bellybutton. I also noticed some redness and discharge from the area. What could be the problem?",8,8
245,"Doctor, I have an open wound from my surgical incision. What medical tests do I need?",7,7
768,"Doctor, I have been experiencing difficulty in passing urine lately. It feels like something is blocking my bladder. What should I do?",3,3
1792,"Hi doctor, I've been feeling hot and cold lately along with some elbow cramps or spasms. I also feel like vomiting sometimes and have had seizures in the past. What could be the reason for these symptoms? ",7,7
1906,"Doctor, I have been vomiting, my throat feels tight and I am experiencing incontinence of stool.",4,4
4140,"Doctor, I am experiencing eye redness, a swollen eye, a headache, spots or clouds in vision, and pain in my eye. What could be causing these symptoms?",8,8
4932,"Doctor, I have this strange rash on my skin and I've noticed a few skin growths. What could be causing this?",3,3
218,I had an accident last night and I think I might have injured one of my internal organs. ,3,3
4598,"Doctor, I've been experiencing some strange symptoms lately. I've been abusing alcohol a bit more than usual, and I've been experiencing delusions or hallucinations. I've been slurring my words, too, and I even fainted at work the other day. ",9,9
1629,"Doctor, I've been having knee pain and heartburn lately.",3,3
5324,"Doctor, I have been experiencing burning chest pain, regurgitation, problems with the shape and size of my breast, and I'm also having some smoking-related problems. What could be wrong with me?",9,9
