Question_ID,Question,GreedyDist,GreedyDist_distance,GreedyDist_subgraph,GreedyDist_subgraph_distance
1,"Doctor, I have been experiencing sudden and frequent panic attacks. I don't know what to do.",70,2,70,2
2,"Doctor, I have been experiencing a hoarse voice for a few weeks now and it's not getting any better despite taking medication. What could be the problem?",89,3,89,3
3,"Hi, Doctor. I think I might have Turner syndrome. ",128,5,128,5
4,"Doctor, I've been experiencing a condition called cryptorchidism. My testicles have not descended properly into the scrotum. What medical tests do I need to take?",56,1,56,1
5,"Doctor, I think I've been poisoned. I drank some ethylene glycol by mistake. ",92,5,92,5
6,"Doctor, I've been having discomfort and dryness in my vagina for a while now. I also experience pain during sex. What could be the problem and what tests do I need?",186,3,186,3
7,"Hello doctor, I think I fractured my hand while playing basketball. It hurts a lot and I can't move it properly.",103,2,103,2
8,"Hi Doctor, I have a problem with my mouth. It's painful and there's swelling around it. It's difficult to eat or talk properly.",196,3,196,3
9,"Doctor, I have been having trouble with my eye alignment lately. I often see double and feel eye strain, especially when I read or look at something for a long time. ",119,2,119,2
10,"Doctor, I have been experiencing headaches after my recent lumbar puncture. What tests do I need to take?",38,5,38,5
11,"Doctor, I have been experiencing frequent vomiting and difficulty in passing stool. I also feel full after eating a small amount of food.",195,2,195,2
12,"Doctor, I have been experiencing pain in my mouth and my saliva glands seem to be swollen. I think I might have a salivary gland disorder.",131,2,131,2
13,"Hello doctor, I have been experiencing severe pain in my joints and stiffness in my neck and lower back. I also feel numbness and tingling sensation in my arms and legs. ",156,2,156,2
14,"Doctor, I badly hurt my knee while playing football last evening. It's quite painful and I am not able to put weight on it. What could be the problem and what tests are needed?",105,1,105,1
15,"Doctor, I have been experiencing some unusual symptoms lately, like fatigue, weight gain and increased thirst. I'm worried I might have a metabolic disorder.",186,5,186,5
16,"Hi Doctor, I'm experiencing some discomfort in my vaginal area and discharge that has a foul odor. I think I might have vaginitis.",70,2,70,2
17,"Doctor, I have been experiencing fainting, dizziness, and shortness of breath lately. My heart rate also seems to be fluctuating between fast and slow. What could be the problem?",144,2,144,2
18,"Doctor, I've been experiencing continuous ringing in my ears for the past few weeks. I'm quite worried about it. ",64,2,64,2
19,"Doctor, I have been experiencing eye pain and blurred vision, and I am afraid it might be glaucoma. What tests should I take to confirm the diagnosis?",67,5,67,5
