Question_ID,Question,GreedyDist+PR
1,"Doctor, I have been experiencing sudden and frequent panic attacks. I don't know what to do.",3
2,"Doctor, I have been experiencing a hoarse voice for a few weeks now and it's not getting any better despite taking medication. What could be the problem?",3
3,"Hi, Doctor. I think I might have Turner syndrome. ",30
4,"Doctor, I've been experiencing a condition called cryptorchidism. My testicles have not descended properly into the scrotum. What medical tests do I need to take?",13
5,"Doctor, I think I've been poisoned. I drank some ethylene glycol by mistake. ",11
6,"Doctor, I've been having discomfort and dryness in my vagina for a while now. I also experience pain during sex. What could be the problem and what tests do I need?",14
7,"Hello doctor, I think I fractured my hand while playing basketball. It hurts a lot and I can't move it properly.",10
8,"Hi Doctor, I have a problem with my mouth. It's painful and there's swelling around it. It's difficult to eat or talk properly.",12
9,"Doctor, I have been having trouble with my eye alignment lately. I often see double and feel eye strain, especially when I read or look at something for a long time. ",11
10,"Doctor, I have been experiencing headaches after my recent lumbar puncture. What tests do I need to take?",2
11,"Doctor, I have been experiencing frequent vomiting and difficulty in passing stool. I also feel full after eating a small amount of food.",16
12,"Doctor, I have been experiencing pain in my mouth and my saliva glands seem to be swollen. I think I might have a salivary gland disorder.",12
13,"Hello doctor, I have been experiencing severe pain in my joints and stiffness in my neck and lower back. I also feel numbness and tingling sensation in my arms and legs. ",18
14,"Doctor, I badly hurt my knee while playing football last evening. It's quite painful and I am not able to put weight on it. What could be the problem and what tests are needed?",18
15,"Doctor, I have been experiencing some unusual symptoms lately, like fatigue, weight gain and increased thirst. I'm worried I might have a metabolic disorder.",13
16,"Hi Doctor, I'm experiencing some discomfort in my vaginal area and discharge that has a foul odor. I think I might have vaginitis.",5
17,"Doctor, I have been experiencing fainting, dizziness, and shortness of breath lately. My heart rate also seems to be fluctuating between fast and slow. What could be the problem?",9
18,"Doctor, I've been experiencing continuous ringing in my ears for the past few weeks. I'm quite worried about it. ",2
19,"Doctor, I have been experiencing eye pain and blurred vision, and I am afraid it might be glaucoma. What tests should I take to confirm the diagnosis?",12
20,"Doctor, I believe I have been suffering from an eating disorder for a while now. I feel like my relationship with food has become extremely unhealthy, and it's affecting my mental health as well. I often find myself obsessing over my weight and food intake, and I don't know how to stop.",5
21,"Doctor, I experienced a sudden weakness and numbness on the right side of my body yesterday. It lasted for a few minutes and then went away. I also had trouble speaking for a brief period. Could you please help me figure out what's going on?",13
22,"Hi, doctor. I think I have Pyelonephritis. I've been experiencing pain in my lower back and side, fever, chills and frequent urination. ",15
23,"Hi doctor, I think I have a rotator cuff injury, I'm experiencing shoulder pain and stiffness. ",4
24,"Doctor, I have been experiencing chronic pain for a few months now.",30
25,"Doctor, I am experiencing some problems during my pregnancy lately.",7
26,"Doctor, I have been experiencing some discomfort in my abdomen and the skin on my body seems to be turning yellow. I am worried that it may be something serious.",4
27,"Doctor, I have been having trouble breathing for the past few days. I feel like I am not able to take deep breaths and it feels like something is compressed in my chest.",12
28,"Doctor, I injured my hand and it's really painful. What tests do you recommend?",13
29,"Doctor, I have been experiencing severe pain in my upper right abdomen and back along with nausea and vomiting. My doctor suspects that I might have Choledocholithiasis. What medical tests should I undertake to confirm the diagnosis?",9
30,"Hi doctor, I think I injured my hip while running yesterday. It hurts a lot and I have difficulty moving.",11
31,"Doctor, I have been feeling very fatigued lately and my abdomen feels swollen and tender. I am also experiencing jaundice in my eyes. Could it be a liver problem?",9
32,"Doctor, I think I might have a thoracic aortic aneurysm, can you please tell me what tests I need to do?",2
33,"Hello, I've been experiencing some intense headaches recently and I'm worried it might be something serious.",9
34,"Doctor, I was diagnosed with congenital rubella. What medical tests do I need to undergo?",10
35,"Doctor, I have been recently diagnosed with diabetic retinopathy, what tests do I need to undergo?",12
36,"Doctor, I have been experiencing severe muscle pain, fatigue, and sleep disturbances for a few months now. I have done some research and I think I might have fibromyalgia, can you help me confirm it?",11
37,"Doctor, I'm experiencing abdominal pain and I think it might be related to my bowel. Can you help me?",9
38,"Doctor, I think my child may have fetal alcohol syndrome. What tests are required to confirm this?",14
39,"Doctor, I have been feeling some abdominal pain with fever for the last few days. I am worried it might be peritonitis.",6
40,"Doctor, I have this sharp pain in my abdomen. I think I might have injured myself.",13
41,"Doctor, I have been experiencing severe pain in my abdomen, along with nausea and vomiting. I am also having trouble digesting food. ",17
42,"Doctor, I'm experiencing pain, swelling, and redness in my leg. My doctor suspected it might be thrombophlebitis. What medical tests do I need to undergo?",15
43,"Doctor, I have been experiencing shortness of breath, wheezing and coughing lately. I think I may have Asthma.",4
44,"Doctor, I think I have a foreign object stuck in my vagina.",10
45,"Doctor, I have been experiencing a tingling and uncomfortable sensation in my legs that keeps me awake at night. I have trouble sleeping because of it.",18
46,"Doctor, I have been experiencing shortness of breath lately and coughing up phlegm. I am afraid it could be emphysema.",12
47,"Hi doctor, I've been experiencing headaches, seizures and loss of appetite for the past few weeks. I did some research and I think I may have cysticercosis. ",10
48,"Doctor, I recently had an induced abortion and I'm feeling quite weak and have some pain. ",8
49,"Doctor, my baby has been very fussy and irritable lately. I'm pretty sure he's going through teething syndrome.",15
50,"Doctor, I have been experiencing severe stomach pain, nausea and vomiting, and diarrhea. I fear it might be an infectious gastroenteritis.",8
52,"Doctor, I have been experiencing some symptoms associated with Von Hippel-Lindau disease.",7
