Q_ID,Avg_Distance
5239,3.0
913,4.0
205,3.0
2254,3.0
2007,3.333
1829,2.0
1144,4.0
840,5.333
4468,1
713,4.0
4838,4.0
3457,4.0
261,2.667
245,3.0
768,2.0
1792,2.0
1906,2.0
4140,2.0
4932,2.0
218,2.0
4598,3.333
1629,2.0
5324,4.0
4465,2.75
3437,3.333
1806,2.0
3680,1
4828,2.5
2279,2.5
54,2.333
1308,5.0
3463,4.0
2788,5.0
2277,3.0
1274,3.0
1764,2.0
2758,4.0
838,1.5
760,2.0
3113,4.0
793,2.0
2941,4.0
2818,3.0
4946,3.0
2167,4.0
356,1
3764,3.0
4393,4.0
1023,3.5
3101,5.333
646,4.0
4523,2.0
2402,4.667
5150,1
5067,4.0
2963,3.0
4730,2.0
1576,2.0
570,3.0
376,2.0
5418,4.0
1867,2.0
2371,2.0
654,1.4
1908,2.0
828,3.0
3114,4.0
2278,2.0
3715,4.0
5208,3.5
2989,3.333
1333,4.4
3033,3.0
2911,2.0
1717,2.0
2188,6.4
5309,2.5
585,3.0
4991,4.0
5202,2.5
1402,2.0
4376,2.5
2006,2.0
1339,2.0
3787,4.0
3109,3.0
2212,5.0
5243,2.0
4563,2.8
1800,2.667
2657,3.0
459,1.0
1877,2.0
263,4.0
2585,2.75
3287,1
2194,4.0
543,2.0
1729,2.0
4647,2.0
2578,2.667
1742,2.0
5370,4.0
4090,3.0
3242,2.0
5267,4.0
3759,2.2
1171,2.0
2170,3.333
2021,2.5
4599,4.0
4416,3.5
2153,2.5
4789,3.333
3510,3.333
4781,2.5
3272,2.0
2966,2.0
1797,2.0
1134,4.0
4175,4.0
4043,3.0
745,2.0
386,3.0
899,4.5
1253,2.0
5141,3.0
1311,3.0
3459,3.75
4886,4.0
521,2.0
3153,1
3127,2.0
4882,3.0
3835,3.6
4335,1
2060,3.333
4533,2.0
95,3.2
939,2.0
4399,7.0
2186,4.0
5251,2.5
2787,4.0
914,3.0
2405,2.0
3562,3.0
1296,4.667
3717,1
27,3.0
2158,2.0
4101,6.0
1464,2.0
4159,2.667
872,3.0
5123,6.4
2445,3.0
5235,3.333
4989,4.0
1630,4.0
3064,1
1324,3.667
4419,4.0
4345,2.667
5,4.0
4907,3.0
2656,4.0
4003,2.5
160,2.0
917,3.0
2974,4.0
2520,2.0
1962,3.333
475,2.667
1974,2.0
4648,2.5
702,3.0
3982,3.0
567,2.333
4364,2.667
1031,3.5
1052,3.0
5405,2.5
3894,2.0
4504,5.0
1353,5.0
2172,2.0
4323,3.0
4970,3.0
3467,4.0
1736,3.333
4418,2.0
1648,3.5
3269,1
3060,1
3589,3.333
4240,3.5
3699,2.667
992,4.0
2031,2.5
1841,2.0
525,3.0
2770,1
173,2.667
4820,3.333
4538,3.0
1886,1.667
4821,9.333
1805,2.0
59,1.5
582,2.0
5170,3.333
483,2.5
1876,2.0
258,2.0
2707,4.0
581,3.5
4212,1
1950,2.0
2282,1
3977,4.0
1756,2.0
1084,2.0
4678,3.0
