Q_ID,Distance
5239,2.0
913,2.218
205,2.036
2254,2.436
2007,1.893
1829,2.0
1144,1.333
840,2.487
4468,2.5
713,2.111
4838,2.0
3457,1.821
261,1.81
245,2.255
768,0
1792,2.0
1906,0
4140,2.0
4932,0
218,0
4598,1.891
1629,0
5324,2.0
4465,2.133
3437,2.485
1806,2.0
3680,1.611
4828,1.944
2279,2.2
54,1.5
1308,1.889
3463,1.81
2788,2.333
2277,2.439
1274,2.267
1764,2.0
2758,1.8
838,1.0
760,2.0
3113,2.145
793,2.0
2941,1.714
2818,2.0
4946,2.111
2167,1.857
356,1.956
3764,1.75
4393,1.857
1023,2.0
3101,2.4
646,2.0
4523,2.0
2402,2.167
5150,2.333
5067,1.333
2963,2.0
4730,2.0
1576,0
570,2.19
376,2.0
5418,1.679
1867,2.0
2371,2.0
654,2.0
1908,0
828,1.667
3114,1.333
2278,2.0
3715,1.821
5208,1.964
2989,2.111
1333,2.244
3033,2.0
2911,2.0
1717,2.0
2188,2.691
5309,1.929
585,2.311
4991,2.485
5202,2.47
1402,1.905
4376,2.267
2006,2.0
1339,0
3787,2.378
3109,2.0
2212,2.111
5243,2.0
4563,1.944
1800,2.0
2657,2.0
459,0
1877,2.0
263,2.182
2585,2.278
3287,2.363
2194,2.205
543,2.0
1729,2.0
4647,2.0
2578,1.8
1742,2.0
5370,1.857
4090,1.8
3242,2.0
5267,1.821
3759,2.244
1171,2.0
2170,1.964
2021,2.333
4599,2.0
4416,1.944
2153,2.0
4789,1.524
3510,1.524
4781,2.067
3272,2.0
2966,2.0
1797,2.0
1134,1.714
4175,2.352
4043,1.75
745,2.0
386,2.167
899,2.308
1253,2.0
5141,2.255
1311,2.179
3459,2.333
4886,2.356
521,1.905
3153,1.964
3127,0
4882,2.327
3835,2.258
4335,2.529
2060,1.619
4533,0
95,2.258
939,2.0
4399,2.333
2186,2.056
5251,1.333
2787,2.629
914,1.944
2405,0
3562,2.0
1296,2.156
3717,2.231
27,2.056
2158,0
4101,0
1464,2.667
4159,2.374
872,2.0
5123,2.136
2445,1.889
5235,2.389
4989,2.222
1630,2.0
3064,2.036
1324,2.182
4419,1.524
4345,2.071
5,2.364
4907,1.81
2656,2.056
4003,2.0
160,2.0
917,1.867
2974,2.067
2520,2.0
1962,2.0
475,2.0
1974,2.0
4648,2.286
702,1.81
3982,1.714
567,2.071
4364,2.167
1031,2.022
1052,2.359
5405,2.143
3894,2.0
4504,2.0
1353,1.524
2172,2.0
4323,2.256
4970,1.867
3467,1.821
1736,2.056
4418,0
1648,2.071
3269,2.145
3060,2.145
3589,1.929
4240,2.362
3699,2.378
992,2.289
2031,2.0
1841,0
525,2.095
2770,1.889
173,2.4
4820,2.4
4538,1.867
1886,0
4821,2.231
1805,2.0
59,0
582,2.0
5170,2.111
483,2.179
1876,2.0
258,0
2707,0
581,2.303
4212,2.362
1950,2.0
2282,1.778
3977,2.111
1756,2.0
1084,2.0
4678,1.524
4721,2.484
3873,2.41
1991,2.0
3875,1.929
3335,2.0
1560,2.111
773,1.8
795,0
5399,0
3532,2.111
2903,1.524
3470,2.205
3368,1.467
3826,1.714
444,2.439
5354,2.056
5294,1.929
807,0
497,2.711
3299,2.244
2780,0
896,2.0
2037,2.0
1570,2.0
1559,1.81
4394,2.632
3676,2.0
1149,2.095
1504,1.333
3790,2.476
2047,0
618,2.0
3631,0
4509,1.714
803,2.073
415,2.273
5343,1.8
4429,2.333
121,2.0
765,1.5
1937,1.889
1363,1.956
3330,2.0
3979,2.0
3944,1.944
1752,1.333
3286,2.318
481,2.389
1349,2.558
3105,2.0
18,0
3199,1.714
2173,1.81
3728,2.095
2337,0
3466,0
4553,1.929
5423,2.0
3987,2.0
1269,2.107
1556,1.667
2431,2.036
1784,2.077
480,2.0
4745,1.714
4442,0
500,2.073
2570,2.0
469,2.267
411,2.0
4786,1.944
3906,2.288
4120,2.0
4351,2.111
1290,1.667
466,2.255
4161,0
657,1.893
1523,2.0
562,2.436
4875,2.133
557,2.222
