Q_ID,Distance
5239,2.0
913,2.242
205,2.0
2254,2.073
2007,2.015
1829,2.0
1144,1.333
840,3.0
4468,2.0
713,1.333
4838,2.051
3457,2.0
261,1.733
245,2.176
768,0
1792,2.0
1906,0
4140,1.709
4932,0
218,0
4598,1.533
1629,0
5324,1.818
4465,1.833
3437,2.503
1806,2.0
3680,inf
4828,1.644
2279,2.333
54,1.6
1308,1.956
3463,2.0
2788,2.4
2277,2.352
1274,2.091
1764,2.0
2758,1.8
838,1.0
760,2.0
3113,2.4
793,2.0
2941,3.107
2818,2.0
4946,2.0
2167,1.756
356,inf
3764,2.0
4393,2.128
1023,1.833
3101,3.0
646,2.0
4523,2.0
2402,2.071
5150,inf
5067,1.333
2963,2.0
4730,2.0
1576,0
570,2.036
376,2.0
5418,1.667
1867,2.0
2371,2.0
654,2.0
1908,0
828,1.611
3114,1.333
2278,2.0
3715,1.821
5208,2.077
2989,2.231
1333,2.458
3033,2.0
2911,2.0
1717,2.0
2188,4.218
5309,2.348
585,2.165
4991,2.583
5202,2.473
1402,2.0
4376,1.891
2006,2.0
1339,0
3787,1.933
3109,2.229
2212,2.036
5243,2.0
4563,2.133
1800,2.0
2657,2.0
459,0
1877,2.0
263,2.283
2585,1.929
3287,2.0
2194,2.353
543,2.0
1729,2.0
4647,2.0
2578,2.0
1742,2.0
5370,2.273
4090,2.056
3242,2.0
5267,1.956
3759,2.231
1171,2.0
2170,2.091
2021,2.333
4599,2.0
4416,2.073
2153,2.0
4789,1.782
3510,1.722
4781,2.667
3272,2.0
2966,2.0
1797,2.0
1134,1.778
4175,2.471
4043,1.75
745,2.0
386,2.167
899,2.121
1253,2.0
5141,2.333
1311,1.978
3459,2.515
4886,2.103
521,2.286
3153,inf
3127,0
4882,2.044
3835,2.152
4335,2.0
2060,2.197
4533,0
95,2.0
939,2.0
4399,3.5
2186,2.0
5251,1.8
2787,2.517
914,1.897
2405,0
3562,2.0
1296,2.636
3717,0
27,1.985
2158,0
4101,1.974
1464,2.051
4159,3.089
872,2.0
5123,3.524
2445,2.056
5235,2.214
4989,1.756
1630,1.778
3064,2.0
1324,2.545
4419,1.711
4345,1.722
5,1.911
4907,1.944
2656,2.077
4003,2.0
160,2.0
917,1.933
2974,1.889
2520,2.0
1962,2.0
475,1.714
1974,2.0
4648,2.19
702,2.0
3982,1.611
567,2.218
4364,2.0
1031,2.182
1052,2.133
5405,1.867
3894,2.0
4504,2.167
1353,2.397
2172,2.0
4323,2.889
4970,1.964
3467,1.821
1736,1.571
4418,0
1648,2.111
3269,inf
3060,inf
3589,2.0
4240,2.574
3699,2.089
992,2.4
2031,2.0
1841,0
525,1.8
2770,inf
173,2.286
4820,2.308
4538,1.867
1886,0
4821,4.111
1805,2.0
59,0
582,2.0
5170,2.282
483,2.0
1876,2.0
258,0
2707,2.61
581,2.182
4212,inf
1950,2.0
2282,inf
3977,2.103
1756,2.0
1084,0
4678,1.697
4721,2.6
3873,2.933
1991,2.0
3875,2.154
3335,2.0
1560,1.974
773,1.643
795,0
5399,0
3532,2.111
2903,1.464
3470,1.889
3368,2.145
3826,1.429
444,1.333
5354,2.275
5294,2.0
807,0
497,2.357
3299,2.179
2780,0
896,2.0
2037,2.0
1570,2.0
1559,1.81
4394,2.833
3676,2.0
1149,2.145
1504,1.333
3790,2.389
2047,0
618,1.939
3631,0
4509,2.0
803,inf
415,2.333
5343,1.833
4429,2.418
121,1.889
765,1.5
1937,2.417
1363,1.985
3330,2.0
3979,2.0
3944,1.818
1752,1.333
3286,2.051
481,2.4
1349,3.158
3105,2.0
18,0
3199,2.152
2173,2.0
3728,2.0
2337,1.923
3466,2.0
4553,1.956
5423,2.0
3987,2.0
1269,2.056
1556,1.667
2431,2.0
1784,inf
480,2.0
4745,1.844
4442,0
500,1.844
2570,2.21
469,2.267
411,2.0
4786,1.956
3906,2.136
4120,2.0
4351,1.822
1290,1.714
466,2.179
4161,0
657,2.762
1523,2.0
562,2.089
4875,1.778
557,inf
1927,1.81
3308,2.0
983,2.467
4667,1.758
2017,2.0
4743,2.407
4871,1.97
326,2.154
5074,2.015
672,2.0
3435,2.497
5386,inf
4782,2.385
4631,3.167
4283,2.0
2592,2.464
2137,2.0
1674,2.0
2574,2.909
1956,0
2176,2.0
3243,1.778
1073,inf
5288,2.158
2458,0
3746,1.711
2591,2.0
595,3.786
77,2.036
3755,2.167
5089,2.436
4613,2.0
820,1.5
601,1.0
4405,2.341
1747,2.205
4145,1.81
1086,2.0
2860,1.818
564,1.667
2002,1.6
3028,2.103
2335,2.057
1293,1.822
3590,2.0
