Q_ID,Distance
5239,2.0
913,2.359
205,2.0
2254,1.855
2007,1.833
1829,2.0
1144,1.333
840,3.0
4468,2.0
713,1.333
4838,2.051
3457,2.19
261,1.822
245,1.897
768,0
1792,2.0
1906,0
4140,1.5
4932,0
218,0
4598,1.429
1629,0
5324,1.467
4465,1.944
3437,2.036
1806,2.0
3680,inf
4828,1.667
2279,2.357
54,1.6
1308,2.095
3463,2.0
2788,2.076
2277,2.258
1274,1.673
1764,2.0
2758,1.8
838,1.0
760,2.0
3113,2.4
793,2.0
2941,3.107
2818,2.0
4946,1.524
2167,2.396
356,inf
3764,2.0
4393,2.067
1023,1.4
3101,3.0
646,2.0
4523,2.0
2402,1.923
5150,inf
5067,1.333
2963,2.0
4730,2.0
1576,0
570,1.333
376,2.0
5418,1.667
1867,2.0
2371,2.0
654,2.0
1908,0
828,1.524
3114,1.333
2278,2.0
3715,1.821
5208,2.103
2989,1.927
1333,2.191
3033,2.0
2911,2.0
1717,2.0
2188,4.218
5309,1.524
585,1.964
4991,2.433
5202,2.509
1402,2.0
4376,1.855
2006,2.0
1339,0
3787,1.511
3109,1.889
2212,1.733
5243,2.0
4563,1.889
1800,2.0
2657,2.0
459,0
1877,2.0
263,2.283
2585,2.133
3287,2.0
2194,1.714
543,2.0
1729,2.0
4647,2.0
2578,1.867
1742,2.0
5370,1.81
4090,2.056
3242,2.0
5267,1.956
3759,2.231
1171,2.0
2170,1.846
2021,2.4
4599,2.0
4416,1.927
2153,2.0
4789,1.803
3510,1.697
4781,2.667
3272,2.0
2966,2.0
1797,2.0
1134,1.778
4175,2.348
4043,1.75
745,2.0
386,2.167
899,2.282
1253,2.0
5141,1.778
1311,1.818
3459,2.527
4886,1.864
521,2.0
3153,inf
3127,0
4882,1.673
3835,1.985
4335,2.0
2060,1.619
4533,0
95,2.0
939,2.0
4399,3.5
2186,1.818
5251,1.611
2787,2.383
914,2.0
2405,0
3562,2.0
1296,2.636
3717,0
27,1.667
2158,0
4101,1.802
1464,2.022
4159,2.867
872,2.0
5123,3.524
2445,1.619
5235,2.327
4989,1.4
1630,1.667
3064,2.0
1324,2.618
4419,1.733
4345,1.964
5,1.722
4907,1.944
2656,2.026
4003,2.0
160,2.0
917,2.061
2974,1.643
2520,2.0
1962,2.0
475,2.0
1974,2.0
4648,2.286
702,2.0
3982,1.556
567,1.964
4364,2.0
1031,1.643
1052,2.0
5405,1.927
3894,2.0
4504,2.167
1353,2.248
2172,2.0
4323,2.75
4970,1.75
3467,1.821
1736,1.818
4418,0
1648,2.111
3269,inf
3060,inf
3589,2.0
4240,2.394
3699,2.036
992,2.436
2031,2.0
1841,0
525,1.8
2770,inf
173,2.286
4820,2.333
4538,1.867
1886,0
4821,4.111
1805,2.0
59,0
582,2.0
5170,2.107
483,1.909
1876,2.0
258,0
2707,2.015
581,2.182
4212,inf
1950,2.0
2282,inf
3977,2.103
1756,2.0
1084,0
4678,1.905
4721,2.6
3873,2.933
1991,2.0
3875,1.864
3335,2.0
1560,1.714
773,1.467
795,0
5399,0
3532,2.111
2903,1.5
3470,1.872
3368,1.619
3826,2.156
444,1.333
5354,2.198
5294,1.848
807,0
497,2.286
3299,1.924
2780,0
896,2.0
2037,2.0
1570,2.0
1559,1.81
4394,2.833
3676,2.0
1149,2.145
1504,1.333
3790,2.389
2047,0
618,1.782
3631,0
4509,1.607
803,inf
415,1.636
5343,1.833
4429,2.385
121,1.81
765,1.5
1937,1.905
1363,1.571
3330,1.611
3979,2.0
3944,1.891
1752,1.333
3286,1.81
481,2.4
1349,3.33
3105,2.0
18,0
3199,1.4
2173,2.0
3728,1.893
2337,2.353
3466,2.0
4553,1.956
5423,2.0
3987,2.0
1269,1.889
1556,1.667
2431,2.0
1784,inf
480,2.0
4745,1.8
4442,0
500,1.6
2570,1.619
469,2.267
411,2.0
4786,1.956
3906,2.436
4120,2.0
4351,1.778
1290,1.714
466,1.889
4161,0
657,2.762
1523,2.0
562,1.667
4875,1.524
557,inf
1927,2.056
3308,2.0
983,2.467
4667,1.524
2017,2.0
4743,2.362
4871,1.8
326,2.231
5074,1.855
672,2.0
3435,1.985
5386,inf
4782,1.619
4631,3.167
4283,2.288
2592,2.464
2137,2.0
1674,2.0
2574,2.909
1956,0
2176,2.0
3243,1.889
1073,inf
5288,2.429
2458,0
3746,1.556
2591,2.0
595,3.786
77,2.036
3755,2.167
5089,2.2
4613,2.0
820,1.5
601,1.0
4405,2.179
1747,1.667
4145,2.036
1086,2.0
2860,1.75
564,1.619
2002,1.6
3028,1.733
2335,2.089
1293,1.889
