Q_ID,Distance
5239,2.0
913,2.076
205,1.75
2254,1.867
2007,2.0
1829,2.0
1144,1.333
840,2.333
4468,2.0
713,2.19
4838,2.051
3457,2.036
261,1.745
245,1.872
768,0
1792,2.0
1906,0
4140,2.109
4932,0
218,0
4598,1.607
1629,0
5324,1.524
4465,1.944
3437,1.864
1806,2.0
3680,inf
4828,1.711
2279,2.222
54,2.0
1308,1.956
3463,2.0
2788,2.21
2277,2.324
1274,2.103
1764,2.0
2758,1.8
838,1.0
760,2.0
3113,2.044
793,2.0
2941,1.778
2818,2.0
4946,2.026
2167,1.756
356,inf
3764,2.0
4393,2.128
1023,1.923
3101,2.242
646,2.0
4523,2.0
2402,2.071
5150,inf
5067,1.333
2963,2.0
4730,2.0
1576,0
570,2.109
376,2.0
5418,1.667
1867,2.0
2371,2.0
654,2.0
1908,0
828,1.611
3114,1.333
2278,2.0
3715,1.821
5208,2.077
2989,2.231
1333,2.316
3033,2.0
2911,2.0
1717,2.0
2188,2.269
5309,2.318
585,2.121
4991,2.542
5202,2.473
1402,1.821
4376,1.927
2006,2.0
1339,0
3787,1.891
3109,2.19
2212,1.833
5243,2.0
4563,2.324
1800,2.0
2657,2.0
459,0
1877,2.0
263,2.283
2585,2.106
3287,2.0
2194,2.324
543,2.0
1729,2.0
4647,2.0
2578,2.182
1742,2.0
5370,2.242
4090,2.056
3242,2.0
5267,1.956
3759,2.231
1171,2.0
2170,2.091
2021,2.333
4599,2.0
4416,2.073
2153,2.0
4789,1.782
3510,1.722
4781,2.133
3272,2.0
2966,2.0
1797,2.0
1134,1.778
4175,2.431
4043,1.75
745,2.0
386,2.167
899,2.121
1253,2.0
5141,2.256
1311,1.978
3459,2.41
4886,2.128
521,1.429
3153,inf
3127,0
4882,2.044
3835,2.133
4335,2.0
2060,2.167
4533,0
95,1.949
939,2.0
4399,2.267
2186,2.076
5251,1.8
2787,2.5
914,1.897
2405,0
3562,2.0
1296,2.279
3717,0
27,1.985
2158,0
4101,1.974
1464,2.051
4159,2.015
872,2.0
5123,2.327
2445,2.036
5235,2.25
4989,2.036
1630,1.778
3064,2.0
1324,2.352
4419,1.711
4345,1.722
5,1.911
4907,1.944
2656,2.077
4003,2.0
160,2.0
917,1.933
2974,1.889
2520,2.0
1962,2.0
475,1.867
1974,2.0
4648,2.179
702,1.864
3982,1.611
567,2.218
4364,1.889
1031,2.182
1052,2.114
5405,1.867
3894,2.0
4504,2.128
1353,2.338
2172,2.0
4323,2.282
4970,2.209
3467,1.821
1736,1.571
4418,0
1648,2.111
3269,inf
3060,inf
3589,1.897
4240,2.471
3699,2.111
992,2.509
2031,2.0
1841,0
525,2.095
2770,inf
173,2.286
4820,2.341
4538,1.867
1886,0
4821,2.253
1805,2.0
59,0
582,2.0
5170,2.256
483,2.0
1876,2.0
258,0
2707,2.19
581,2.182
4212,inf
1950,2.0
2282,inf
3977,2.103
1756,2.0
1084,0
4678,1.697
4721,2.103
3873,2.133
1991,2.0
3875,2.154
3335,2.0
1560,2.198
773,1.643
795,0
5399,0
3532,2.111
2903,1.464
3470,1.889
3368,2.145
3826,1.429
444,2.341
5354,2.187
5294,2.0
807,0
497,2.231
3299,2.103
2780,0
896,2.0
2037,2.0
1570,2.0
1559,1.81
4394,2.49
3676,2.0
1149,2.145
1504,1.333
3790,2.389
2047,0
618,1.939
3631,0
4509,2.0
803,inf
415,2.333
5343,1.81
4429,2.418
121,1.889
765,1.5
1937,2.367
1363,1.985
3330,2.0
3979,2.0
3944,1.818
1752,1.333
3286,2.114
481,2.318
1349,2.56
3105,2.0
18,0
3199,2.132
2173,1.81
3728,2.0
2337,1.923
3466,2.324
4553,1.956
5423,2.0
3987,2.0
1269,2.056
1556,1.667
2431,2.255
1784,inf
480,2.0
4745,1.844
4442,0
500,1.844
2570,2.21
469,2.267
411,2.0
4786,1.956
3906,2.136
4120,2.0
4351,1.822
1290,1.714
466,2.165
4161,0
657,1.782
1523,2.0
562,2.227
4875,1.889
557,inf
1927,1.81
3308,2.0
983,1.821
4667,1.758
2017,2.0
4743,2.363
4871,1.97
326,2.128
5074,2.015
672,2.0
3435,2.497
5386,inf
4782,2.45
4631,2.275
4283,2.0
2592,2.076
2137,2.0
1674,2.0
2574,2.634
1956,0
2176,2.0
3243,1.778
1073,inf
5288,2.158
2458,0
3746,1.711
2591,2.0
595,2.471
77,2.036
3755,2.167
5089,2.4
4613,2.0
820,1.5
601,1.333
4405,2.231
1747,2.0
4145,1.667
1086,2.0
2860,1.818
564,1.667
2002,1.6
3028,2.103
2335,1.934
1293,1.822
3590,2.0
4451,0
2479,2.179
5011,2.182
5358,2.5
65,2.0
4544,2.154
2453,2.0
5435,1.978
849,inf
1101,inf
946,1.864
877,2.077
2232,1.333
2309,0
4955,2.22
1726,2.0
2809,1.905
1668,inf
5196,2.0
2163,2.405
4141,1.429
2058,1.833
417,2.0
757,2.121
5197,2.676
2267,2.394
362,2.667
30,1.733
2733,2.045
1072,2.0
5220,2.111
2146,2.442
3620,2.0
4520,2.0
3504,0
4595,2.0
80,2.343
617,1.893
1222,1.333
4470,2.357
296,2.0
3025,2.167
4772,2.0
4527,1.974
1214,2.178
3521,1.944
1045,0
343,2.015
2526,2.0
2988,0
327,2.0
2932,2.343
1721,2.0
2045,0
843,inf
2898,2.179
4587,1.833
1267,2.0
1940,0
1332,1.924
1451,1.978
3378,2.0
204,2.0
1470,2.061
2722,1.711
3373,1.905
2033,2.0
1305,2.0
886,2.036
3134,1.714
318,1.333
3856,2.0
1823,2.0
1635,2.154
3771,1.756
2865,2.305
2501,2.057
1865,0
1827,1.714
194,2.242
5407,2.0
1583,0
3265,inf
2690,2.258
2283,2.0
569,2.2
2287,2.309
2877,1.929
5256,1.467
4174,1.889
3275,2.015
2713,inf
227,1.467
945,2.0
2140,1.821
1463,1.333
4757,0
2175,0
314,inf
889,0
4888,1.989
3560,1.893
2832,2.0
3575,1.893
4967,1.964
4190,inf
948,1.0
3156,2.0
4724,2.0
1558,0
2087,1.4
364,1.782
3573,2.0
14,2.036
4260,1.889
4411,2.0
1615,2.255
2984,1.81
3534,2.158
574,2.321
5442,2.0
2705,1.927
5105,2.375
2572,2.363
1021,0
2461,2.0
4155,1.619
2534,1.4
3346,2.378
2673,2.438
3297,1.778
2423,1.855
4542,0
1043,1.5
1572,0
3445,2.167
5448,2.381
3106,2.0
1426,2.0
5043,2.536
4663,2.073
2466,2.11
3327,2.0
4489,2.0
4,1.944
2490,0
2351,2.0
1722,1.929
3522,2.073
4752,2.222
5364,2.267
2640,1.923
3810,1.818
3623,2.492
1751,2.0
4188,1.911
3877,2.417
1391,1.709
5398,2.242
695,2.0
2325,2.145
4223,2.0
5439,2.385
5186,inf
5073,1.889
2746,2.0
766,1.893
1925,1.6
2543,1.714
1632,0
1208,1.833
201,2.0
379,1.964
3893,2.0
5008,2.0
597,2.0
3731,2.0
3396,0
5160,1.571
4716,2.076
1593,2.0
3146,1.821
4050,2.011
3274,1.6
1999,2.0
1209,1.714
5375,2.258
46,2.0
874,2.0
3483,2.089
1793,2.0
1441,2.333
4244,2.128
3806,1.867
412,1.0
4567,1.778
2042,1.956
995,1.911
3740,2.0
1093,1.964
3807,2.0
4352,2.0
4579,inf
4878,1.745
2600,2.0
3626,2.128
5019,2.0
4136,1.924
3496,2.0
3653,2.0
1304,2.147
3889,2.154
3687,1.978
2124,2.0
2026,1.556
5224,0
2272,1.833
4271,1.933
3970,1.933
5135,2.0
1960,2.036
2250,0
3604,1.778
635,2.051
2341,2.0
1921,2.0
2226,1.8
2752,2.0
2620,2.088
4425,2.509
661,1.833
1236,1.333
1895,inf
3138,1.564
1252,2.514
1753,2.0
527,inf
3399,1.75
3340,1.714
2711,2.0
4446,2.143
3817,1.8
3407,2.0
511,2.0
1695,2.0
3442,1.778
3191,1.778
4785,2.0
161,1.714
4717,1.964
3117,2.121
3908,1.5
49,2.356
2882,2.0
2447,0
3195,2.111
3433,2.0
4410,1.889
4474,1.5
4942,1.821
1807,2.145
4000,2.0
1798,2.0
2236,2.0
3571,2.253
238,2.036
3186,2.19
2754,2.0
3313,2.0
3829,2.056
1046,2.505
5098,inf
221,2.182
3228,1.927
4849,1.893
4624,inf
5432,2.253
223,1.81
688,1.786
5266,1.714
3512,2.0
1112,2.058
3783,2.089
1489,2.289
2132,1.756
2682,2.0
1734,0
3725,1.722
2678,2.0
2765,2.303
2280,2.255
3454,2.49
2067,2.0
671,1.833
3853,1.333
159,2.182
427,2.436
2867,2.273
1837,0
5326,2.256
563,2.095
5340,1.778
330,2.273
255,2.212
1634,2.167
167,1.778
5090,2.0
1249,1.818
1955,2.0
1035,0
3880,1.333
938,2.362
4621,2.0
1786,inf
2100,2.0
3022,0
1375,1.5
4964,1.889
4975,2.0
1342,1.867
2549,inf
4741,2.145
211,1.714
2556,2.182
3075,2.327
3250,1.667
1625,0
623,2.03
4851,2.0
5139,2.0
1990,inf
835,2.0
2471,1.8
4919,0
4637,2.178
337,2.1
2845,2.114
4365,2.0
5420,2.304
3036,2.0
565,2.286
5305,1.833
2796,1.778
104,1.689
4016,2.0
865,1.333
3552,2.143
2968,2.0
5207,2.21
3767,2.455
1254,1.667
3568,2.0
1443,2.036
4275,2.318
5329,2.244
2213,2.0
5046,2.4
4409,2.179
3961,2.128
3809,1.744
3569,1.905
4854,2.342
2199,2.308
