Q_ID,Distance
5239,2.0
913,2.2
205,2.0
2254,2.167
2007,2.0
1829,0
1144,1.333
840,2.167
4468,2.679
713,1.333
4838,1.333
3457,2.167
261,2.167
245,2.333
768,0
1792,2.0
1906,0
4140,2.667
4932,0
218,0
4598,2.167
1629,0
5324,2.0
4465,3.5
3437,2.0
1806,2.0
3680,2.133
4828,2.667
2279,2.667
54,0
1308,1.667
3463,1.333
2788,2.933
2277,3.333
1274,2.0
1764,2.0
2758,1.333
838,0
760,0
3113,2.167
793,0
2941,2.4
2818,2.0
4946,2.667
2167,1.333
356,2.0
3764,2.167
4393,1.333
1023,2.333
3101,2.167
646,2.0
4523,2.0
2402,2.667
5150,2.667
5067,1.333
2963,3.333
4730,0
1576,0
570,2.0
376,0
5418,1.333
1867,0
2371,2.0
654,0
1908,0
828,1.0
3114,1.333
2278,2.0
3715,1.333
5208,2.0
2989,3.0
1333,3.455
3033,2.0
2911,0
1717,2.0
2188,2.6
5309,3.333
585,2.167
4991,1.6
5202,2.667
1402,2.0
4376,2.0
2006,2.0
1339,0
3787,1.333
3109,1.333
2212,1.667
5243,2.0
4563,4.0
1800,2.0
2657,2.0
459,0
1877,0
263,2.0
2585,2.667
3287,2.679
2194,2.933
543,0
1729,0
4647,0
2578,2.167
1742,2.0
5370,3.0
4090,1.0
3242,0
5267,1.333
3759,2.667
1171,2.0
2170,2.4
2021,2.167
4599,2.933
4416,2.167
2153,2.0
4789,2.167
3510,2.0
4781,2.667
3272,0
2966,0
1797,0
1134,1.333
4175,2.133
4043,1.333
745,0
386,2.167
899,1.333
1253,0
5141,2.167
1311,1.0
3459,3.0
4886,1.333
521,0
3153,2.0
3127,0
4882,2.833
3835,2.167
4335,2.822
2060,2.667
4533,0
95,2.0
939,0
4399,3.0
2186,1.333
5251,2.0
2787,3.238
914,2.167
2405,0
3562,2.0
1296,2.4
3717,3.067
27,2.167
2158,0
4101,2.0
1464,2.667
4159,2.464
872,1.0
5123,3.0
2445,2.667
5235,2.667
4989,2.167
1630,1.333
3064,2.0
1324,3.0
4419,1.333
4345,2.167
5,1.333
4907,2.0
2656,1.333
4003,2.0
160,2.0
917,1.0
2974,1.333
2520,2.0
1962,2.167
475,2.0
1974,0
4648,2.167
702,2.0
3982,1.333
567,2.0
4364,2.0
1031,2.6
1052,1.333
5405,2.0
3894,2.0
4504,2.167
1353,1.667
2172,0
4323,2.4
4970,3.0
3467,1.333
1736,1.333
4418,0
1648,2.333
3269,2.667
3060,2.667
3589,2.0
4240,2.821
3699,3.0
992,2.6
2031,0
1841,0
525,1.0
2770,1.667
173,2.667
4820,2.0
4538,1.333
1886,0
4821,2.286
1805,0
59,0
582,2.0
5170,3.0
483,2.0
1876,0
258,0
2707,2.0
581,2.333
4212,2.667
1950,2.0
2282,2.0
3977,1.333
1756,2.0
1084,0
4678,1.333
4721,2.667
3873,2.0
1991,2.0
3875,2.667
3335,2.0
1560,2.333
773,2.0
795,0
5399,0
3532,2.0
2903,2.0
3470,2.667
3368,1.333
3826,2.0
444,1.333
5354,1.333
5294,2.8
807,0
497,2.333
3299,2.167
2780,0
896,2.0
2037,2.0
1570,0
1559,1.333
4394,3.107
3676,0
1149,1.0
1504,1.0
3790,2.667
2047,0
618,2.167
3631,0
4509,2.0
803,2.679
415,1.667
5343,2.0
4429,1.333
121,2.0
765,1.5
1937,2.933
1363,1.333
3330,2.667
3979,2.0
3944,1.333
1752,1.333
3286,2.167
481,2.6
1349,4.171
3105,0
18,0
3199,2.0
2173,2.0
3728,2.667
2337,2.0
3466,2.933
4553,1.333
5423,2.0
3987,0
1269,2.167
1556,1.0
2431,2.0
1784,2.393
480,2.0
4745,1.333
4442,0
500,1.0
2570,2.667
469,2.0
411,2.0
4786,1.333
3906,2.0
4120,2.0
4351,2.167
1290,1.0
466,2.0
4161,0
657,2.0
1523,0
562,3.333
4875,2.0
557,2.286
1927,1.333
3308,0
983,2.167
4667,1.5
2017,2.0
4743,3.524
4871,2.667
326,2.0
5074,1.333
672,2.0
3435,3.0
5386,3.418
4782,2.167
4631,3.156
4283,1.333
2592,3.0
2137,3.333
1674,1.333
2574,3.111
1956,0
2176,2.0
3243,1.333
1073,2.0
5288,2.8
2458,0
3746,2.0
2591,0
595,3.0
77,1.0
3755,2.167
5089,2.4
4613,2.0
820,1.0
601,1.0
4405,2.167
1747,2.0
4145,1.333
1086,1.333
2860,2.0
564,2.0
2002,1.333
3028,2.167
2335,2.8
1293,1.333
3590,0
4451,1.333
2479,2.667
5011,2.167
5358,2.4
65,2.0
4544,3.333
2453,1.333
5435,3.333
849,3.333
1101,3.536
946,2.333
877,1.0
2232,1.333
2309,0
4955,2.667
1726,2.0
2809,2.667
1668,2.889
5196,2.0
2163,1.333
4141,2.0
2058,1.333
417,2.0
757,1.333
5197,3.333
2267,2.167
362,2.167
30,0
2733,2.0
1072,0
5220,2.0
2146,2.821
3620,2.0
4520,0
3504,0
4595,1.333
80,2.467
617,2.167
1222,1.333
4470,1.333
296,1.0
3025,1.333
4772,1.333
4527,1.333
1214,2.4
3521,2.667
1045,2.0
343,2.0
2526,0
2988,0
327,2.0
2932,1.333
1721,0
2045,0
843,1.333
2898,2.0
4587,1.333
1267,0
1940,0
1332,2.0
1451,1.0
3378,2.0
204,2.0
1470,1.667
2722,2.0
3373,1.333
2033,0
1305,0
886,2.333
3134,2.0
318,1.333
3856,0
1823,0
1635,1.333
3771,2.0
