Q_ID,Distance
5239,2.0
913,4.557
205,4.0
2254,2.167
2007,1.865
1829,0
1144,1.333
840,3.0
4468,0
713,1.333
4838,1.333
3457,2.167
261,3.466
245,2.529
768,0
1792,2.667
1906,0
4140,3.535
4932,0
218,0
4598,3.71
1629,0
5324,3.723
4465,5.196
3437,4.355
1806,2.769
3680,0
4828,3.167
2279,4.164
54,1.417
1308,1.667
3463,1.333
2788,2.933
2277,4.2
1274,2.292
1764,3.143
2758,1.333
838,1.0
760,2.0
3113,5.2
793,2.0
2941,4.908
2818,2.0
4946,3.474
2167,1.333
356,0
3764,1.958
4393,1.333
1023,2.86
3101,5.4
646,3.2
4523,2.0
2402,2.571
5150,0
5067,1.333
2963,4.0
4730,2.0
1576,0
570,3.944
376,0
5418,1.333
1867,0
2371,2.0
654,0
1908,0
828,1.0
3114,1.333
2278,2.0
3715,1.333
5208,4.028
2989,3.0
1333,7.128
3033,2.0
2911,2.0
1717,4.133
2188,10.967
5309,4.12
585,2.167
4991,4.516
5202,4.672
1402,2.769
4376,3.022
2006,2.667
1339,0
3787,1.333
3109,2.952
2212,1.667
5243,2.8
4563,5.466
1800,2.0
2657,2.0
459,0
1877,0
263,3.2
2585,4.623
3287,0
2194,2.971
543,0
1729,0
4647,2.706
2578,3.556
1742,2.923
5370,4.432
4090,1.0
3242,2.0
5267,1.333
3759,3.631
1171,2.0
2170,3.0
2021,4.009
4599,3.2
4416,4.983
2153,2.667
4789,4.0
3510,2.167
4781,6.333
3272,0
2966,0
1797,0
1134,1.333
4175,4.421
4043,1.75
745,0
386,2.333
899,3.262
1253,0
5141,2.952
1311,1.0
3459,4.687
4886,1.333
521,2.294
3153,0
3127,0
4882,3.467
3835,5.595
4335,0
2060,2.773
4533,0
95,4.913
939,0
4399,3.8
2186,1.333
5251,4.373
2787,5.843
914,3.196
2405,0
3562,2.0
1296,5.131
3717,0
27,2.074
2158,0
4101,2.0
1464,2.619
4159,6.762
872,1.0
5123,12.0
2445,3.94
5235,2.419
4989,3.018
1630,1.333
3064,0
1324,7.401
4419,1.333
4345,3.062
5,1.333
4907,1.368
2656,1.333
4003,3.471
160,2.0
917,2.0
2974,1.333
2520,2.0
1962,3.333
475,2.15
1974,2.0
4648,4.078
702,2.0
3982,2.02
567,2.86
4364,3.926
1031,3.533
1052,2.982
5405,3.66
3894,4.0
4504,2.167
1353,1.667
2172,0
4323,7.0
4970,4.162
3467,1.333
1736,3.607
4418,0
1648,2.37
3269,0
3060,0
3589,4.0
4240,6.178
3699,3.0
992,3.735
2031,0
1841,0
525,1.0
2770,0
173,2.667
4820,2.963
4538,2.0
1886,0
4821,6.333
1805,0
59,0
582,2.0
5170,2.943
483,1.75
1876,0
258,0
2707,3.557
581,2.6
4212,0
1950,2.0
2282,0
3977,1.333
1756,2.0
1084,0
4678,2.596
4721,6.133
3873,2.933
1991,2.0
3875,4.295
3335,2.0
1560,2.604
773,2.0
795,0
5399,0
3532,3.422
2903,2.667
3470,3.015
3368,2.167
3826,1.95
444,1.333
5354,2.123
5294,2.8
807,0
497,4.082
3299,2.167
2780,0
896,2.941
2037,2.0
1570,2.0
1559,1.333
4394,5.959
3676,0
1149,1.0
1504,1.0
3790,2.667
2047,0
618,2.123
3631,0
4509,3.09
803,0
415,1.667
5343,3.375
4429,1.333
121,2.913
765,3.167
1937,4.378
1363,2.983
3330,2.938
3979,2.0
3944,1.333
1752,1.333
3286,3.79
481,3.966
1349,16.872
3105,0
18,0
3199,2.123
2173,2.0
3728,3.556
2337,2.0
3466,4.4
4553,1.333
5423,2.769
3987,2.0
1269,2.167
1556,1.0
2431,3.407
1784,0
480,5.062
4745,1.333
4442,0
500,2.455
2570,2.985
469,2.615
411,2.0
4786,1.333
3906,3.015
4120,2.0
4351,2.123
1290,1.0
466,3.067
4161,0
657,2.933
1523,0
562,4.962
4875,3.034
557,0
1927,2.37
3308,2.182
983,2.167
4667,4.223
2017,2.0
4743,3.971
4871,3.489
326,2.993
5074,1.333
672,2.0
3435,4.357
5386,0
4782,3.171
4631,7.265
4283,1.333
2592,3.982
2137,0
1674,2.0
2574,8.714
1956,0
2176,2.0
3243,1.333
1073,0
5288,5.483
2458,0
3746,2.4
2591,0
595,10.694
77,2.442
3755,3.167
5089,3.218
4613,2.615
820,1.0
601,1.0
4405,5.004
1747,3.167
4145,2.952
1086,1.333
2860,2.115
564,2.889
2002,1.333
3028,3.626
2335,5.235
1293,1.333
3590,0
4451,0
2479,2.833
5011,3.556
5358,4.978
65,2.0
4544,4.103
2453,1.333
5435,4.346
849,0
1101,0
946,2.351
877,2.176
2232,1.333
2309,0
4955,4.191
1726,2.471
2809,4.439
1668,0
5196,2.8
2163,4.727
4141,2.222
2058,1.333
417,2.0
757,2.933
5197,13.544
2267,4.431
362,3.804
30,2.118
2733,1.85
1072,0
5220,4.417
2146,7.889
3620,3.688
4520,0
3504,0
4595,1.333
80,9.758
617,2.02
1222,1.333
4470,2.846
296,1.0
3025,1.333
4772,1.333
4527,1.333
1214,3.667
3521,5.164
1045,0
343,1.718
2526,2.0
2988,0
327,4.444
2932,1.333
1721,2.0
2045,0
843,0
2898,3.354
4587,2.167
1267,2.0
1940,0
1332,3.043
1451,1.0
3378,2.667
204,2.0
1470,1.667
2722,3.89
3373,1.333
2033,2.0
1305,2.0
886,2.37
3134,2.4
318,1.333
3856,2.909
1823,0
1635,1.333
3771,3.034
2865,1.333
2501,2.0
1865,0
1827,1.718
194,8.83
5407,2.462
1583,0
3265,0
2690,2.0
2283,2.833
569,2.02
2287,2.0
2877,1.333
5256,1.333
4174,8.586
3275,3.896
2713,0
227,2.6
945,2.167
2140,1.333
1463,1.0
4757,0
2175,0
314,0
889,0
4888,2.963
3560,3.744
2832,0
3575,4.476
4967,1.333
4190,0
948,1.0
3156,2.571
4724,2.0
1558,0
2087,1.333
364,1.333
3573,2.255
14,5.158
4260,4.692
4411,0
1615,3.0
2984,1.333
3534,5.404
574,3.733
5442,2.76
2705,3.2
5105,4.689
2572,1.333
1021,0
2461,3.102
4155,3.81
2534,1.95
3346,6.636
2673,5.085
3297,1.647
2423,4.2
4542,0
1043,1.0
1572,0
3445,2.167
5448,4.351
3106,0
1426,1.0
5043,5.845
4663,4.427
2466,4.645
3327,2.0
4489,3.68
4,1.0
2490,0
2351,2.0
1722,2.569
3522,2.074
4752,2.255
5364,3.062
2640,4.155
3810,3.167
3623,2.952
1751,0
4188,1.333
3877,4.943
1391,3.212
5398,1.333
695,2.0
2325,1.333
4223,2.545
5439,4.768
5186,0
5073,1.0
2746,2.0
766,3.5
1925,3.211
2543,3.015
1632,0
1208,1.333
201,2.0
379,4.667
3893,2.0
5008,0
597,1.0
3731,0
3396,0
5160,3.755
4716,3.416
1593,2.571
3146,1.333
4050,3.022
3274,1.889
1999,2.833
1209,2.795
5375,2.952
46,1.538
874,0
3483,2.167
1793,2.0
1441,6.044
4244,2.167
3806,1.333
412,1.0
4567,4.273
2042,2.167
995,2.167
3740,2.0
1093,1.0
3807,4.393
4352,0
4579,0
4878,3.846
2600,0
3626,6.01
5019,0
4136,4.607
3496,0
3653,2.909
1304,1.667
3889,1.333
3687,4.427
2124,3.486
2026,5.092
5224,0
2272,4.412
4271,3.2
3970,5.154
5135,2.0
1960,6.8
2250,0
3604,1.333
635,1.333
2341,2.993
1921,0
2226,3.637
2752,0
2620,1.333
4425,3.437
661,4.67
1236,1.0
1895,0
3138,3.216
1252,3.539
1753,0
527,0
3399,1.333
3340,3.914
2711,0
4446,3.368
3817,1.333
3407,0
511,0
1695,2.462
3442,1.333
3191,2.933
4785,3.733
161,1.0
4717,3.2
3117,3.118
3908,2.333
49,6.644
2882,0
2447,0
3195,4.481
3433,0
4410,3.167
4474,3.022
4942,4.355
1807,1.0
4000,0
1798,2.533
2236,2.0
3571,8.163
238,1.333
3186,2.833
2754,0
3313,2.0
3829,4.0
1046,4.355
5098,0
221,5.802
3228,3.096
4849,3.0
4624,0
5432,1.333
223,3.034
688,2.971
5266,2.02
3512,2.0
1112,3.552
3783,3.09
1489,3.022
2132,1.929
2682,2.667
1734,0
3725,2.167
2678,2.5
2765,2.604
2280,2.913
3454,8.256
2067,0
671,2.074
3853,1.333
159,4.393
427,2.789
2867,1.333
1837,0
5326,5.286
563,4.658
5340,2.993
330,3.533
255,2.985
1634,1.333
167,2.255
5090,3.333
1249,1.0
1955,2.0
1035,0
3880,1.333
938,4.667
4621,0
1786,0
2100,3.556
3022,0
1375,1.0
4964,1.333
4975,0
1342,1.0
2549,0
4741,9.143
211,3.649
2556,2.971
3075,3.635
3250,1.333
1625,0
623,1.333
4851,3.744
5139,2.0
1990,0
835,2.0
2471,1.333
4919,0
4637,4.214
337,1.667
2845,2.0
4365,2.462
5420,5.025
3036,4.382
565,1.964
5305,2.123
2796,2.15
104,3.167
4016,0
865,1.0
3552,2.123
2968,2.667
5207,2.02
3767,5.991
1254,1.0
3568,2.0
1443,4.095
4275,4.365
5329,4.667
2213,0
5046,4.551
4409,6.294
3961,4.867
3809,3.047
3569,1.333
4854,5.969
2199,1.333
