Q_ID,Distance
5239,2.0
913,4.607
205,4.0
2254,2.167
2007,1.692
1829,0
1144,1.333
840,3.0
4468,0
713,1.333
4838,1.333
3457,1.718
261,3.889
245,2.667
768,0
1792,2.667
1906,0
4140,3.246
4932,0
218,0
4598,3.196
1629,0
5324,3.794
4465,4.123
3437,4.929
1806,2.615
3680,0
4828,3.711
2279,4.35
54,1.417
1308,1.667
3463,1.333
2788,3.2
2277,3.96
1274,2.714
1764,3.257
2758,1.333
838,1.0
760,2.0
3113,5.2
793,2.0
2941,4.867
2818,2.0
4946,3.812
2167,1.333
356,0
3764,1.958
4393,1.333
1023,2.803
3101,5.4
646,3.2
4523,2.0
2402,2.823
5150,0
5067,1.333
2963,4.0
4730,2.0
1576,0
570,4.19
376,0
5418,1.333
1867,0
2371,2.0
654,0
1908,0
828,1.0
3114,1.333
2278,2.0
3715,1.333
5208,5.53
2989,3.0
1333,7.128
3033,2.0
2911,2.0
1717,4.133
2188,10.967
5309,3.56
585,2.167
4991,4.346
5202,4.865
1402,2.769
4376,3.062
2006,2.667
1339,0
3787,1.333
3109,3.071
2212,1.667
5243,2.8
4563,5.828
1800,2.0
2657,2.0
459,0
1877,0
263,3.2
2585,4.521
3287,0
2194,3.048
543,0
1729,0
4647,2.706
2578,3.5
1742,2.923
5370,5.2
4090,1.0
3242,2.0
5267,1.333
3759,3.631
1171,2.0
2170,3.292
2021,4.538
4599,3.2
4416,4.88
2153,3.35
4789,4.0
3510,2.123
4781,6.333
3272,0
2966,0
1797,0
1134,1.333
4175,4.516
4043,1.75
745,0
386,2.333
899,3.238
1253,0
5141,3.07
1311,1.0
3459,4.795
4886,1.333
521,2.5
3153,0
3127,0
4882,3.901
3835,5.857
4335,0
2060,3.042
4533,0
95,5.614
939,0
4399,3.8
2186,1.333
5251,2.833
2787,6.041
914,3.2
2405,0
3562,2.0
1296,5.131
3717,0
27,2.167
2158,0
4101,2.0
1464,2.562
4159,7.4
872,1.0
5123,12.0
2445,3.5
5235,2.909
4989,2.429
1630,1.333
3064,0
1324,7.506
4419,1.333
4345,3.314
5,1.333
4907,1.368
2656,1.333
4003,3.481
160,2.0
917,2.036
2974,1.333
2520,2.0
1962,3.333
475,3.35
1974,2.0
4648,4.381
702,2.0
3982,2.167
567,2.86
4364,2.615
1031,3.609
1052,2.432
5405,3.7
3894,4.0
4504,2.167
1353,1.667
2172,0
4323,6.989
4970,4.6
3467,1.333
1736,3.389
4418,0
1648,2.392
3269,0
3060,0
3589,4.0
4240,6.578
3699,3.0
992,4.0
2031,0
1841,0
525,1.0
2770,0
173,2.667
4820,3.867
4538,2.0
1886,0
4821,6.333
1805,0
59,0
582,2.0
5170,3.719
483,1.25
1876,0
258,0
2707,4.056
581,2.609
4212,0
1950,2.0
2282,0
3977,1.333
1756,2.0
1084,0
4678,2.673
4721,6.133
3873,2.933
1991,2.0
3875,4.688
3335,2.0
1560,2.419
773,2.077
795,0
5399,0
3532,3.422
2903,2.714
3470,4.17
3368,2.292
3826,2.167
444,1.333
5354,2.123
5294,2.5
807,0
497,4.0
3299,2.167
2780,0
896,2.941
2037,2.0
1570,2.0
1559,1.333
4394,5.959
3676,0
1149,1.0
1504,1.0
3790,2.667
2047,0
618,1.958
3631,0
4509,3.198
803,0
415,1.667
5343,3.375
4429,1.333
121,2.167
765,3.167
1937,3.348
1363,2.596
3330,2.889
3979,2.0
3944,1.333
1752,1.333
3286,4.02
481,4.0
1349,17.138
3105,0
18,0
3199,2.05
2173,2.0
3728,3.935
2337,2.0
3466,4.4
4553,1.333
5423,2.833
3987,2.0
1269,2.167
1556,1.0
2431,3.407
1784,0
480,5.111
4745,1.333
4442,0
500,2.14
2570,3.14
469,2.615
411,2.0
4786,1.333
3906,2.971
4120,2.0
4351,1.889
1290,1.0
466,3.04
4161,0
657,2.933
1523,0
562,5.833
4875,3.373
557,0
1927,2.37
3308,2.545
983,2.167
4667,3.635
2017,2.0
4743,3.871
4871,3.882
326,2.933
5074,1.333
672,2.0
3435,4.374
5386,0
4782,3.761
4631,7.361
4283,1.333
2592,3.982
2137,0
1674,2.0
2574,8.714
1956,0
2176,2.0
3243,1.333
1073,0
5288,5.533
2458,0
3746,2.193
2591,0
595,10.694
77,2.442
3755,3.167
5089,3.484
4613,2.615
820,1.0
601,1.0
4405,5.738
1747,3.488
4145,2.941
1086,1.333
2860,2.02
564,3.674
2002,1.333
3028,3.231
2335,4.914
1293,1.333
3590,0
4451,0
2479,3.0
5011,3.714
5358,5.688
65,2.0
4544,3.873
2453,1.333
5435,5.029
849,0
1101,0
946,2.37
877,2.0
2232,1.333
2309,0
4955,4.8
1726,2.769
2809,3.99
1668,0
5196,2.8
2163,4.357
4141,2.255
2058,1.333
417,2.0
757,3.043
5197,13.544
2267,4.637
362,4.048
30,2.0
2733,1.895
1072,0
5220,3.8
2146,7.889
3620,3.956
4520,0
3504,0
4595,1.333
80,9.43
617,2.074
1222,1.333
4470,2.846
296,1.0
3025,1.333
4772,1.333
4527,1.333
1214,3.667
3521,4.546
1045,0
343,1.417
2526,2.0
2988,0
327,5.357
2932,1.333
1721,2.0
2045,0
843,0
2898,3.402
4587,2.255
1267,2.0
1940,0
1332,2.714
1451,1.0
3378,2.667
204,2.0
1470,1.667
2722,4.0
3373,1.333
2033,2.0
1305,2.0
886,2.37
3134,2.193
318,1.333
3856,3.333
1823,0
1635,1.333
3771,2.412
2865,1.333
2501,2.0
1865,0
1827,1.958
194,11.041
5407,2.5
1583,0
3265,0
2690,2.0
2283,2.909
569,2.615
2287,2.0
2877,1.333
5256,1.333
4174,8.586
3275,3.867
2713,0
227,2.519
945,2.167
2140,1.333
1463,1.0
4757,0
2175,0
314,0
889,0
4888,3.021
3560,3.701
2832,0
3575,4.589
4967,1.333
4190,0
948,1.0
3156,2.571
4724,2.0
1558,0
2087,1.333
364,1.333
3573,2.167
14,4.133
4260,4.917
4411,0
1615,2.837
2984,1.333
3534,5.432
574,3.733
5442,2.5
2705,3.2
5105,4.393
2572,1.333
1021,0
2461,3.188
4155,3.868
2534,2.797
3346,6.54
2673,5.345
3297,1.611
2423,4.043
4542,0
1043,1.0
1572,0
3445,2.123
5448,4.351
3106,0
1426,1.0
5043,6.203
4663,4.637
2466,4.37
3327,2.0
4489,3.586
4,1.0
2490,0
2351,2.0
1722,2.569
3522,2.167
4752,2.167
