Q_ID,Distance
5239,2.0
913,4.433
205,2.5
2254,2.167
2007,2.0
1829,0
1144,1.333
840,3.054
4468,4.026
713,1.333
4838,1.333
3457,2.167
261,3.815
245,2.609
768,0
1792,2.667
1906,0
4140,5.143
4932,0
218,0
4598,3.778
1629,0
5324,3.8
4465,4.101
3437,4.516
1806,2.444
3680,2.667
4828,4.2
2279,4.065
54,1.5
1308,1.667
3463,1.333
2788,2.933
2277,3.923
1274,2.562
1764,3.0
2758,1.333
838,1.0
760,2.0
3113,5.387
793,2.0
2941,4.738
2818,2.0
4946,3.533
2167,1.333
356,2.0
3764,1.81
4393,1.333
1023,2.714
3101,4.0
646,3.2
4523,2.0
2402,2.8
5150,3.333
5067,1.333
2963,4.0
4730,2.0
1576,0
570,3.842
376,0
5418,1.333
1867,0
2371,2.0
654,0
1908,0
828,1.0
3114,1.333
2278,2.0
3715,1.333
5208,4.0
2989,3.0
1333,3.576
3033,2.0
2911,2.0
1717,4.0
2188,5.491
5309,3.935
585,2.222
4991,4.558
5202,3.8
1402,2.222
4376,3.128
2006,2.667
1339,0
3787,1.333
3109,3.2
2212,1.667
5243,2.8
4563,6.643
1800,2.0
2657,2.0
459,0
1877,0
263,3.2
2585,3.951
3287,4.606
2194,2.933
543,0
1729,0
4647,2.769
2578,2.677
1742,2.909
5370,4.769
4090,1.0
3242,2.0
5267,1.333
3759,3.711
1171,2.0
2170,3.0
2021,4.078
4599,3.2
4416,4.708
2153,3.714
4789,4.0
3510,2.167
4781,5.798
3272,0
2966,0
1797,0
1134,1.333
4175,4.451
4043,1.81
745,0
386,2.333
899,3.238
1253,0
5141,3.067
1311,1.0
3459,4.667
4886,1.333
521,2.125
3153,2.937
3127,0
4882,3.0
3835,6.095
4335,6.3
2060,3.042
4533,0
95,5.375
939,0
4399,3.8
2186,1.333
5251,3.111
2787,5.887
914,3.19
2405,0
3562,2.0
1296,2.167
3717,2.667
27,2.167
2158,0
4101,0
1464,2.5
4159,7.747
872,1.0
5123,6.606
2445,3.571
5235,2.658
4989,3.077
1630,1.333
3064,2.0
1324,6.487
4419,1.333
4345,3.048
5,1.333
4907,1.385
2656,1.333
4003,3.714
160,2.0
917,2.0
2974,1.333
2520,2.0
1962,3.375
475,2.686
1974,2.0
4648,4.286
702,1.385
3982,2.167
567,2.864
4364,3.118
1031,3.533
1052,3.015
5405,3.718
3894,4.0
4504,2.167
1353,1.667
2172,0
4323,7.271
4970,3.6
3467,1.333
1736,3.484
4418,0
1648,2.333
3269,2.667
3060,2.667
3589,3.194
4240,6.222
3699,3.065
992,3.933
2031,0
1841,0
525,1.0
2770,1.667
173,2.667
4820,3.732
4538,2.0
1886,0
4821,4.762
1805,0
59,0
582,2.0
5170,3.914
483,2.0
1876,0
258,0
2707,0
581,2.6
4212,3.0
1950,2.0
2282,2.0
3977,1.333
1756,2.0
1084,0
4678,2.519
4721,5.067
3873,2.933
1991,2.0
3875,3.048
3335,2.0
1560,2.609
773,2.0
795,0
5399,0
3532,3.422
2903,2.667
3470,4.588
3368,2.292
3826,1.611
444,1.333
5354,2.167
5294,2.8
807,0
497,2.933
3299,2.222
2780,0
896,3.0
2037,2.0
1570,2.0
1559,1.333
4394,5.636
3676,0
1149,1.0
1504,1.0
3790,2.667
2047,0
618,2.167
3631,0
4509,3.118
803,3.496
415,1.667
5343,3.071
4429,1.333
121,1.25
765,3.167
1937,2.971
1363,3.067
3330,2.762
3979,2.0
3944,1.333
1752,1.333
3286,3.524
481,4.0
1349,13.125
3105,0
18,0
3199,2.222
2173,2.045
3728,3.407
2337,0
3466,0
4553,1.333
5423,2.769
3987,2.0
1269,2.167
1556,1.0
2431,3.677
1784,4.078
480,4.952
4745,1.333
4442,0
500,2.6
2570,3.872
469,2.615
411,2.0
4786,1.333
3906,3.2
4120,2.0
4351,2.074
1290,1.0
466,2.971
4161,0
657,3.018
1523,0
562,4.907
4875,3.132
557,3.442
1927,2.37
3308,2.615
983,3.196
4667,3.196
2017,2.0
4743,0
4871,4.805
326,3.118
5074,1.333
672,2.0
3435,4.471
5386,4.751
4782,2.967
4631,5.822
4283,1.333
2592,3.867
2137,4.222
1674,1.958
2574,2.667
1956,0
2176,2.0
3243,1.333
1073,2.0
5288,3.316
2458,0
3746,2.381
2591,0
595,5.704
77,2.409
3755,2.167
5089,3.524
4613,2.615
820,1.0
601,1.0
4405,1.455
1747,4.0
4145,3.029
1086,1.333
2860,2.074
564,3.645
2002,1.333
3028,3.634
2335,4.83
1293,1.333
3590,0
4451,1.333
2479,2.833
5011,3.609
5358,5.179
65,2.0
4544,3.805
2453,1.333
5435,5.0
849,5.027
1101,5.069
946,2.333
877,2.074
2232,1.333
2309,0
4955,3.571
1726,2.667
2809,4.0
1668,3.536
5196,2.8
2163,4.357
4141,2.222
2058,1.333
417,2.0
757,2.971
5197,2.933
2267,4.04
362,3.804
30,2.0
2733,1.786
1072,0
5220,4.0
2146,5.561
3620,3.692
4520,0
3504,0
4595,1.333
80,7.073
617,2.167
1222,1.333
4470,2.846
296,1.0
3025,1.333
4772,1.333
4527,1.333
1214,3.701
3521,4.624
1045,0
343,1.556
2526,2.0
2988,0
327,3.714
2932,1.333
1721,2.0
2045,0
843,1.333
2898,3.127
4587,2.167
1267,2.0
1940,0
1332,2.37
1451,1.0
3378,2.667
204,2.0
1470,1.667
2722,4.029
3373,1.333
2033,2.0
1305,2.0
886,2.37
3134,2.471
318,1.333
3856,3.091
1823,0
1635,1.333
3771,3.0
2865,1.333
2501,0
1865,0
1827,2.167
194,5.508
5407,2.0
1583,0
3265,1.333
2690,1.333
2283,2.0
569,1.938
2287,0
2877,1.333
5256,1.333
4174,6.233
3275,3.886
2713,4.023
227,3.118
945,1.958
2140,1.333
1463,1.0
4757,1.667
2175,0
314,2.167
889,0
4888,2.971
3560,4.022
2832,0
3575,4.538
4967,1.333
4190,2.0
948,1.0
3156,2.545
4724,2.0
1558,0
2087,1.333
364,1.333
3573,2.222
14,5.495
4260,4.643
4411,0
1615,3.0
2984,1.333
3534,4.773
574,3.733
5442,2.8
2705,3.196
5105,3.959
2572,1.333
1021,0
2461,3.0
4155,3.516
2534,2.222
3346,4.381
2673,5.442
3297,1.895
2423,3.8
4542,0
1043,1.0
1572,0
3445,2.167
5448,3.859
3106,0
1426,1.0
5043,6.187
4663,4.237
2466,4.617
3327,2.0
4489,3.333
4,1.0
2490,0
2351,2.0
1722,2.074
3522,2.167
4752,2.222
5364,3.079
2640,5.0
3810,3.167
3623,2.971
1751,0
4188,1.333
3877,5.051
1391,3.0
5398,1.333
695,2.0
2325,1.333
4223,2.333
5439,4.8
5186,4.067
5073,1.0
2746,2.0
766,3.524
1925,3.658
2543,3.015
1632,0
1208,1.333
201,2.0
379,3.733
3893,2.0
5008,0
597,1.0
3731,0
3396,1.333
5160,3.067
4716,3.446
1593,2.333
3146,1.333
4050,3.022
3274,2.074
1999,2.0
1209,2.6
5375,3.2
46,1.429
874,0
3483,2.167
1793,2.0
1441,5.308
4244,2.167
3806,1.333
412,1.0
4567,3.067
2042,2.167
995,2.074
3740,2.0
1093,1.0
3807,4.558
4352,0
4579,1.333
4878,3.2
2600,0
3626,4.636
5019,0
4136,4.762
3496,0
3653,3.111
1304,1.667
3889,1.333
3687,3.732
2124,3.375
2026,2.891
5224,0
2272,3.714
4271,3.2
3970,5.273
5135,2.0
1960,4.648
2250,0
3604,1.333
635,1.333
2341,2.933
1921,0
2226,3.732
2752,0
2620,1.333
4425,3.182
661,5.033
1236,1.0
1895,1.667
3138,3.259
1252,4.12
1753,0
527,1.333
3399,1.333
3340,3.859
2711,4.038
4446,3.407
3817,1.333
3407,2.0
511,0
1695,3.5
3442,1.333
3191,2.933
4785,3.492
161,1.0
4717,3.2
3117,3.0
3908,2.333
49,4.333
2882,0
2447,0
3195,4.558
3433,4.862
4410,3.167
4474,3.079
4942,4.839
1807,1.0
4000,1.667
1798,3.333
2236,2.0
3571,5.459
238,1.333
3186,2.769
2754,0
3313,2.074
3829,4.0
1046,4.23
5098,4.621
221,5.699
3228,3.015
4849,3.143
4624,3.402
5432,1.333
223,3.103
688,3.078
5266,1.81
3512,2.0
1112,3.533
3783,2.933
1489,2.222
2132,1.81
2682,2.667
1734,0
3725,2.0
2678,2.5
2765,2.619
2280,3.015
3454,7.333
2067,0
671,2.167
3853,1.333
159,4.393
427,3.0
2867,1.333
1837,0
5326,5.451
563,4.554
5340,2.971
330,3.803
255,2.967
1634,1.333
167,2.222
5090,3.634
1249,1.0
1955,2.0
1035,0
3880,1.333
938,2.0
4621,0
1786,1.333
2100,3.619
3022,0
1375,1.0
4964,1.333
4975,0
1342,1.0
2549,1.667
4741,4.8
211,3.677
2556,2.971
3075,3.61
3250,1.333
1625,0
623,1.333
4851,3.569
5139,2.0
1990,2.022
835,2.0
2471,1.333
4919,0
4637,4.115
337,1.667
2845,0
4365,2.333
5420,3.015
3036,4.427
565,2.0
5305,2.167
2796,2.292
104,2.167
4016,0
865,1.0
3552,2.167
2968,2.667
5207,2.167
3767,5.718
1254,1.0
3568,2.0
1443,2.292
4275,4.451
5329,4.333
2213,0
5046,4.607
4409,2.143
3961,4.667
3809,3.196
3569,1.333
4854,5.973
2199,1.333
