Q_ID,Avg_Distance
5239,2.0
913,7.333
205,3.0
2254,3.0
2007,4.667
1829,2.0
1144,4.0
840,3.333
4468,1
713,4.0
4838,4.0
3457,4.0
261,3.333
245,4.5
768,2.0
1792,2.667
1906,2.0
4140,4.5
4932,2.0
218,2.0
4598,4.667
1629,2.0
5324,4.0
4465,5.25
3437,4.0
1806,3.333
3680,1
4828,3.5
2279,4.5
54,2.333
1308,5.0
3463,4.0
2788,6.0
2277,3.5
1274,3.0
1764,4.0
2758,4.0
838,2.5
760,2.0
3113,6.5
793,2.0
2941,9.0
2818,2.0
4946,4.0
2167,4.0
356,1
3764,4.0
4393,4.0
1023,4.5
3101,4.0
646,5.0
4523,3.0
2402,2.667
5150,1
5067,4.0
2963,3.5
4730,2.0
1576,2.0
570,4.5
376,2.0
5418,4.0
1867,2.0
2371,3.0
654,2.0
1908,2.0
828,3.0
3114,4.0
2278,3.0
3715,4.0
5208,3.5
2989,4.0
1333,4.8
3033,2.0
2911,2.0
1717,2.0
2188,8.8
5309,4.5
585,3.0
4991,4.0
5202,4.5
1402,3.0
4376,2.5
2006,3.333
1339,2.0
3787,4.0
3109,4.0
2212,5.0
5243,4.0
4563,7.6
1800,2.0
2657,2.0
459,1.0
1877,2.0
263,6.0
2585,6.5
3287,1
2194,4.0
543,2.0
1729,2.0
4647,2.667
2578,4.0
1742,3.5
5370,4.0
4090,3.0
3242,2.0
5267,4.0
3759,4.8
1171,3.0
2170,4.667
2021,6.5
4599,5.0
4416,8.0
2153,2.5
4789,2.667
3510,3.333
4781,4.0
3272,2.0
2966,2.0
1797,2.0
1134,4.0
4175,4.0
4043,3.0
745,2.0
386,4.0
899,4.5
1253,1.5
5141,5.0
1311,3.0
3459,7.5
4886,4.0
521,2.333
3153,1
3127,2.0
4882,4.25
3835,6.4
4335,1
2060,3.333
4533,2.0
95,3.6
939,2.0
4399,3.0
2186,4.0
5251,4.0
2787,7.5
914,5.0
2405,2.0
3562,2.0
1296,4.667
3717,1
27,3.0
2158,2.0
4101,6.0
1464,2.667
4159,5.333
872,3.0
5123,9.2
2445,8.5
5235,2.667
4989,5.0
1630,4.0
3064,1
1324,6.0
4419,4.0
4345,2.667
5,4.0
4907,3.0
2656,4.0
4003,2.5
160,2.0
917,2.5
2974,4.0
2520,3.0
1962,4.0
475,2.667
1974,2.0
4648,4.0
702,3.0
3982,3.0
567,4.333
4364,4.0
1031,5.5
1052,3.0
5405,2.5
3894,2.667
4504,3.0
1353,5.0
2172,2.0
4323,7.0
4970,3.0
3467,4.0
1736,6.0
4418,2.0
1648,3.0
3269,1
3060,1
3589,4.0
4240,10.0
3699,4.0
992,6.0
2031,1.5
1841,2.0
525,3.0
2770,1
173,2.0
4820,4.0
4538,3.0
1886,1.667
4821,4.667
1805,2.0
59,1.5
582,3.0
5170,4.667
483,3.5
1876,2.0
258,2.0
2707,5.0
581,4.5
4212,1
1950,2.0
2282,1
3977,4.0
1756,2.0
1084,2.0
4678,4.0
4721,6.5
3873,5.0
1991,2.0
3875,6.0
3335,2.0
1560,4.5
773,3.5
795,1.0
5399,2.0
3532,4.0
2903,3.0
3470,7.333
3368,3.0
3826,3.0
444,4.0
5354,3.0
5294,4.0
807,2.0
497,4.75
3299,4.0
2780,2.0
896,2.667
2037,2.0
1570,2.0
1559,4.0
4394,5.0
3676,2.0
1149,3.0
1504,3.0
3790,2.0
2047,2.0
618,3.0
3631,2.0
4509,4.0
803,1
415,5.0
5343,4.667
4429,4.0
121,6.25
765,5.0
1937,4.667
1363,3.333
3330,2.667
3979,2.0
3944,4.0
1752,4.0
3286,4.0
481,3.333
1349,12.444
3105,2.0
18,1.0
3199,3.0
2173,2.667
3728,3.5
2337,6.0
3466,6.0
4553,4.0
5423,4.667
3987,2.0
1269,3.0
1556,3.0
2431,3.0
1784,1
480,2.8
4745,4.0
4442,2.0
500,3.5
2570,3.333
469,2.0
411,2.0
4786,4.0
3906,5.0
4120,3.0
4351,4.0
1290,2.0
466,5.0
4161,2.0
657,5.0
1523,2.0
562,5.0
4875,4.667
557,1
1927,3.0
3308,2.0
983,5.0
4667,4.667
2017,2.0
4743,4.0
4871,4.5
326,4.0
5074,4.0
672,2.0
3435,4.5
5386,1
4782,4.0
4631,5.5
4283,4.0
2592,4.0
2137,1
1674,2.667
2574,8.8
1956,2.0
2176,3.0
3243,4.0
1073,1
5288,5.0
2458,2.0
3746,3.0
2591,2.0
595,4.5
77,3.5
3755,3.0
5089,4.667
4613,4.0
820,2.0
601,2.0
4405,6.0
1747,3.333
4145,4.0
1086,4.0
2860,3.0
564,3.25
2002,4.0
3028,3.5
2335,4.0
1293,4.0
3590,2.0
4451,1
2479,2.75
5011,6.0
5358,4.4
65,2.0
4544,5.5
2453,4.0
5435,5.0
849,1
1101,1
946,3.0
877,2.333
2232,4.0
2309,2.0
4955,6.0
1726,2.0
2809,6.0
1668,1
5196,2.5
2163,3.0
4141,3.0
2058,4.0
417,2.0
757,4.0
5197,4.5
2267,7.0
362,4.5
30,2.5
2733,3.0
1072,1.5
5220,3.5
2146,6.0
3620,4.4
4520,2.0
3504,2.0
4595,4.0
80,10.8
617,3.0
1222,4.0
4470,3.333
296,3.0
3025,4.0
4772,4.0
4527,4.0
1214,5.333
3521,7.5
1045,3.0
343,3.0
2526,2.0
2988,2.0
327,3.5
2932,4.0
1721,2.0
2045,2.0
843,1
2898,3.5
4587,3.0
1267,2.5
1940,2.0
1332,2.667
1451,3.0
3378,3.0
204,2.0
1470,5.0
2722,3.5
3373,4.0
2033,3.0
1305,2.0
886,3.0
3134,3.0
318,3.0
3856,2.0
1823,1.5
1635,4.0
3771,2.667
2865,4.0
2501,6.0
1865,2.0
1827,3.0
194,7.0
5407,2.0
1583,2.0
3265,1
2690,4.0
2283,3.0
569,3.0
2287,6.0
2877,4.0
5256,3.0
4174,11.0
3275,5.5
2713,1
227,3.667
945,3.0
2140,4.0
1463,3.0
4757,1
2175,2.0
314,1
889,2.0
4888,5.0
3560,4.0
2832,2.0
3575,4.5
4967,4.0
4190,1
948,3.0
3156,6.0
4724,2.0
1558,2.0
2087,4.0
364,4.0
3573,3.0
14,8.75
4260,6.0
4411,2.0
1615,4.667
2984,4.0
3534,4.5
574,2.5
5442,3.333
2705,5.0
5105,5.333
2572,4.0
1021,1.0
2461,2.667
4155,4.667
2534,2.667
3346,6.0
2673,5.5
3297,3.0
2423,2.5
4542,2.0
1043,3.0
1572,2.0
3445,4.0
5448,3.75
3106,2.0
1426,3.0
5043,5.5
4663,5.333
2466,6.667
3327,2.0
4489,2.5
4,2.5
2490,2.0
2351,3.0
1722,3.0
3522,3.0
4752,3.0
5364,4.0
2640,3.0
3810,4.667
3623,5.0
1751,2.0
4188,4.0
3877,7.0
1391,2.667
5398,4.0
695,2.0
2325,4.0
4223,2.667
5439,4.5
5186,1
5073,3.0
2746,2.0
766,4.0
1925,2.5
2543,4.0
1632,2.0
1208,4.0
201,3.0
379,4.667
3893,2.0
5008,2.0
597,3.0
3731,2.0
3396,1
5160,5.333
4716,5.333
1593,2.0
3146,4.0
4050,4.0
3274,4.0
1999,4.667
1209,4.5
5375,4.0
46,2.5
874,1.5
3483,3.0
1793,3.0
1441,5.0
4244,3.0
3806,4.0
412,3.0
4567,4.0
2042,3.0
995,3.0
3740,2.0
1093,3.0
3807,4.0
4352,2.0
4579,1
4878,4.5
2600,2.0
3626,4.0
5019,2.0
4136,6.0
3496,2.0
3653,2.0
1304,5.0
3889,4.0
3687,4.0
2124,4.0
2026,2.4
5224,2.0
2272,5.5
4271,4.0
3970,5.5
5135,2.0
1960,4.667
2250,2.0
3604,4.0
635,4.0
2341,5.0
1921,2.0
2226,4.0
2752,2.0
2620,4.0
4425,6.0
661,3.6
1236,3.0
1895,1
3138,2.667
1252,3.5
1753,2.0
527,1
3399,4.0
3340,4.0
2711,1
4446,4.0
3817,4.0
3407,1
511,2.0
1695,2.0
3442,4.0
3191,4.0
4785,6.667
161,2.0
4717,5.0
3117,4.0
3908,4.0
49,7.667
2882,2.0
2447,2.0
3195,4.667
3433,1
4410,3.333
4474,2.667
4942,6.0
1807,3.0
4000,1
1798,2.0
2236,2.0
3571,6.0
238,4.0
3186,4.667
2754,2.0
3313,4.0
3829,2.5
1046,8.667
5098,1
221,5.0
3228,5.0
4849,4.0
4624,1
5432,4.0
223,2.667
688,5.0
5266,3.0
3512,2.0
1112,5.5
3783,4.0
1489,4.0
2132,3.0
2682,4.0
1734,2.0
3725,3.0
2678,2.0
2765,4.5
2280,5.0
3454,7.429
2067,2.0
671,3.0
3853,4.0
159,6.0
427,4.5
2867,4.0
1837,2.0
5326,7.5
563,6.667
5340,5.0
330,4.5
255,4.0
1634,4.0
167,3.0
5090,4.0
1249,3.0
1955,2.0
1035,2.0
3880,4.0
938,4.0
4621,2.0
1786,1
2100,6.0
3022,2.0
1375,3.0
4964,4.0
4975,2.0
1342,3.0
2549,1
4741,4.0
211,3.0
2556,4.0
3075,3.333
3250,4.0
1625,2.0
623,4.0
4851,4.0
5139,2.0
1990,1
835,1.667
2471,4.0
4919,2.0
4637,4.5
337,5.0
2845,6.0
4365,6.0
5420,5.333
3036,5.333
565,3.5
5305,4.0
2796,3.0
104,4.0
4016,2.0
865,3.0
3552,4.0
2968,4.0
5207,3.0
3767,5.0
1254,3.0
3568,2.0
1443,6.5
4275,4.667
5329,10.0
2213,2.0
5046,5.333
4409,5.333
3961,4.5
3809,5.0
3569,4.0
4854,13.0
2199,4.0
