Q_ID,Query_Nodes,Query_Nodes_Count,Total_Distance,Average_Distance,Level
5239,"['Hostile_behavior', 'Problems_with_movement', 'Slurring_words']",3,8,2.667,B
913,"['Weakness', 'Fatigue', 'Muscle_swelling', 'Muscle_pain']",4,22,3.667,B
205,"['Lower_abdominal_pain', 'Kidney_mass', 'Hematologic_tests_(Blood_test)']",3,8,2.667,B
2254,"['Pain_or_soreness_of_breast', 'Back_pain', 'Difficulty_breathing']",3,10,3.333,B
2007,"['Shortness_of_breath', 'Drainage_in_throat', 'Wrist_weakness', 'Coughing_up_sputum']",4,16,2.667,B
1829,"['Sharp_chest_pain', 'Irregular_heartbeat']",2,2,2,A
1144,"['Symptoms_of_the_kidneys', 'Prednisone']",2,4,4,B
840,"['Back_pain', 'Stiffness_all_over', 'Suprapubic_pain', 'Problems_with_movement']",4,20,3.333,B
4468,['Kidney_mass'],1,0,0,Z
713,"['Ketoconazole', 'Hematologic_tests_(Blood_test)']",2,4,4,B
4838,"['Lower_body_pain', 'Foot_or_toe_stiffness_or_tightness']",2,4,4,B
3457,"['Eyelid_lesion_or_rash', 'Diminished_vision', 'Leg_pain']",3,10,3.333,B
261,"['Lower_abdominal_pain', 'Swollen_abdomen', 'Vaginal_redness', 'Vaginal_discharge']",4,18,3,B
245,"['Open_wound_of_the_hip', 'Incision_and_drainage_(I_d)', 'Hematologic_tests_(Blood_test)']",3,10,3.333,B
768,"['Retention_of_urine', 'Involuntary_urination']",2,2,2,A
1792,"['Feeling_hot_and_cold', 'Elbow_cramps_or_spasms', 'Nausea', 'Seizures']",4,14,2.333,B
1906,"['Vomiting', 'Throat_feels_tight', 'Incontinence_of_stool']",3,6,2,A
4140,"['Eye_redness', 'Swollen_eye', 'Headache', 'Spots_or_clouds_in_vision', 'Pain_in_eye']",5,26,2.6,B
4932,"['Skin_rash', 'Skin_growth']",2,2,2,A
218,"['Injury_to_the_abdomen', 'Injury_to_the_hand']",2,2,2,A
4598,"['Abusing_alcohol', 'Delusions_or_hallucinations', 'Slurring_words', 'Fainting']",4,20,3.333,B
1629,"['Knee_pain', 'Heartburn']",2,2,2,A
5324,"['Burning_chest_pain', 'Regurgitation', 'Problems_with_shape_or_size_of_breast', 'Smoking_problems']",4,22,3.667,B
4465,"['Abusing_alcohol', 'Depression', 'Temper_problems', 'Fears_and_phobias', 'Panic_disorder']",5,28,2.8,B
3437,"['Sweating', 'Back_pain', 'Foot_or_toe_pain', 'Dizziness']",4,22,3.667,B
1806,"['Vomiting', 'Sharp_abdominal_pain', 'Burning_abdominal_pain', 'Lower_abdominal_pain']",4,12,2,A
3680,['Pelvic_pain'],1,0,0,Z
4828,"['Cough', 'Elbow_cramps_or_spasms', 'Excessive_growth', 'Low_back_weakness', 'Decreased_appetite']",5,28,2.8,B
2279,"['Plugged_feeling_in_ear', 'Diminished_hearing', 'Nailbiting', 'Emotional_symptoms', 'Muscle_swelling']",5,26,2.6,B
54,"['Postpartum_depression', 'Depression', 'Sleepiness', 'Mental_health_counseling']",4,13,2.167,B
1308,"['Toothache', 'Fracture_of_the_arm']",2,5,5,C
3463,"['Leg_cramps_or_spasms', 'Foot_or_toe_cramps_or_spasms']",2,4,4,B
2788,"['Focal_weakness', 'Depression', 'Itching_of_skin']",3,12,4,B
2277,"['Dizziness', 'Elbow_weakness', 'Low_back_weakness', 'Muscle_swelling', 'Plugged_feeling_in_ear']",5,30,3,B
1274,"['Knee_pain', 'Muscle_pain', 'Leg_pain']",3,8,2.667,B
1764,"['Hemoptysis', 'Sharp_abdominal_pain', 'Side_pain', 'Diarrhea', 'Burning_abdominal_pain']",5,20,2,A
2758,"['Mouth_ulcer', 'Gum_pain']",2,4,4,B
838,"['Depression', 'Sleepiness', 'Postpartum_depression']",3,6,2,A
760,"['Temper_problems', 'Excessive_anger', 'Hostile_behavior']",3,6,2,A
3113,"['Neck_swelling', 'Toothache', 'Gum_pain', 'Peripheral_edema', 'Facial_pain']",5,32,3.2,B
793,"['Vaginal_dryness', 'Vaginal_itching', 'Pain_during_intercourse']",3,6,2,A
2941,"['Cramps_and_spasms', 'Mass_in_scrotum', 'Frequent_menstruation', 'Vaginal_discharge', 'Intermenstrual_bleeding']",5,30,3,B
2818,"['Nausea', 'Headache', 'Plugged_feeling_in_ear']",3,8,2.667,B
4946,"['Vaginal_itching', 'Painful_urination', 'Groin_pain', 'Vaginal_discharge', 'Skin_lesion']",5,28,2.8,B
2167,"['Redness_in_ear', 'Abnormal_appearing_skin']",2,4,4,B
356,['Open_wound_of_the_hip'],1,0,0,Z
3764,"['Painful_urination', 'Frequent_urination', 'Incontinence_of_stool']",3,10,3.333,B
4393,"['Diminished_vision', 'Skin_dryness']",2,4,4,B
1023,"['Symptoms_of_the_kidneys', 'Nausea', 'Injury_to_the_abdomen']",3,10,3.333,B
3101,"['Impotence', 'Heartburn', 'Blood_in_stool', 'Leg_swelling']",4,20,3.333,B
646,"['Nonoperative_removal_of_foreign_body', 'Pain_in_testicles', 'Skin_irritation']",3,12,4,B
4523,"['Lower_abdominal_pain', 'Sharp_abdominal_pain', 'Suprapubic_pain']",3,6,2,A
2402,"['Depression', 'Shortness_of_breath', 'Problems_with_movement', 'Leg_swelling']",4,18,3,B
5150,['Shoulder_pain'],1,0,0,Z
5067,"['Problems_with_shape_or_size_of_breast', 'Low_back_swelling']",2,4,4,B
2963,"['Redness_in_ear', 'Facial_pain', 'Toothache', 'Sore_throat', 'Ear_pain']",5,26,2.6,B
4730,"['Ear_pain', 'Ringing_in_ear', 'Fluid_in_ear']",3,6,2,A
