Q_ID,Nodes_Amount
5239,11
913,18
205,11
2254,13
2007,8
1829,6
1144,5
840,9
4468,3
713,5
4838,15
3457,10
261,12
245,15
768,3
1792,6
1906,4
4140,9
4932,3
218,3
4598,11
1629,3
5324,15
4465,15
3437,16
1806,10
3680,13
4828,14
2279,12
54,8
1308,17
3463,11
2788,13
2277,16
1274,14
1764,10
2758,7
838,4
760,6
3113,10
793,5
2941,11
2818,10
4946,11
2167,16
356,21
3764,12
4393,12
1023,8
3101,9
646,8
4523,11
2402,17
5150,7
5067,5
2963,10
4730,6
1576,6
570,8
376,5
5418,11
1867,7
2371,7
654,13
1908,4
828,9
3114,5
2278,8
3715,10
5208,17
2989,14
1333,23
3033,12
2911,6
1717,12
2188,17
5309,13
585,14
4991,18
5202,17
1402,8
4376,13
2006,11
1339,3
3787,12
3109,13
2212,12
5243,7
4563,16
1800,15
2657,12
459,2
1877,6
263,19
2585,11
3287,6
2194,10
543,5
1729,4
4647,9
2578,15
1742,10
5370,12
4090,11
3242,5
5267,12
3759,18
1171,9
2170,12
2021,10
4599,19
4416,16
2153,10
4789,12
3510,12
4781,9
3272,4
2966,4
1797,6
1134,11
4175,18
4043,11
745,4
386,8
899,16
1253,11
5141,12
1311,13
3459,15
4886,14
521,11
3153,8
3127,3
4882,16
3835,15
4335,6
2060,13
4533,3
95,10
939,4
4399,14
2186,13
5251,14
2787,20
914,12
2405,3
3562,10
1296,16
3717,2
27,9
2158,3
4101,16
1464,6
4159,17
872,12
5123,13
2445,14
5235,12
4989,8
1630,11
3064,4
1324,14
4419,12
4345,14
5,11
4907,12
2656,15
4003,10
160,7
917,15
2974,10
2520,7
1962,12
475,9
1974,6
4648,14
702,7
3982,10
567,12
4364,10
1031,13
1052,11
5405,14
3894,7
4504,7
1353,17
2172,4
4323,15
4970,13
3467,10
1736,15
4418,3
1648,10
3269,13
3060,13
3589,7
4240,19
3699,15
992,12
2031,9
1841,4
525,7
2770,21
173,12
4820,14
4538,8
1886,12
4821,14
1805,5
59,4
582,8
5170,12
483,15
1876,7
258,3
2707,16
581,15
4212,21
1950,10
2282,7
3977,15
1756,6
1084,3
4678,10
4721,10
3873,9
1991,8
3875,16
3335,6
1560,11
773,9
795,2
5399,4
3532,16
2903,12
3470,17
3368,13
3826,13
444,5
5354,17
5294,17
807,3
497,12
3299,14
2780,4
896,8
2037,8
1570,9
1559,9
4394,14
3676,5
1149,13
1504,5
3790,13
2047,4
618,11
3631,3
4509,12
803,32
415,14
5343,10
4429,15
121,10
765,12
1937,11
