Q_ID,Nodes_Amount
5239,6
913,16
205,9
2254,11
2007,11
1829,6
1144,5
840,9
4468,3
713,5
4838,10
3457,11
261,9
245,13
768,3
1792,8
1906,4
4140,15
4932,3
218,3
4598,12
1629,3
5324,13
4465,12
3437,18
1806,9
3680,13
4828,13
2279,12
54,8
1308,10
3463,9
2788,14
2277,14
1274,13
1764,11
2758,7
838,5
760,6
3113,10
793,5
2941,13
2818,8
4946,13
2167,8
356,21
3764,11
4393,10
1023,10
3101,9
646,8
4523,6
2402,10
5150,7
5067,5
2963,10
4730,5
1576,6
570,13
376,5
5418,9
1867,7
2371,7
654,8
1908,4
828,8
3114,5
2278,7
3715,10
5208,14
2989,14
1333,23
3033,9
2911,6
1717,10
2188,17
5309,15
585,12
4991,16
5202,15
1402,8
4376,13
2006,11
1339,3
3787,10
3109,13
2212,9
5243,7
4563,18
1800,6
2657,8
459,2
1877,6
263,13
2585,13
3287,6
2194,15
543,5
1729,4
4647,7
2578,13
1742,9
5370,15
4090,8
3242,5
5267,9
3759,15
1171,9
2170,13
2021,11
4599,10
4416,14
2153,9
4789,10
3510,12
4781,9
3272,4
2966,4
1797,6
1134,9
4175,18
4043,10
745,4
386,7
899,12
1253,8
5141,12
1311,8
3459,16
4886,10
521,8
3153,8
3127,3
4882,15
3835,17
4335,6
2060,12
4533,3
95,13
939,4
4399,14
2186,9
5251,10
2787,19
914,11
2405,3
3562,7
1296,14
3717,2
27,11
2158,3
4101,11
1464,11
4159,15
872,9
5123,13
2445,13
5235,10
4989,11
1630,8
3064,4
1324,16
4419,9
4345,11
5,9
4907,9
2656,9
4003,9
160,5
917,9
2974,8
2520,7
1962,13
475,10
1974,6
4648,12
702,7
3982,10
567,11
4364,11
1031,13
1052,12
5405,13
3894,7
4504,7
1353,12
2172,4
4323,16
4970,15
3467,10
1736,11
4418,3
1648,11
3269,13
3060,13
3589,7
4240,21
3699,12
992,15
2031,5
1841,4
525,7
2770,21
173,10
4820,13
4538,9
1886,5
4821,14
1805,5
59,4
582,6
5170,13
483,8
1876,7
258,3
2707,14
581,12
4212,21
1950,8
2282,7
3977,10
1756,6
1084,3
4678,10
4721,10
3873,9
1991,8
3875,16
3335,6
1560,11
773,9
795,2
5399,4
3532,13
2903,9
3470,12
3368,11
3826,9
444,5
5354,12
5294,12
807,3
497,12
3299,11
2780,4
896,8
2037,8
1570,7
1559,9
4394,14
3676,5
1149,7
1504,5
3790,11
2047,4
618,10
3631,3
4509,12
803,32
415,12
5343,8
4429,9
121,10
765,7
1937,16
1363,12
3330,11
3979,7
3944,9
1752,5
3286,15
481,13
1349,27
3105,4
18,2
3199,12
2173,6
3728,12
2337,11
3466,8
4553,9
5423,9
3987,8
1269,11
1556,6
2431,12
1784,17
480,10
4745,9
4442,3
500,10
2570,14
469,10
411,5
4786,9
3906,12
4120,6
4351,11
1290,9
466,13
4161,3
657,10
1523,5
562,15
4875,11
557,31
1927,9
3308,9
983,9
4667,13
2017,5
4743,14
4871,13
326,14
5074,10
672,7
3435,18
5386,8
4782,15
4631,17
4283,10
2592,12
2137,7
1674,11
2574,17
1956,3
2176,5
3243,9
1073,30
5288,17
2458,3
3746,10
2591,4
595,13
77,10
3755,7
5089,13
4613,9
820,7
601,5
4405,16
1747,12
4145,8
1086,8
2860,10
564,12
2002,7
3028,16
2335,14
1293,8
3590,7
4451,2
2479,13
5011,13
5358,12
65,8
4544,13
2453,8
5435,16
849,30
1101,26
946,10
877,12
2232,5
2309,3
4955,16
1726,8
2809,11
1668,13
5196,8
2163,17
4141,12
2058,9
417,6
757,13
5197,15
2267,14
362,13
30,8
2733,11
1072,6
5220,10
2146,14
3620,10
4520,7
3504,3
4595,9
80,18
617,10
1222,6
4470,12
296,7
3025,8
4772,10
4527,9
1214,13
3521,13
1045,4
343,10
2526,6
2988,3
327,10
2932,10
1721,7
2045,3
843,29
2898,13
4587,10
1267,6
1940,4
1332,11
1451,8
3378,9
204,7
1470,10
2722,12
3373,9
2033,9
1305,9
886,8
3134,8
318,6
3856,8
1823,6
1635,10
3771,12
2865,10
2501,12
1865,3
1827,10
194,17
5407,9
1583,3
3265,13
2690,11
2283,8
569,10
2287,12
2877,10
5256,9
4174,15
3275,13
2713,8
227,13
945,11
2140,10
1463,5
4757,2
2175,4
314,31
889,3
4888,14
3560,11
2832,5
3575,15
4967,9
4190,9
948,4
3156,10
4724,6
1558,3
2087,7
364,9
3573,10
14,17
4260,15
4411,4
1615,13
2984,9
3534,16
574,13
5442,13
2705,11
5105,13
2572,9
1021,2
2461,11
4155,12
2534,9
3346,17
2673,16
3297,9
2423,14
4542,3
1043,6
1572,3
3445,10
5448,14
3106,4
1426,9
5043,21
4663,17
2466,17
3327,8
4489,9
4,9
2490,3
2351,8
1722,13
3522,15
4752,10
5364,10
2640,14
3810,11
3623,13
1751,6
4188,9
3877,21
1391,11
5398,9
695,5
2325,8
4223,8
5439,16
5186,16
5073,8
2746,6
766,12
1925,12
2543,12
1632,4
1208,10
201,8
379,9
3893,9
5008,4
597,7
3731,7
3396,2
5160,15
4716,12
1593,7
3146,10
4050,13
3274,10
1999,9
1209,13
5375,12
46,7
874,8
3483,11
1793,6
