Q_ID,Nodes_Amount
5239,6
913,15
205,9
2254,11
2007,9
1829,6
1144,5
840,9
4468,3
713,5
4838,9
3457,11
261,12
245,11
768,3
1792,8
1906,4
4140,9
4932,3
218,3
4598,10
1629,3
5324,10
4465,11
3437,14
1806,9
3680,13
4828,13
2279,10
54,8
1308,11
3463,10
2788,12
2277,14
1274,9
1764,10
2758,7
838,5
760,6
3113,10
793,5
2941,11
2818,9
4946,11
2167,11
356,21
3764,10
4393,10
1023,8
3101,9
646,8
4523,8
2402,13
5150,7
5067,5
2963,10
4730,5
1576,6
570,8
376,5
5418,9
1867,7
2371,7
654,8
1908,4
828,7
3114,5
2278,8
3715,10
5208,15
2989,12
1333,21
3033,9
2911,6
1717,10
2188,17
5309,12
585,11
4991,15
5202,13
1402,8
4376,12
2006,11
1339,3
3787,8
3109,11
2212,9
5243,7
4563,15
1800,6
2657,8
459,2
1877,6
263,14
2585,10
3287,6
2194,9
543,5
1729,4
4647,8
2578,12
1742,10
5370,12
4090,8
3242,5
5267,9
3759,15
1171,8
2170,12
2021,9
4599,10
4416,14
2153,10
4789,11
3510,12
4781,9
3272,4
2966,4
1797,6
1134,9
4175,15
4043,10
745,4
386,7
899,13
1253,8
5141,10
1311,8
3459,12
4886,10
521,7
3153,8
3127,3
4882,13
3835,17
4335,6
2060,10
4533,3
95,10
939,4
4399,14
2186,10
5251,9
2787,18
914,11
2405,3
3562,7
1296,14
3717,2
27,10
2158,3
4101,11
1464,11
4159,13
872,8
5123,13
2445,12
5235,10
4989,8
1630,8
3064,4
1324,13
4419,8
4345,12
5,9
4907,10
2656,10
4003,8
160,5
917,9
2974,8
2520,7
1962,12
475,8
1974,6
4648,11
702,7
3982,11
567,10
4364,10
1031,9
1052,11
5405,11
3894,7
4504,7
1353,11
2172,4
4323,15
4970,13
3467,10
1736,14
4418,3
1648,10
3269,13
3060,13
3589,7
4240,15
3699,13
992,13
2031,5
1841,4
525,7
2770,21
173,10
4820,13
4538,9
1886,5
4821,14
1805,5
59,4
582,6
5170,12
483,9
1876,7
258,3
2707,11
581,11
4212,21
1950,8
2282,7
3977,11
1756,6
1084,3
4678,9
4721,10
3873,9
1991,6
3875,14
3335,6
1560,8
773,8
795,2
5399,4
3532,13
2903,9
3470,14
3368,8
3826,11
444,5
5354,12
5294,12
807,3
497,11
3299,10
2780,4
896,10
2037,8
1570,7
1559,9
4394,14
3676,5
1149,10
1504,5
3790,11
2047,4
618,10
3631,3
4509,10
803,32
415,9
5343,8
4429,10
121,9
765,7
1937,10
1363,9
3330,11
3979,7
3944,10
1752,5
3286,10
481,11
1349,24
3105,4
18,2
3199,8
2173,6
3728,11
2337,15
3466,8
4553,10
5423,8
3987,6
1269,10
1556,6
2431,11
1784,17
480,9
4745,9
4442,3
500,8
2570,10
469,10
411,5
4786,10
3906,14
4120,6
4351,10
1290,9
466,10
4161,3
657,10
1523,5
562,10
4875,9
557,31
1927,8
3308,9
983,9
4667,11
2017,5
4743,16
4871,12
326,12
5074,10
672,7
3435,17
5386,8
4782,10
4631,16
4283,10
2592,10
2137,7
1674,12
2574,17
1956,3
2176,5
3243,10
1073,30
5288,18
2458,3
3746,11
2591,4
595,13
77,10
3755,7
5089,13
