Q_ID,Nodes_Amount
5239,6
913,16
205,11
2254,12
2007,17
1829,6
1144,5
840,9
4468,3
713,5
4838,15
3457,15
261,16
245,17
768,3
1792,8
1906,4
4140,15
4932,3
218,3
4598,12
1629,3
5324,11
4465,17
3437,14
1806,12
3680,13
4828,12
2279,15
54,9
1308,18
3463,11
2788,15
2277,17
1274,15
1764,11
2758,7
838,5
760,6
3113,10
793,5
2941,13
2818,11
4946,15
2167,13
356,21
3764,12
4393,13
1023,13
3101,9
646,8
4523,8
2402,18
5150,7
5067,5
2963,10
4730,5
1576,6
570,10
376,5
5418,11
1867,7
2371,7
654,10
1908,4
828,10
3114,5
2278,8
3715,10
5208,18
2989,18
1333,21
3033,9
2911,6
1717,12
2188,17
5309,17
585,16
4991,15
5202,16
1402,8
4376,13
2006,9
1339,3
3787,14
3109,12
2212,13
5243,7
4563,19
1800,6
2657,9
459,2
1877,6
263,19
2585,11
3287,6
2194,10
543,5
1729,4
4647,9
2578,16
1742,10
5370,13
4090,11
3242,5
5267,12
3759,19
1171,9
2170,17
2021,14
4599,10
4416,15
2153,14
4789,16
3510,14
4781,9
3272,4
2966,4
1797,6
1134,11
4175,15
4043,11
745,4
386,7
899,18
1253,9
5141,16
1311,13
3459,16
4886,14
521,9
3153,8
3127,3
4882,21
3835,16
4335,6
2060,15
4533,3
95,15
939,4
4399,14
2186,11
5251,13
2787,21
914,15
2405,3
3562,7
1296,13
3717,2
27,15
2158,3
4101,18
1464,14
4159,18
872,12
5123,13
2445,19
5235,12
4989,14
1630,16
3064,4
1324,18
4419,12
4345,13
5,13
4907,12
2656,14
4003,9
160,5
917,14
2974,10
2520,7
1962,14
475,14
1974,6
4648,15
702,7
3982,13
567,12
4364,10
1031,19
1052,16
5405,17
3894,7
4504,7
1353,18
2172,4
4323,16
4970,18
3467,10
1736,10
4418,3
1648,12
3269,13
3060,13
3589,7
4240,17
3699,13
992,20
2031,5
1841,4
525,7
2770,21
173,11
4820,18
4538,9
1886,5
4821,14
1805,5
59,4
582,7
5170,18
483,15
1876,7
258,3
2707,11
581,16
4212,21
1950,10
2282,7
3977,15
1756,6
1084,3
4678,10
4721,10
3873,9
1991,9
3875,21
3335,6
1560,13
773,13
795,2
5399,4
3532,13
2903,12
3470,16
3368,11
3826,13
444,5
5354,17
5294,10
807,3
497,12
3299,15
2780,4
896,10
2037,8
1570,10
1559,9
4394,14
3676,5
1149,13
1504,5
3790,13
2047,4
618,14
3631,3
4509,15
803,32
415,15
5343,8
4429,16
121,13
765,7
1937,14
1363,10
3330,16
3979,7
3944,13
1752,5
3286,12
481,13
1349,26
3105,4
18,2
3199,16
2173,6
3728,15
2337,19
3466,8
4553,12
5423,10
3987,10
1269,11
1556,6
2431,15
1784,17
480,11
4745,12
4442,3
500,10
2570,12
469,10
411,5
4786,12
3906,15
4120,6
4351,12
1290,10
466,14
4161,3
657,10
1523,5
562,16
4875,11
557,31
1927,11
3308,9
983,9
4667,13
2017,5
4743,17
4871,17
326,13
5074,14
672,7
3435,20
5386,8
4782,13
4631,17
4283,14
2592,12
2137,7
1674,13
2574,17
1956,3
2176,5
3243,11
1073,30
5288,20
2458,3
3746,15
2591,4
595,13
77,14
3755,7
5089,16
4613,10
820,7
601,5
4405,18
1747,15
4145,15
1086,11
2860,13
564,16
2002,7
3028,14
2335,13
1293,12
3590,9
4451,2
2479,18
5011,15
5358,13
65,8
4544,17
2453,12
5435,15
849,30
1101,26
946,11
877,15
2232,5
2309,3
4955,16
1726,12
2809,18
1668,13
5196,8
2163,20
4141,11
2058,13
417,6
757,16
5197,15
2267,17
362,14
30,10
2733,13
1072,6
5220,16
2146,14
3620,11
4520,7
3504,3
4595,9
80,17
617,10
1222,6
4470,12
296,11
3025,8
4772,13
4527,12
1214,14
3521,14
1045,4
343,15
2526,6
2988,3
327,15
2932,17
1721,7
2045,3
843,29
2898,13
4587,13
1267,6
1940,4
1332,15
1451,13
3378,9
204,7
1470,19
2722,14
3373,9
2033,9
1305,10
886,13
3134,11
318,6
3856,8
1823,6
1635,15
3771,17
2865,17
2501,20
1865,3
1827,9
194,18
5407,9
1583,3
3265,13
2690,13
2283,8
569,13
2287,19
2877,10
5256,9
4174,14
3275,18
2713,8
227,11
945,13
2140,10
1463,5
4757,2
2175,4
314,31
889,3
4888,18
3560,12
2832,5
3575,14
4967,11
4190,9
948,4
3156,10
4724,6
1558,3
2087,7
364,13
3573,12
14,16
4260,13
4411,4
1615,14
2984,9
3534,17
574,13
5442,16
2705,13
5105,18
2572,13
1021,2
2461,14
4155,11
2534,13
3346,17
2673,24
3297,13
2423,20
4542,3
1043,6
1572,3
3445,11
5448,15
3106,4
1426,13
5043,22
4663,12
2466,19
3327,7
4489,11
4,12
2490,3
2351,7
1722,13
3522,11
4752,19
5364,12
2640,15
3810,15
3623,19
1751,6
4188,13
3877,23
1391,11
5398,15
695,5
2325,13
4223,8
5439,17
5186,16
5073,11
2746,6
766,12
1925,10
2543,17
1632,4
1208,11
201,8
379,11
3893,10
5008,4
597,7
3731,9
3396,2
5160,13
4716,13
1593,7
3146,10
4050,18
3274,11
1999,11
1209,9
5375,14
46,11
874,9
3483,17
1793,6
