Q_ID,Avg_Distance_All,Avg_Distance_Path,Avg_Distance_Nei
5239,49,6,44
913,48,15,35
205,51,11,42
2254,49,14,38
2007,56,12,44
1829,48,6,44
1144,41,5,39
840,55,17,39
4468,56,17,39
713,50,12,43
4838,49,11,40
3457,51,11,41
261,52,11,42
245,48,14,37
768,48,3,45
1792,41,8,35
1906,37,4,33
4140,48,12,38
4932,43,3,41
218,49,3,49
4598,54,15,41
1629,27,3,25
5324,47,15,37
4465,56,15,47
3437,61,21,41
1806,41,9,33
3680,53,9,44
4828,55,14,41
2279,48,11,39
54,34,8,29
1308,57,11,49
3463,46,9,42
2788,43,16,28
2277,58,17,41
1274,37,13,25
1764,50,11,40
2758,45,7,42
838,31,5,29
760,45,6,40
3113,52,16,40
793,27,5,24
2941,36,13,27
2818,42,8,34
4946,50,15,36
2167,47,10,37
356,31,10,21
3764,50,11,40
4393,52,10,42
1023,54,11,48
3101,52,15,39
646,44,8,39
4523,47,7,42
2402,54,13,42
5150,50,13,37
5067,36,5,34
2963,46,10,37
4730,43,5,39
1576,45,6,40
570,53,12,47
376,45,5,41
5418,45,10,39
1867,48,7,41
2371,46,7,40
654,36,8,32
1908,44,4,40
828,48,8,47
3114,33,5,31
2278,47,7,42
3715,43,10,36
5208,52,16,37
2989,49,14,35
1333,52,14,39
3033,48,9,40
2911,47,6,42
1717,51,12,41
2188,66,23,45
5309,57,13,44
585,49,13,38
4991,51,16,37
5202,57,17,41
1402,50,10,42
4376,54,15,41
2006,44,11,33
1339,47,3,44
3787,49,12,40
3109,53,12,42
2212,48,12,40
5243,47,7,41
4563,34,15,20
1800,42,6,36
2657,43,8,37
459,28,2,28
1877,45,7,39
263,55,14,43
2585,44,14,35
3287,57,14,44
2194,52,16,39
543,43,5,39
1729,30,4,28
4647,32,8,25
2578,53,10,44
1742,42,10,33
5370,43,13,30
4090,49,8,45
3242,46,5,42
5267,46,10,41
3759,40,16,31
1171,48,8,41
2170,52,12,40
2021,51,11,42
4599,49,10,39
4416,50,14,39
2153,48,9,39
4789,51,11,41
3510,50,11,42
4781,54,15,40
3272,39,4,35
2966,40,5,37
1797,47,6,41
1134,47,9,40
4175,59,18,43
4043,43,11,35
745,44,4,42
386,47,7,43
899,41,16,28
1253,51,8,46
5141,57,14,44
1311,50,10,44
3459,59,17,49
4886,47,12,38
521,41,11,33
3153,50,11,39
3127,47,3,44
4882,59,16,47
3835,59,18,43
4335,53,18,35
2060,54,11,44
4533,44,3,42
95,59,18,41
939,34,4,32
4399,53,14,39
2186,47,11,38
5251,48,9,39
2787,64,20,46
914,54,12,44
2405,47,3,44
3562,38,7,33
1296,53,13,42
3717,32,13,19
27,55,12,44
2158,32,3,29
4101,38,0,38
1464,49,7,44
4159,62,21,42
872,52,9,51
5123,51,18,36
2445,55,14,44
5235,54,13,42
4989,47,13,35
1630,39,11,29
3064,48,11,37
1324,62,18,44
4419,38,9,34
4345,36,12,28
5,57,13,51
4907,49,10,42
2656,50,11,40
4003,48,9,40
160,43,5,40
917,43,9,37
2974,51,12,42
2520,50,7,44
1962,43,13,35
475,52,16,38
1974,36,6,32
4648,41,12,30
702,50,10,41
3982,42,10,33
567,54,12,46
4364,54,13,41
1031,55,13,51
1052,44,17,30
5405,54,13,42
3894,42,7,37
4504,53,12,42
1353,56,9,50
2172,39,4,37
4323,58,20,39
4970,59,15,44
3467,48,10,44
1736,51,13,41
4418,38,3,36
1648,53,11,48
3269,50,11,42
3060,50,11,42
3589,54,12,43
4240,54,20,38
3699,49,14,37
992,47,14,40
2031,28,5,25
1841,42,4,39
525,53,9,49
2770,42,9,33
173,42,10,37
4820,55,15,40
4538,51,9,44
1886,52,5,49
4821,53,17,40
1805,40,5,36
59,30,4,29
582,48,7,41
5170,54,13,42
483,55,11,49
1876,46,7,39
258,41,3,40
2707,46,0,46
581,54,15,43
4212,47,15,33
1950,49,9,41
2282,46,9,37
3977,48,12,39
1756,44,6,39
1084,49,4,49
4678,42,10,35
4721,58,19,40
3873,53,16,40
1991,45,8,38
3875,54,12,42
3335,45,6,41
1560,61,12,52
773,48,9,41
795,31,2,31
5399,45,4,41
3532,35,13,27
2903,48,10,39
3470,37,17,24
3368,48,9,39
3826,44,10,37
444,47,14,37
5354,38,12,27
5294,45,12,33
807,45,3,45
497,61,15,51
3299,47,13,37
2780,31,4,31
896,51,8,44
2037,37,8,29
1570,47,7,43
1559,45,9,43
4394,53,22,33
3676,46,5,41
1149,55,9,50
1504,42,5,41
3790,51,11,41
2047,38,4,35
618,45,12,35
3631,44,3,42
4509,43,11,35
803,43,11,32
415,55,14,45
5343,44,10,36
4429,51,11,43
121,36,10,32
765,39,7,36
1937,44,13,34
1363,50,14,39
3330,47,12,35
3979,45,7,39
3944,43,11,34
1752,42,5,39
3286,53,16,39
481,59,13,53
1349,68,32,38
3105,40,4,36
18,31,2,31
3199,48,10,39
2173,49,11,39
3728,37,12,25
2337,44,0,44
3466,40,0,40
4553,51,10,42
5423,52,9,44
3987,48,8,41
1269,38,11,27
1556,40,6,38
2431,54,13,41
1784,51,13,39
480,54,11,44
4745,45,9,38
4442,41,3,38
500,56,14,47
2570,43,11,33
469,48,10,39
411,48,5,44
4786,47,11,43
3906,47,15,33
4120,50,6,44
4351,55,12,44
1290,34,9,32
466,55,14,42
4161,21,3,19
657,45,11,35
1523,47,5,44
562,52,16,36
4875,51,10,42
557,41,10,31
1927,35,10,31
3308,45,10,37
983,35,11,25
4667,41,12,32
2017,45,5,41
4743,45,3,42
4871,56,15,41
326,56,14,44
5074,28,10,20
672,44,7,39
3435,50,16,35
5386,60,16,44
4782,56,15,41
4631,58,21,41
4283,51,10,43
2592,53,15,41
2137,56,15,41
1674,44,11,36
2574,46,11,35
1956,44,3,41
2176,46,5,42
3243,53,9,46
1073,38,9,30
5288,51,14,38
2458,28,3,26
3746,46,10,37
2591,43,4,40
595,59,17,43
77,49,9,46
3755,41,7,36
5089,49,15,34
4613,43,9,34
