Q_ID,Question,Reference_Answer,Answer
5239,"Doctor, I'm experiencing some strange symptoms. I've been acting hostile towards my family, and I'm having problems with my movement. Also, I've noticed that I've been slurring my words lately.","1. **Most Likely Disease:** Substance-related mental disorder. While both stroke and substance-related mental disorder share the ""problems with movement"" symptom, substance-related mental disorder is the only disease listed with ""hostile behavior"" as a symptom, which the patient is experiencing. Slurred speech could potentially be related to a substance.

2. **Recommended Medication(s):**
    *   Lorazepam

3. **Suggested Medical Test(s):**
    *   Hematologic tests (Blood test)","\n1. **Most Likely Disease:**\nSubdural Hemorrhage.  The combination of hostile behavior (potentially indicating neurological changes), problems with movement (ataxia, weakness), and slurred speech strongly suggests a neurological event like a subdural hemorrhage or stroke.  While stroke is a possibility, the hostile behavior points more towards the potential impact of a subdural hematoma on brain function.\n\n\n2. **Recommended Medication(s):**\nThere is no medication to \""cure\"" a subdural hematoma. Treatment depends on the size and location of the bleed and the patient's clinical condition.  Options include:\n* **Surgical intervention (craniotomy or burr holes):** To evacuate the hematoma and relieve pressure on the brain.\n* **Medications to manage intracranial pressure (ICP):**  Mannitol or hypertonic saline may be used to reduce swelling.\n* **Medications to manage symptoms:**  Pain medication, anti-seizure medication if seizures occur.\n\n3. **Suggested Medical Test(s):**\n* **CT scan of the head:** This is the primary imaging test to diagnose a subdural hematoma, quickly showing the presence and extent of bleeding.\n* **MRI of the head:** May provide more detailed images in certain cases.\n* **Blood tests:** To assess clotting factors and rule out other conditions.\n* **Neurological examination:**  To assess the extent of neurological deficits.\n\n\n"
913,"Hi Doctor, I've been feeling very weak and fatigued lately. I also noticed that my muscles have been shrinking and I'm having trouble building muscle. ","1. **Most Likely Disease:** Fibromyalgia. The symptoms of fatigue and muscle pain/difficulty building muscle align with the symptoms listed for fibromyalgia. While muscle wasting can occur in other conditions, it's not a primary feature listed in the table for Cirrhosis, whereas muscle pain and fatigue are core symptoms of Fibromyalgia.

2. **Recommended Medication(s):**
* Pregabalin (Lyrica)
* Tizanidine
* Nortriptyline
* Milnacipran (Savella)
* Chlorzoxazone
* Oxymorphone (Opana)

3. **Suggested Medical Test(s):**
* Physical therapy exercises (Exercises)
* Magnetic resonance imaging (Mri)
* Bone density scan
* Depression screen (Depression screening)","\n1. **Most Likely Disease:**\nBased on the reported weakness, fatigue, and muscle shrinking/difficulty building muscle, a **Metabolic Disorder** is the most likely possibility.  These symptoms are common across various metabolic conditions which affect the body's ability to process nutrients and energy properly, leading to muscle wasting and generalized weakness.\n\n2. **Recommended Medication(s):**\nTreatment for metabolic disorders varies greatly depending on the specific diagnosis.  There's no single \""cure\"" as the approach is tailored to the underlying cause. Potential treatments could include:\n\n* **Nutritional supplements:**  Depending on deficiencies (e.g., creatine, specific vitamins and minerals)\n* **Hormone replacement therapy:** For conditions like hypothyroidism affecting metabolism.\n* **Enzyme replacement therapy:** For inborn errors of metabolism where the body lacks specific enzymes.\n* **Medications to manage associated symptoms:**  Such as pain relievers for muscle pain or medications to improve appetite and weight gain if needed.\n\n\n3. **Suggested Medical Test(s):**\nTo determine the specific metabolic disorder, a comprehensive evaluation is necessary:\n\n* **Blood tests:** Comprehensive metabolic panel, including electrolytes, glucose, lipids, liver function tests, kidney function tests, thyroid function tests.  Specific genetic tests may be needed for certain inherited conditions.\n* **Urine tests:** To check for abnormal metabolites excreted in the urine.\n* **Muscle biopsy:** To assess muscle fiber structure and function.  This can help identify specific muscle diseases contributing to symptoms.\n* **Genetic testing:** Depending on suspected inherited metabolic disorders.\n* **Ultrasound:** (As suggested in the provided data) to rule out other conditions causing similar symptoms\n\n\n"
205,"Hi doctor, I am experiencing some pain in my lower abdomen and after a few tests, I have been diagnosed with a benign kidney cyst. What medical tests do I need to undergo now? ","Since there is no reference table provided, I will answer based on my medical knowledge.

1. **Most Likely Disease:** Benign Kidney Cyst. The patient has already been diagnosed with this based on tests. While lower abdominal pain can have many causes, the question specifically states a diagnosis of a benign kidney cyst. Further testing is to monitor the cyst and rule out complications or other potential causes of the pain.

2. **Recommended Medication(s):**
    *   Pain relievers (e.g., Acetaminophen, Ibuprofen)

3. **Suggested Medical Test(s):**
    *   Repeat Ultrasound
    *   CT Scan of Abdomen and Pelvis
    *   MRI of Abdomen and Pelvis
    *   Urinalysis
    *   Blood Pressure Measurement","**\n\n1. **Most Likely Disease:** Benign kidney cyst.  The patient has already been diagnosed with this condition.\n\n2. **Recommended Medication(s):**  There is typically no medication needed to *cure* a benign kidney cyst.  Treatment focuses on managing symptoms.  Pain relievers like ibuprofen or acetaminophen might be recommended for pain relief if present.  If the cyst causes significant complications (rare), surgical removal might be considered.\n\n3. **Suggested Medical Test(s):**  Given the existing diagnosis, further tests depend on the size and symptoms of the cyst.  Ultrasound or CT scans may be used for monitoring the cyst's size and changes over time.  Blood tests (as suggested in the provided text, though not directly related to the cyst itself) might be ordered to rule out other conditions, particularly if symptoms are concerning.\n\n\n**"
2254,"Doctor, I am experiencing some pain and soreness in my breast, along with some back pain and difficulty breathing. What could be the problem?","1. **Most Likely Disease:** Dengue fever, Problem during pregnancy, Abscess of the lung.
The patient exhibits pain or soreness of the breast, which aligns with dengue fever, back pain, which aligns with problem during pregnancy, and difficulty breathing, which is related to abscess of the lung

2. **Recommended Medication(s):**
*   Acetaminophen
*   Multivitamin, Prenatal
*   Budesonide

3. **Suggested Medical Test(s):**
*   CT scan abdomen (Ct of abdomen)
*   Standard pregnancy test
*   Radiographic imaging procedure","\n1. **Most Likely Disease:**\nBased on the presented symptoms (breast pain/soreness, back pain, and difficulty breathing), it's impossible to pinpoint one single most likely disease.  These symptoms are non-specific and could indicate a wide range of conditions, some serious.  More information and a thorough medical examination are crucial.  A possibility, based on the limited information and the provided text, is pleurisy (inflammation of the lining of the lungs), but this is a tentative suggestion and not a diagnosis.  Other possibilities include musculoskeletal issues or even something more serious requiring immediate attention.\n\n2. **Recommended Medication(s):**\nGiven the uncertainty, recommending specific medications is irresponsible. Treatment would depend entirely on the underlying diagnosis, which requires proper investigation.  Pain relief medication (like ibuprofen or acetaminophen) might be appropriate for symptom management *only* while awaiting a proper diagnosis from a healthcare professional.  **Do not self-medicate.**\n\n3. **Suggested Medical Test(s):**\nA comprehensive workup is necessary.  This would likely include:\n* **Physical examination:** A thorough examination by a physician to assess the extent of the pain, check for any abnormalities, and gather further information about the patient's symptoms.\n* **Chest X-ray:** To rule out or diagnose lung-related issues like pleurisy or pneumonia.\n* **Blood tests:** A complete blood count (CBC) might help rule out infection or other underlying conditions.\n* **Imaging studies:** Possibly a CT scan or MRI to evaluate the breast, lungs, and spine for abnormalities.\n\n\n"
2007,"Doctor, I've been experiencing shortness of breath, drainage in my throat, weakness in my wrist, and I've been coughing up blood. What could be the problem?","1. **Most Likely Disease:** Abscess of the lung. This is the most likely diagnosis as it is the only disease in the provided data that includes all the major symptoms: shortness of breath, drainage in the throat, wrist weakness (less directly related, but possible due to overall weakness), and coughing up blood (hemoptysis). Atelectasis, while having cough and shortness of breath, doesn't explain the hemoptysis, drainage in the throat or wrist weakness as well.

2. **Recommended Medication(s):**
* Meropenem
* Vancomycin
* Budesonide
* Dexamethasone Topical Product
* Docusate (Colace)

3. **Suggested Medical Test(s):**
* Radiographic imaging procedure
* X-ray computed tomography (Scan ct)
* Plain x-ray (X ray)
* Cardiac monitoring (Cardiac monitor)
* Hematologic tests (Blood test)
* Complete blood count (Cbc)
* Electrocardiogram","**\n\n1. **Most Likely Disease:** Abscess of the lung.  The combination of shortness of breath, drainage in the throat, and coughing up blood strongly suggests a lung infection, and wrist weakness could be a sign of a systemic infection.  While cysticercosis can cause some of these symptoms, the presence of coughing up blood points more strongly towards a severe lung infection like a lung abscess. Thoracic aortic aneurysm is also possible given shortness of breath, but the other symptoms are less indicative.\n\n2. **Recommended Medication(s):**  Treatment for a lung abscess typically involves a course of antibiotics (e.g., penicillin, amoxicillin-clavulanate, or other broad-spectrum antibiotics depending on culture results), and potentially surgical drainage if the abscess is large or doesn't respond to antibiotics. Supportive care, including oxygen therapy if needed, is also crucial.\n\n3. **Suggested Medical Test(s):**  A chest X-ray is essential to visualize the abscess. A CT scan of the chest may provide more detail.  Sputum culture and sensitivity testing will identify the causative bacteria and guide antibiotic selection. Blood tests (complete blood count, inflammatory markers) will assess the severity of infection.  Possibly a bronchoscopy with bronchoalveolar lavage (BAL) to obtain a more specific sample for culture.\n\n\n**"
1829,"Doctor, I have been experiencing sharp chest pain along with an irregular heartbeat. What could be the problem?","1. **Most Likely Disease:**
Coronary atherosclerosis. This is because it's the only disease in the provided data that lists *both* sharp chest pain and irregular heartbeat as symptoms. While other diseases include sharp chest pain, they do not also list irregular heartbeat.

2. **Recommended Medication(s):**
Aspirin

3. **Suggested Medical Test(s):**
Electrocardiogram","\n1. **Most Likely Disease:**\nPanic disorder.  Sharp chest pain and irregular heartbeat are common symptoms of panic attacks. While these symptoms can also indicate more serious cardiac issues, the combination, without other risk factors mentioned, points more strongly towards a panic attack.  It's crucial to note that this is a preliminary assessment based on limited information, and further investigation is absolutely necessary.\n\n2. **Recommended Medication(s):**\n* **Selective Serotonin Reuptake Inhibitors (SSRIs):**  Such as sertraline (Zoloft), paroxetine (Paxil), or escitalopram (Lexapro). These are commonly used for long-term management of panic disorder.\n* **Serotonin-Norepinephrine Reuptake Inhibitors (SNRIs):** Such as venlafaxine (Effexor) or duloxetine (Cymbalta).  These are another class of antidepressants that can be effective.\n* **Benzodiazepines:**  Such as alprazolam (Xanax) or lorazepam (Ativan). These are used for short-term relief of anxiety and panic symptoms, but are generally not recommended for long-term use due to potential for dependence.\n* **Beta-blockers:**  Such as propranolol.  These can help manage the physical symptoms of anxiety, such as rapid heartbeat, but don't address the underlying panic disorder.\n\n3. **Suggested Medical Test(s):**\n* **Electrocardiogram (ECG or EKG):** To rule out any cardiac abnormalities as the cause of the chest pain and irregular heartbeat.\n* **Cardiac enzyme tests (troponin, CK-MB):** To assess for potential heart damage.\n* **Holter monitor:** A portable ECG that records heart activity over 24-48 hours, helping to detect irregular heartbeats not easily identified during a single ECG.\n* **Psychological evaluation:** To assess for the presence of anxiety and panic disorder, and to rule out other mental health conditions.\n\n\n"
1144,I have been diagnosed with primary kidney disease. What are the required medications for it? ,"Since you indicated there is no reference table available, I will answer using my own medical knowledge.

1. **Most Likely Disease:** Primary Kidney Disease. The prompt itself states the diagnosis, therefore, this is the most likely disease. ""Primary"" indicates the kidney disease originated in the kidneys themselves, rather than being caused by another underlying condition like diabetes or high blood pressure.

2. **Recommended Medication(s):**

*   ACE inhibitors (e.g., Lisinopril, Enalapril)
*   ARBs (e.g., Valsartan, Losartan)
*   Diuretics (e.g., Furosemide, Hydrochlorothiazide)
*   Corticosteroids (e.g., Prednisone)
*   Immunosuppressants (e.g., Cyclosporine, Mycophenolate mofetil)
*   Phosphate binders (e.g., Sevelamer, Lanthanum carbonate)
*   Erythropoiesis-stimulating agents (ESAs) (e.g., Epoetin alfa, Darbepoetin alfa)
*   Vitamin D analogs (e.g., Calcitriol)

3. **Suggested Medical Test(s):**

*   Urinalysis
*   Urine protein creatinine ratio
*   Estimated Glomerular Filtration Rate (eGFR)
*   Kidney ultrasound
*   Kidney biopsy
*   Blood urea nitrogen (BUN)
*   Serum creatinine
*   Electrolyte panel
*   Complete blood count (CBC)
*   Parathyroid hormone (PTH)
*   Vitamin D level","**\n\n1. **Most Likely Disease:**  The provided information only states that the patient has been diagnosed with primary kidney disease.  This is a broad category encompassing many specific conditions.  Without further details on symptoms, specific type of primary kidney disease cannot be determined.\n\n2. **Recommended Medication(s):**  The medications for primary kidney disease vary drastically depending on the *underlying cause*.  Some examples include:\n    * **ACE inhibitors (e.g., Lisinopril, Ramipril):**  Often used to control blood pressure and slow the progression of kidney disease.\n    * **Angiotensin receptor blockers (ARBs) (e.g., Losartan, Valsartan):**  Alternative to ACE inhibitors for blood pressure control.\n    * **Diuretics (e.g., Furosemide, Hydrochlorothiazide):**  Help remove excess fluid from the body.\n    * **Phosphate binders (e.g., Sevelamer, Calcium acetate):** Control high phosphate levels in the blood.\n    * **Erythropoietin stimulating agents (e.g., Epoetin alfa, Darbepoetin alfa):** Treat anemia.\n    * **Immunosuppressants (e.g., Cyclosporine, Tacrolimus):** Used in certain autoimmune kidney diseases.\n    * **Steroids (e.g., Prednisone):** May be used in specific situations, such as certain types of glomerulonephritis.\n\n\n3. **Suggested Medical Test(s):**  To determine the specific type of primary kidney disease and guide treatment, several tests are necessary. These include:\n    * **Urinalysis:** To check for protein, blood, and other abnormalities in the urine.\n    * **Blood tests:**  Including blood urea nitrogen (BUN), creatinine (to assess kidney function), electrolytes, and complete blood count (CBC).\n    * **Kidney biopsy:** A tissue sample is taken from the kidney for microscopic examination.  This is often crucial for diagnosis.\n    * **Ultrasound, CT scan, or MRI of the kidneys:**  To visualize the kidneys and detect structural abnormalities.\n    * **Genetic testing:** May be necessary for certain inherited kidney diseases.\n\n\n**"
840,"Doctor, I have been experiencing severe back pain and stiffness. Sometimes the pain even radiates to my neck and shoulders. I also find it difficult to move my back freely.","1. **Most Likely Disease:** Spondylitis. The patient reports back pain, stiffness, and pain radiating to the neck and shoulders, along with limited back mobility. These symptoms strongly align with spondylitis, which involves inflammation of the vertebrae and can cause stiffness and referred pain. Fibromyalgia is also possible as it includes back pain, neck pain, and shoulder pain. However, the stiffness and limited movement described by the patient are more characteristic of spondylitis.

2. **Recommended Medication(s):**
* Cyclobenzaprine
* Diazepam (Valium)
* Carisoprodol (Soma)
* Orphenadrine (Flexon)
* Methocarbamol
* Tizanidine

3. **Suggested Medical Test(s):**
* Plain x-ray (X ray)
* Physical therapy exercises (Exercises)
* Magnetic resonance imaging (Mri)","\n\n1. **Most Likely Disease:**\nSpondylitis. The patient's symptoms of severe back pain, stiffness, and pain radiating to the neck and shoulders strongly suggest spondylitis, an inflammatory condition affecting the spine.  While other conditions could cause back pain, the combination of these symptoms makes spondylitis the most likely diagnosis based on the provided evidence.\n\n2. **Recommended Medication(s):**\nTreatment for spondylitis typically involves a combination of approaches.  Nonsteroidal anti-inflammatory drugs (NSAIDs) like ibuprofen or naproxen can help manage pain and inflammation.  Disease-modifying antirheumatic drugs (DMARDs) such as methotrexate or sulfasalazine may be necessary to slow disease progression.  In some cases, biologic agents like TNF inhibitors (e.g., infliximab, adalimumab) might be considered for severe cases. Physical therapy, including exercises to improve flexibility and strength, is also crucial.\n\n\n3. **Suggested Medical Test(s):**\nTo confirm the diagnosis of spondylitis, several tests are recommended:\n* **X-rays:** To visualize the spine and assess for bone changes characteristic of spondylitis.\n* **Blood tests:**  To check for inflammatory markers like ESR (erythrocyte sedimentation rate) and CRP (C-reactive protein), which are often elevated in inflammatory conditions. HLA-B27 testing may be helpful, although it's not diagnostic on its own.\n* **MRI:**  To provide detailed images of the spine and surrounding soft tissues, helping to identify inflammation and rule out other conditions.\n\n\n"
4468,"Doctor, I recently had an ultrasound and they found a mass on my kidney. What could this mean?","1. **Most Likely Disease:** Liver cancer. The table lists ""Kidney mass"" as a symptom and ""Ultrasonography (Ultrasound)"" as a medical test associated with Liver cancer. The patient's ultrasound found a kidney mass.

2. **Recommended Medication(s):**
   * Spironolactone

3. **Suggested Medical Test(s):**
   * Ultrasonography (Ultrasound)
   * Magnetic resonance imaging (MRI)","\n\n1. **Most Likely Disease:**  Renal Cell Carcinoma (RCC) or other kidney mass.  The discovery of a mass on the kidney via ultrasound warrants further investigation to determine its nature.  While numerous conditions can cause kidney masses, RCC is a common consideration.\n\n2. **Recommended Medication(s):**  Medication will depend entirely on the diagnosis following further testing.  Treatment for RCC might include targeted therapy (such as sunitinib, pazopanib, or axitinib), immunotherapy (such as nivolumab or pembrolizumab), or surgery (partial nephrectomy or radical nephrectomy), depending on the stage and type of cancer.  For benign masses, observation might be sufficient.\n\n3. **Suggested Medical Test(s):**\n    * **CT scan or MRI of the abdomen and pelvis:** To better visualize the kidney mass, determine its size, location, and relationship to surrounding structures.\n    * **Kidney biopsy:** A small sample of the mass is taken for microscopic examination to determine if it is cancerous and to classify the type of cancer (if present).\n    * **Blood tests:**  Including a complete blood count (CBC), metabolic panel, and tumor markers (such as CEA, CA 19-9).  These may help assess overall health and detect signs of cancer spread.\n\n\n\n"
713,"Doctor, I was diagnosed with diabetic ketoacidosis. What tests do I need to take?<EOS>","Since there is no reference table provided, I will answer based on my medical knowledge.

1. **Most Likely Disease:** Diabetic Ketoacidosis (DKA). The patient states they were diagnosed with it.

2. **Recommended Medication(s):**
    * Insulin
    * IV fluids (e.g., Normal Saline)
    * Potassium chloride (if needed)
    * Sodium bicarbonate (in specific circumstances)

3. **Suggested Medical Test(s):**
    * Blood glucose
    * Serum ketones
    * Arterial blood gas (ABG)
    * Electrolyte panel (Sodium, Potassium, Chloride, Bicarbonate)
    * Blood urea nitrogen (BUN) and Creatinine
    * Complete blood count (CBC)
    * Urinalysis
    * EKG
    * Serum Osmolality","\n1. **Most Likely Disease:** Diabetic Ketoacidosis (DKA)\n[The patient explicitly states they were diagnosed with DKA.  This is a serious complication of diabetes.]\n\n2. **Recommended Medication(s):**\n* **Insulin:** This is the cornerstone of DKA treatment to correct the hyperglycemia and ketosis.  The type and route of administration (IV or subcutaneous) will depend on the patient's condition and response to treatment.\n* **Fluid Resuscitation:**  Intravenous fluids are crucial to correct dehydration, a common feature of DKA.\n* **Electrolyte Replacement:** Potassium levels need monitoring and replacement as necessary, as DKA often leads to potassium depletion.  Other electrolytes like phosphate and magnesium might also require supplementation.\n\n3. **Suggested Medical Test(s):**\n* **Blood Glucose:** To measure the blood sugar levels.\n* **Blood Ketones:**  To quantify the level of ketones in the blood, confirming the diagnosis of ketoacidosis.\n* **Arterial Blood Gas (ABG):** To assess the acid-base balance and identify any respiratory compensation.\n* **Serum Electrolytes:** To check levels of sodium, potassium, chloride, bicarbonate, magnesium, and phosphorus.\n* **Urine Ketones:** Can be used as a screening test but may be less accurate than blood ketone levels.\n* **Complete Blood Count (CBC):** To look for signs of infection.\n* **Serum Creatinine:** To assess kidney function.\n\n"
