Question_ID,Question,Reference_Ans,Answer
5239,"Doctor, I'm experiencing some strange symptoms. I've been acting hostile towards my family, and I'm having problems with my movement. Also, I've noticed that I've been slurring my words lately.","Based on what you've described, it sounds like you may be experiencing delirium, which is a state of mental confusion that can cause changes in behavior, movement problems and difficulty speaking clearly. We'll need to run some tests to determine the underlying cause, but it's important that we act quickly to manage your symptoms and prevent any complications.","\n\nBased on the symptoms, the patient may have either a Subdural Hemorrhage or a Substance-related mental disorder potentially leading to a Stroke.\n\nTo confirm the diagnosis:\n\n*   **For Subdural Hemorrhage:** A CT scan or MRI of the brain is crucial to identify any bleeding or abnormalities.\n*   **For Substance-related Mental Disorder:** A toxicology screening may be used to determine the presence of substances in the patient's system, and psychological evaluation will be needed.\n*   **For Stroke:** A CT scan or MRI of the brain is essential to identify any blood clot or bleeding in the brain. Further tests like ECG, blood tests may be needed to find out the cause of stroke.\n\nRecommended medications would depend on the confirmed diagnosis:\n\n*   **For Subdural Hemorrhage:** Treatment may involve surgery to relieve pressure on the brain or medications to manage symptoms.\n*   **For Substance-related Mental Disorder:** Treatment may involve therapy, medications to manage symptoms.\n*   **For Stroke:** Treatment may involve thrombolytic drugs(for ischemic stroke) to dissolve blood clots or medications to manage symptoms.\n\n"
913,"Hi Doctor, I've been feeling very weak and fatigued lately. I also noticed that my muscles have been shrinking and I'm having trouble building muscle. ","It sounds like you may be experiencing protein deficiency. I recommend that you take a combination of medications including Polyethylene Glycol 3350 (Miralax), Ursodiol (Urso), Paclitaxel (Taxol), Thiamine, Potassium Chloride, Tiotropium (Spiriva), Mupirocin Topical, Amifostine, Fondaparinux (Arixtra), Docetaxel, Papain-Urea Topical, and Cetuximab (Erbitux).","**\n\nBased on the symptoms of weakness, fatigue, muscle shrinking, and difficulty building muscle, the patient may have a Metabolic Disorder or Fibromyalgia.\n\n**To confirm the diagnosis:**\n\n*   **Metabolic Disorder:** An ultrasonography (ultrasound) and Lipid panel could be helpful.\n\n*   **Fibromyalgia:** A Magnetic Resonance Imaging (MRI) may be useful.\n\n**Recommended Medications:**\n\nThere is no medication information available for Metabolic Disorder or Fibromyalgia.\n\n**"
205,"Hi doctor, I am experiencing some pain in my lower abdomen and after a few tests, I have been diagnosed with a benign kidney cyst. What medical tests do I need to undergo now? ","To get more information about the condition and the extent of the cyst, we will need to conduct a few tests. We will need to do a radiographic imaging procedure, a urinalysis, hematologic tests or blood tests, X-ray computed tomography or scan ct, complete blood count or cbc, an electrolytes panel, and in some cases, intravenous fluid replacement.","**\n\nBased on the information provided, the patient has been diagnosed with a benign kidney cyst. Further medical tests are usually not immediately required for simple, benign kidney cysts that are asymptomatic. However, depending on the size, location, and any changes observed over time, the following tests might be considered:\n\n1.  **Follow-up Imaging:** Repeat ultrasound, CT scan, or MRI to monitor the cyst's size and characteristics over time. This is usually done periodically (e.g., every 6-12 months) to ensure it's not growing or changing in a concerning way.\n2.  **Blood Pressure Monitoring:** Kidney cysts, especially larger ones, can sometimes affect kidney function and potentially elevate blood pressure. Regular monitoring is advisable.\n3.  **Kidney Function Tests:** Blood tests (e.g., creatinine, BUN) and urine tests to assess kidney function, especially if there's any concern about the cyst impacting the kidney.\n\nSince the cyst is benign, medication isn't typically used to \""cure\"" it. Treatment is generally focused on managing symptoms if they occur or addressing complications. If the cyst becomes large and causes pain, obstruction, or other issues, then procedures like aspiration (draining the cyst) or surgery might be considered. Pain management with analgesics (like acetaminophen or NSAIDs) may be used if the cyst causes discomfort.\n\n**"
2254,"Doctor, I am experiencing some pain and soreness in my breast, along with some back pain and difficulty breathing. What could be the problem?","Based on the symptoms you've described, it seems like you might have Tietze syndrome.","**\n\nBased on the symptoms of breast pain/soreness, back pain, and difficulty breathing, several possibilities exist according to the provided knowledge graph. Some potential diseases include Congenital Rubella, Lead Poisoning, Dengue Fever, and Ovarian Torsion.\n\nTo narrow down the diagnosis, the patient should undergo the following tests: Hematologic tests (Blood test) and Complete blood count (CBC). These tests are suggested in the knowledge graph for differentiating between conditions such as Dengue Fever and other possibilities.\n\nThe provided knowledge graph does not provide information about medications to cure the diseases, so I cannot provide specific medication recommendations.\n\n**"
2007,"Doctor, I've been experiencing shortness of breath, drainage in my throat, weakness in my wrist, and I've been coughing up blood. What could be the problem?","Based on the symptoms you've described, it's possible that you have an abscess in your lung. We need to perform a chest X-ray and take a sample of your sputum to confirm the diagnosis. We'll also need to start you on antibiotics immediately.","**\n\nBased on the symptoms of shortness of breath, drainage in the throat, wrist weakness, and coughing up blood, the patient may have an Abscess of the Lung, Asthma, or Acute Sinusitis. To confirm the diagnosis, a plain X-ray (X-ray) should be taken. Recommended medications include Budesonide and Combivent.\n\n**"
1829,"Doctor, I have been experiencing sharp chest pain along with an irregular heartbeat. What could be the problem?","Based on your symptoms, it looks like you may be suffering from a condition called coronary atherosclerosis. This occurs when plaque builds up in the arteries that supply blood to your heart muscles, causing chest pain (angina) and an irregular heartbeat.","**\n\nBased on the symptoms described (sharp chest pain and irregular heartbeat), the patient could potentially have Panic disorder, Sick sinus syndrome, Coronary atherosclerosis, or Atrial fibrillation.\n\n*   **Tests:** To confirm the diagnosis, the patient should undergo the following tests:\n    *   **Electrocardiogram (ECG or EKG):** To monitor and record the electrical activity of the heart, which can help identify irregular heartbeats (arrhythmias).\n    *   **Echocardiogram:** An ultrasound of the heart to assess its structure and function.\n    *   **Blood tests:** Including cardiac enzyme tests (to rule out heart damage) and a complete blood count.\n    *   **Stress test:** To evaluate how the heart functions during physical activity.\n    *   **Holter monitor:** A portable ECG device that records heart activity over a longer period (usually 24-48 hours) to detect intermittent arrhythmias.\n\n*   **Medications:** The medications will depend on the confirmed diagnosis:\n    *   **Panic disorder**: Therapy with a mental health professional and medication, such as selective serotonin reuptake inhibitors (SSRIs) or anti-anxiety medications.\n    *   **Sick sinus syndrome:** A pacemaker may be required to regulate the heart rhythm.\n    *   **Coronary atherosclerosis**: Medications such as statins, beta-blockers, ACE inhibitors, and possibly antiplatelet drugs. In severe cases, angioplasty or bypass surgery may be necessary.\n    *   **Atrial fibrillation**: Medications to control heart rate (beta-blockers, calcium channel blockers) or rhythm (antiarrhythmic drugs), and anticoagulants to prevent blood clots.\n\n**"
1144,I have been diagnosed with primary kidney disease. What are the required medications for it? ,"You will need to take Prednisone, Mycophenolate Mofetil (Cellcept), Tacrolimus (Prograf), Valsartan (Diovan), Losartan, Hydroxychloroquine (Plaquenil), Valganciclovir (Valcyte), Nifedipine, Allopurinol, Clotrimazole Topical, Calcitriol, and Cyclosporine to manage your kidney disease.","**\n\nBased on the information provided, the patient has been diagnosed with primary kidney disease.  Given the linked evidence mentions shortness of breath leading to an asthma association and Prednisone as a medication for asthma, this information is not directly related to primary kidney disease. Further information on the specific type and symptoms of the primary kidney disease is required to recommend relevant tests and medications. The evidence provided is not helpful for diagnosing and treating kidney disease. \n\n**"
840,"Doctor, I have been experiencing severe back pain and stiffness. Sometimes the pain even radiates to my neck and shoulders. I also find it difficult to move my back freely.","Based on your symptoms, it seems like you might have spondylitis. I would recommend a course of medications to alleviate your pain and stiffness. Please take Cyclobenzaprine, Diazepam (Valium), Carisoprodol (Soma), Orphenadrine (Flexon), Methocarbamol, Tizanidine, Bupivacaine, Metaxalone (Skelaxin), Methadone, Nabumetone, Chlorzoxazone, as prescribed by me.","\nBased on the symptoms described, the patient may have spondylitis, which is a type of arthritis that affects the spine. To confirm the diagnosis, the patient should undergo X-rays or MRI of the spine, as well as blood tests to check for inflammatory markers. Recommended medications for spondylitis include anti-inflammatory drugs such as ibuprofen, and potentially stronger medications such as TNF inhibitors or other biologics, under the guidance of a rheumatologist. Physical therapy is also helpful to maintain mobility.\n\n"
4468,"Doctor, I recently had an ultrasound and they found a mass on my kidney. What could this mean?","Based on your symptoms, it is possible that you have kidney cancer. We will need to run some tests to confirm the diagnosis.","**\n\nThe patient may have a condition related to the kidney mass, such as Liver Cancer or Von Hippel-Lindau disease.\n\n*   **To confirm the diagnosis:** The patient should undergo further testing. This could include:\n    *   **Biopsy of the Kidney Mass:** This will help determine if the mass is cancerous (malignant) or non-cancerous (benign).\n    *   **CT Scan or MRI:**  To further evaluate the kidney mass and look for any spread to other areas.\n    *   **Genetic Testing:** To test for Von Hippel-Lindau disease, since it is an inherited genetic disorder.\n    *   **Liver Function Tests:** Since 'Kidney mass' can be a possible cause of 'Liver_cancer'\n*   **Recommended Medications/Treatment:**\n    *   The treatment will depend on the diagnosis. For example:\n        *   If it is Liver Cancer: Chemotherapy drugs like Sorafenib.\n        *   If it is Von Hippel-Lindau disease: Since this is a genetic disorder, so there is no cure, but treatments for the related complications such as surgery and radiation therapy.\n\n**"
713,"Doctor, I was diagnosed with diabetic ketoacidosis. What tests do I need to take?<EOS>","You would need to take a series of medical tests to evaluate your condition. Your treatment would include intravenous fluid replacement, hematologic tests like complete blood count (CBC), glucose measurement to quantify the glucose levels in your blood, electrolytes panel to analyse sodium and potassium imbalances in your bloodstream, urinalysis to check for ketones or other signs of kidney damage, and kidney function tests to assess kidney health.","\nThe patient has been diagnosed with diabetic ketoacidosis. However, based on the medical knowledge provided, I can only infer that someone with Hashimoto's thyroiditis might need Hematologic tests (Blood test). There is no information about tests or medications related to diabetic ketoacidosis. I suggest consulting with a healthcare provider for appropriate tests and medications for diabetic ketoacidosis.\n\n"
