Q_ID,Question,Reference_Answer,Answer
5239,"Doctor, I'm experiencing some strange symptoms. I've been acting hostile towards my family, and I'm having problems with my movement. Also, I've noticed that I've been slurring my words lately.","1. **Most Likely Disease:** Substance-related mental disorder. While both stroke and substance-related mental disorder share the ""problems with movement"" symptom, substance-related mental disorder is the only disease listed with ""hostile behavior"" as a symptom, which the patient is experiencing. Slurred speech could potentially be related to a substance.

2. **Recommended Medication(s):**
    *   Lorazepam

3. **Suggested Medical Test(s):**
    *   Hematologic tests (Blood test)","**\n\n1. **Most Likely Disease:** Based on the combination of hostile behavior, movement problems, and slurred speech, the most likely disease is **Stroke**. The provided knowledge graph suggests a connection between these symptoms – “Hostile_behavior” can be linked to “Subdural_hemorrhage” or “Substance-related_mental_disorder,” both of which can cause “Problems_with_movement,” and “Problems_with_movement” can lead to “Stroke,” which in turn can cause “Slurring_words.”\n\n2. **Recommended Medication(s):**  Treatment for stroke is complex and depends on the type and location of the stroke. Potential medications include:\n    *   **Thrombolytics (e.g., Alteplase):** If the stroke is ischemic (caused by a blood clot), these medications can dissolve the clot. *However, these must be administered within a specific timeframe.*\n    *   **Antiplatelet drugs (e.g., Aspirin, Clopidogrel):** To prevent further clot formation.\n    *   **Anticoagulants (e.g., Warfarin, Heparin):**  May be used in certain stroke types.\n    *   **Medications to manage symptoms:**  Such as speech therapy, physical therapy, and medications to manage blood pressure and other complications.  Psychiatric evaluation and treatment may also be needed to address the hostile behavior.\n\n3. **Suggested Medical Test(s):**\n    *   **CT Scan of the Head:** To quickly identify bleeding in the brain (subdural hemorrhage) or other structural abnormalities.\n    *   **MRI of the Brain:** Provides more detailed images of the brain and can detect subtle signs of stroke that might be missed on a CT scan.\n    *   **Electrocardiogram (ECG):** To assess heart rhythm and rule out cardiac causes of stroke.\n    *   **Blood Tests:** Including a complete blood count (CBC), electrolytes, coagulation studies, and cardiac enzymes.\n    *   **Neurological Examination:** To assess motor skills, reflexes, sensation, and cognitive function.\n    *   **Speech and Language Evaluation:** To assess the extent of the speech impairment.\n\n\n\n**"
913,"Hi Doctor, I've been feeling very weak and fatigued lately. I also noticed that my muscles have been shrinking and I'm having trouble building muscle. ","1. **Most Likely Disease:** Fibromyalgia. The symptoms of fatigue and muscle pain/difficulty building muscle align with the symptoms listed for fibromyalgia. While muscle wasting can occur in other conditions, it's not a primary feature listed in the table for Cirrhosis, whereas muscle pain and fatigue are core symptoms of Fibromyalgia.

2. **Recommended Medication(s):**
* Pregabalin (Lyrica)
* Tizanidine
* Nortriptyline
* Milnacipran (Savella)
* Chlorzoxazone
* Oxymorphone (Opana)

3. **Suggested Medical Test(s):**
* Physical therapy exercises (Exercises)
* Magnetic resonance imaging (Mri)
* Bone density scan
* Depression screen (Depression screening)","**\n\n1. **Most Likely Disease:** Based on the combination of weakness, fatigue, muscle shrinkage, and muscle swelling, the most likely disease is **Hypertrophic Obstructive Cardiomyopathy (HOCM)**. The evidence points to muscle swelling, which is a key symptom of HOCM, and the association with fatigue and weakness further supports this possibility. While other conditions are possible, HOCM aligns best with the presented symptoms.\n\n2. **Recommended Medication(s):**  Several treatment options may be considered:\n    *   **Beta-blockers:** (e.g., Metoprolol, Carvedilol) – To slow the heart rate and improve heart function.\n    *   **Diuretics:** (e.g., Furosemide) – To reduce fluid buildup and alleviate symptoms like shortness of breath.\n    *   **ACE inhibitors or ARBs:** (e.g., Lisinopril, Valsartan) – To help manage blood pressure and protect the heart.\n    *   **Digoxin:** – To strengthen the heart's contractions.\n    *   **Lifestyle modifications:** Including a low-sodium diet and regular exercise (as tolerated) are crucial.\n\n3. **Suggested Medical Test(s):**\n    *   **Echocardiogram:** To assess the structure and function of the heart, specifically looking for thickening of the heart muscle.\n    *   **Electrocardiogram (ECG/EKG):** To evaluate the heart's electrical activity and identify any abnormalities.\n    *   **Lipid Panel:** As suggested in the evidence, to check for underlying metabolic issues.\n    *   **Cardiac MRI:** Provides detailed images of the heart muscle and can help detect subtle abnormalities.\n    *   **Exercise Stress Test:** To assess how the heart responds to physical exertion.\n\n\n\n**"
205,"Hi doctor, I am experiencing some pain in my lower abdomen and after a few tests, I have been diagnosed with a benign kidney cyst. What medical tests do I need to undergo now? ","Since there is no reference table provided, I will answer based on my medical knowledge.

1. **Most Likely Disease:** Benign Kidney Cyst. The patient has already been diagnosed with this based on tests. While lower abdominal pain can have many causes, the question specifically states a diagnosis of a benign kidney cyst. Further testing is to monitor the cyst and rule out complications or other potential causes of the pain.

2. **Recommended Medication(s):**
    *   Pain relievers (e.g., Acetaminophen, Ibuprofen)

3. **Suggested Medical Test(s):**
    *   Repeat Ultrasound
    *   CT Scan of Abdomen and Pelvis
    *   MRI of Abdomen and Pelvis
    *   Urinalysis
    *   Blood Pressure Measurement","**\n\n1. **Most Likely Disease:**\n   The patient has been diagnosed with a benign kidney cyst. While the initial diagnosis is benign, further investigation is warranted to rule out any underlying conditions that might be associated with kidney cysts.\n\n2. **Recommended Medication(s):**\n   Since the cyst is benign, medication is generally not required unless there are complications like pain or infection. Pain management might involve over-the-counter analgesics like ibuprofen or acetaminophen. If infection is present, antibiotics would be prescribed.\n\n3. **Suggested Medical Test(s):**\n   *   **Ultrasound:** This is likely already performed, but a follow-up ultrasound can monitor the cyst’s size and characteristics over time.\n   *   **CT Scan or MRI:** These imaging tests provide more detailed images of the kidney and surrounding structures, helping to assess the cyst’s size, shape, and any potential abnormalities.\n   *   **Blood Tests:**  Complete blood count (CBC) and kidney function tests (BUN, creatinine) to assess overall health and kidney function.\n   *   **Urine Analysis:** To check for infection or blood in the urine.\n\n\n**"
2254,"Doctor, I am experiencing some pain and soreness in my breast, along with some back pain and difficulty breathing. What could be the problem?","1. **Most Likely Disease:** Dengue fever, Problem during pregnancy, Abscess of the lung.
The patient exhibits pain or soreness of the breast, which aligns with dengue fever, back pain, which aligns with problem during pregnancy, and difficulty breathing, which is related to abscess of the lung

2. **Recommended Medication(s):**
*   Acetaminophen
*   Multivitamin, Prenatal
*   Budesonide

3. **Suggested Medical Test(s):**
*   CT scan abdomen (Ct of abdomen)
*   Standard pregnancy test
*   Radiographic imaging procedure","**\n\n1. **Most Likely Disease:** Based on the combination of breast pain, back pain, and difficulty breathing, **Ovarian torsion** is the most concerning possibility. The evidence suggests a connection between these symptoms, particularly when considering the potential for pelvic pain and associated complications. While other conditions like Congenital Rubella, Lead Poisoning, or Dengue Fever could contribute to some of these symptoms, the constellation of pain and breathing difficulties points most strongly to ovarian torsion.\n\n2. **Recommended Medication(s):**  Treatment for ovarian torsion typically involves immediate medical intervention. There isn't a \""cure\"" medication in the traditional sense.  Initially, pain management with analgesics like **ibuprofen** or **morphine** might be prescribed.  If surgery is required (which is common), antibiotics may be administered to prevent infection.  Post-surgery, hormone regulation might be needed depending on the cause and extent of the torsion.\n\n3. **Suggested Medical Test(s):**  The following tests are crucial for confirming the diagnosis and guiding treatment:\n    *   **Pelvic Ultrasound:** This is the primary imaging test to visualize the ovaries and identify any twisting or abnormalities.\n    *   **Complete Blood Count (CBC):** To check for signs of infection or inflammation.\n    *   **Hematologic Tests (Blood Test):** Specifically looking for elevated white blood cell count, which could indicate an infection.\n    *   **Hormone Level Tests:** To assess ovarian function and identify any underlying hormonal imbalances.\n    *   **Laparoscopy:** In some cases, a surgical procedure called laparoscopy may be necessary to confirm the diagnosis and untwist the ovary.\n\n\n\n**"
2007,"Doctor, I've been experiencing shortness of breath, drainage in my throat, weakness in my wrist, and I've been coughing up blood. What could be the problem?","1. **Most Likely Disease:** Abscess of the lung. This is the most likely diagnosis as it is the only disease in the provided data that includes all the major symptoms: shortness of breath, drainage in the throat, wrist weakness (less directly related, but possible due to overall weakness), and coughing up blood (hemoptysis). Atelectasis, while having cough and shortness of breath, doesn't explain the hemoptysis, drainage in the throat or wrist weakness as well.

2. **Recommended Medication(s):**
* Meropenem
* Vancomycin
* Budesonide
* Dexamethasone Topical Product
* Docusate (Colace)

3. **Suggested Medical Test(s):**
* Radiographic imaging procedure
* X-ray computed tomography (Scan ct)
* Plain x-ray (X ray)
* Cardiac monitoring (Cardiac monitor)
* Hematologic tests (Blood test)
* Complete blood count (Cbc)
* Electrocardiogram","**\n\n1. **Most Likely Disease:** Based on the combination of shortness of breath, drainage in the throat, wrist weakness, and coughing up blood, the most likely disease is **Abscess of the Lung** (potentially complicated by Asthma). The repeated association with ‘Drainage in throat’, ‘Wrist weakness’, ‘Coughing up sputum’, and the mention of potential medications like Budesonide and Combivent strongly point towards this. While other conditions are possible, the pattern of symptoms aligns most closely with an abscess.\n\n2. **Recommended Medication(s):**\n   *   **Budesonide:**  As mentioned in Path Evidence 6, this is a potential cure for Asthma and could be used to treat the underlying inflammation associated with the lung abscess.\n   *   **Combivent:** (Path Evidence 7) This is a combination medication (ipratropium bromide and albuterol) often used to treat Asthma and could be helpful in managing the shortness of breath and cough.\n   *   **Antibiotics:** Given the presence of a lung abscess, a course of broad-spectrum antibiotics would be crucial to combat the infection. (Not explicitly stated in the evidence, but highly probable).\n\n3. **Suggested Medical Test(s):**\n   *   **Plain X-ray (X-ray) of the Chest:** (Path Evidence 5) This is essential to visualize the lung and confirm the presence of an abscess, as well as assess the extent of the infection.\n   *   **CT Scan of the Chest:** A CT scan would provide a more detailed image of the lungs and surrounding tissues, helping to better characterize the abscess and identify any complications.\n   *   **Blood Tests:**  Complete blood count (CBC) and inflammatory markers (e.g., CRP, ESR) can help assess the severity of the infection.\n\n**"
1829,"Doctor, I have been experiencing sharp chest pain along with an irregular heartbeat. What could be the problem?","1. **Most Likely Disease:**
Coronary atherosclerosis. This is because it's the only disease in the provided data that lists *both* sharp chest pain and irregular heartbeat as symptoms. While other diseases include sharp chest pain, they do not also list irregular heartbeat.

2. **Recommended Medication(s):**
Aspirin

3. **Suggested Medical Test(s):**
Electrocardiogram","**\n\n1. **Most Likely Disease:**\nBased on the symptoms of sharp chest pain and irregular heartbeat, the patient could have **Coronary Atherosclerosis**. This is the most concerning possibility given the combination of symptoms, as it’s a common cause of both chest pain (angina) and arrhythmias. The other possibilities (Panic Disorder, Sick Sinus Syndrome, and Atrial Fibrillation) are also potential contributors, but coronary artery disease warrants immediate investigation.\n\n2. **Recommended Medication(s):**\n*   **Aspirin:** To help prevent blood clots.\n*   **Beta-blockers:** To slow the heart rate and reduce chest pain.\n*   **ACE inhibitors or ARBs:** To lower blood pressure and protect the heart.\n*   **Statins:** To lower cholesterol levels and stabilize plaque in the arteries.\n*   **Antiarrhythmic medications:** Depending on the type of irregular heartbeat, medications like amiodarone or flecainide might be prescribed.\n\n3. **Suggested Medical Test(s):**\n*   **Electrocardiogram (ECG/EKG):** To assess the heart's electrical activity and identify arrhythmias.\n*   **Echocardiogram:** To visualize the heart's structure and function, looking for signs of reduced pumping ability or valve problems.\n*   **Stress Test:** To evaluate blood flow to the heart during exercise.\n*   **Blood Tests:** Including cardiac enzymes (troponin) to rule out a heart attack, cholesterol levels, and complete blood count.\n*   **Coronary Angiogram:**  A more invasive test to directly visualize the coronary arteries and identify blockages.\n\n\n**"
1144,I have been diagnosed with primary kidney disease. What are the required medications for it? ,"Since you indicated there is no reference table available, I will answer using my own medical knowledge.

1. **Most Likely Disease:** Primary Kidney Disease. The prompt itself states the diagnosis, therefore, this is the most likely disease. ""Primary"" indicates the kidney disease originated in the kidneys themselves, rather than being caused by another underlying condition like diabetes or high blood pressure.

2. **Recommended Medication(s):**

*   ACE inhibitors (e.g., Lisinopril, Enalapril)
*   ARBs (e.g., Valsartan, Losartan)
*   Diuretics (e.g., Furosemide, Hydrochlorothiazide)
*   Corticosteroids (e.g., Prednisone)
*   Immunosuppressants (e.g., Cyclosporine, Mycophenolate mofetil)
*   Phosphate binders (e.g., Sevelamer, Lanthanum carbonate)
*   Erythropoiesis-stimulating agents (ESAs) (e.g., Epoetin alfa, Darbepoetin alfa)
*   Vitamin D analogs (e.g., Calcitriol)

3. **Suggested Medical Test(s):**

*   Urinalysis
*   Urine protein creatinine ratio
*   Estimated Glomerular Filtration Rate (eGFR)
*   Kidney ultrasound
*   Kidney biopsy
*   Blood urea nitrogen (BUN)
*   Serum creatinine
*   Electrolyte panel
*   Complete blood count (CBC)
*   Parathyroid hormone (PTH)
*   Vitamin D level","**\n\n1. **Most Likely Disease:**\nBased on the provided information – a diagnosis of “primary kidney disease” – the most likely disease is a broad category encompassing various conditions affecting the kidneys’ ability to function properly. These can range from chronic kidney disease (CKD) to glomerulonephritis, polycystic kidney disease, and more.  Without further details about the specific symptoms and underlying cause, it’s impossible to pinpoint a single disease.\n\n2. **Recommended Medication(s):**\nMedications for primary kidney disease are highly dependent on the specific underlying cause and stage of the disease. Here are some potential categories of medications:\n*   **ACE inhibitors or ARBs:** These medications (e.g., lisinopril, losartan) are often used to control blood pressure and protect the kidneys, particularly in CKD.\n*   **Diuretics:** Medications like furosemide or hydrochlorothiazide help reduce fluid buildup and swelling.\n*   **Phosphate binders:**  These medications (e.g., calcium carbonate, sevelamer) are used to control phosphate levels in the blood, which can build up in kidney disease.\n*   **Vitamin D analogs:**  Help regulate calcium and phosphate levels.\n*   **Erythropoiesis-stimulating agents (ESAs):** (e.g., epoetin alfa) are used to treat anemia, a common complication of kidney disease.\n*   **Bicarbonate:** To correct metabolic acidosis.\n\n*Note: This is a general list. Specific medications and dosages must be determined by a nephrologist.*\n\n3. **Suggested Medical Test(s):**\nTo confirm the diagnosis and determine the underlying cause of primary kidney disease, the following tests are recommended:\n*   **Blood tests:**\n    *   **Creatinine and BUN (Blood Urea Nitrogen):**  Measure kidney function.\n    *   **Electrolytes (Sodium, Potassium, Chloride, Bicarbonate):** Assess electrolyte balance.\n    *   **Complete Blood Count (CBC):**  Check for anemia.\n    *   **Phosphorus and Calcium levels:** Assess bone health and mineral metabolism.\n*   **Urine tests:**\n    *   **Urinalysis:** Detects protein, blood, and other abnormalities in the urine.\n    *   **Urine protein-to-creatinine ratio (UPCR):** Measures the amount of protein in the urine.\n*   **Imaging studies:**\n    *   **Ultrasound:**  Evaluates kidney size, shape, and structure.\n    *   **CT scan or MRI:** Provides more detailed images of the kidneys and surrounding structures.\n    *   **Kidney Biopsy:**  May be necessary to determine the specific type of kidney disease.\n\n\n**"
840,"Doctor, I have been experiencing severe back pain and stiffness. Sometimes the pain even radiates to my neck and shoulders. I also find it difficult to move my back freely.","1. **Most Likely Disease:** Spondylitis. The patient reports back pain, stiffness, and pain radiating to the neck and shoulders, along with limited back mobility. These symptoms strongly align with spondylitis, which involves inflammation of the vertebrae and can cause stiffness and referred pain. Fibromyalgia is also possible as it includes back pain, neck pain, and shoulder pain. However, the stiffness and limited movement described by the patient are more characteristic of spondylitis.

2. **Recommended Medication(s):**
* Cyclobenzaprine
* Diazepam (Valium)
* Carisoprodol (Soma)
* Orphenadrine (Flexon)
* Methocarbamol
* Tizanidine

3. **Suggested Medical Test(s):**
* Plain x-ray (X ray)
* Physical therapy exercises (Exercises)
* Magnetic resonance imaging (Mri)","**\n\n1. **Most Likely Disease:** Based on the symptoms of severe back pain, stiffness, radiating pain to the neck and shoulders, and difficulty moving freely, the most likely disease is **Spondylitis**. The description consistently links back pain with stiffness and potential progression to leg pain, which aligns with the presentation.\n\n2. **Recommended Medication(s):**  Several treatment options could be considered:\n    *   **NSAIDs (Nonsteroidal Anti-inflammatory Drugs):**  Like ibuprofen or naproxen, to reduce pain and inflammation.\n    *   **Muscle Relaxants:**  Such as cyclobenzaprine, to alleviate muscle spasms.\n    *   **Analgesics:**  Acetaminophen (Tylenol) for pain relief.\n    *   **Disease-Modifying Antirheumatic Drugs (DMARDs):**  If the spondylitis is more severe or progressive, medications like methotrexate or sulfasalazine might be considered under specialist guidance.\n\n3. **Suggested Medical Test(s):**\n    *   **X-rays of the Spine:** To visualize the bones and identify any structural abnormalities, inflammation, or degeneration.\n    *   **MRI (Magnetic Resonance Imaging) of the Spine:** Provides more detailed images of the soft tissues, including discs, nerves, and spinal cord, to detect inflammation, herniations, or other issues.\n    *   **Blood Tests:** To assess inflammation markers (e.g., ESR, CRP) and rule out other conditions.\n    *   **Neurological Examination:** To evaluate nerve function and rule out nerve compression.\n\n\n\n**"
4468,"Doctor, I recently had an ultrasound and they found a mass on my kidney. What could this mean?","1. **Most Likely Disease:** Liver cancer. The table lists ""Kidney mass"" as a symptom and ""Ultrasonography (Ultrasound)"" as a medical test associated with Liver cancer. The patient's ultrasound found a kidney mass.

2. **Recommended Medication(s):**
   * Spironolactone

3. **Suggested Medical Test(s):**
   * Ultrasonography (Ultrasound)
   * Magnetic resonance imaging (MRI)","**\n\n1. **Most Likely Disease:**\nBased on the provided information, the most likely disease is **Von Hippel-Lindau disease (VHL)**. The ultrasound finding of a kidney mass is strongly associated with this condition, as indicated by Path Evidence 1. While liver cancer is also listed as a possible association, VHL is a more common initial consideration for kidney masses.\n\n2. **Recommended Medication(s):**\nCurrently, there is no cure for VHL. Treatment focuses on managing the symptoms and preventing complications. Options include:\n    *   **Beta-blockers** (e.g., propranolol): To manage headaches, which are common in VHL.\n    *   **Somatostatin analogs** (e.g., octreotide): To slow the growth of tumors.\n    *   **Targeted therapies** (e.g., AV-101):  These are newer medications being investigated for VHL and may offer a more targeted approach in the future.\n    *   **Surgery:** Removal of tumors may be necessary to alleviate symptoms or prevent complications.\n\n3. **Suggested Medical Test(s):**\nTo confirm the diagnosis and assess the extent of the disease, the following tests are recommended:\n    *   **Genetic testing:** To identify VHL gene mutations.\n    *   **Angiography:** To visualize blood vessels in the kidneys and identify any aneurysms or vascular abnormalities.\n    *   **CT scan or MRI:** To assess the size, location, and extent of the kidney mass and look for involvement of other organs (e.g., brain, spinal cord, pancreas).\n    *   **Biopsy:**  A tissue sample may be needed to confirm the diagnosis and determine the type of tumor.\n\n\n\n**"
713,"Doctor, I was diagnosed with diabetic ketoacidosis. What tests do I need to take?<EOS>","Since there is no reference table provided, I will answer based on my medical knowledge.

1. **Most Likely Disease:** Diabetic Ketoacidosis (DKA). The patient states they were diagnosed with it.

2. **Recommended Medication(s):**
    * Insulin
    * IV fluids (e.g., Normal Saline)
    * Potassium chloride (if needed)
    * Sodium bicarbonate (in specific circumstances)

3. **Suggested Medical Test(s):**
    * Blood glucose
    * Serum ketones
    * Arterial blood gas (ABG)
    * Electrolyte panel (Sodium, Potassium, Chloride, Bicarbonate)
    * Blood urea nitrogen (BUN) and Creatinine
    * Complete blood count (CBC)
    * Urinalysis
    * EKG
    * Serum Osmolality","**\n\n1. **Most Likely Disease:** Diabetic Ketoacidosis (DKA) – This is the primary diagnosis, as the patient has already been diagnosed with it. DKA is a serious complication of diabetes characterized by high blood sugar, ketone buildup, and metabolic acidosis.\n\n2. **Recommended Medication(s):**  There isn’t a “cure” for DKA in the sense of a single medication. Treatment focuses on restoring fluid and electrolyte balance, lowering blood sugar, and stopping ketone production.  Common medications include:\n    *   **Insulin:**  Rapid-acting insulin is crucial to shift the body from ketone production to glucose utilization.\n    *   **Intravenous Fluids:**  To correct dehydration and electrolyte imbalances.\n    *   **Potassium Supplements:** Insulin drives potassium into cells, potentially leading to dangerously low potassium levels.\n\n3. **Suggested Medical Test(s):**\n    *   **Blood Glucose:** To measure the level of sugar in the blood.\n    *   **Ketone Levels (Blood or Urine):** To confirm the presence of ketones, a hallmark of DKA.\n    *   **Electrolyte Panel (Sodium, Potassium, Chloride, Bicarbonate):** To assess electrolyte imbalances.\n    *   **Arterial Blood Gas (ABG):** To measure blood pH and bicarbonate levels, confirming metabolic acidosis.\n    *   **Complete Metabolic Panel (CMP):** To evaluate kidney function and other metabolic parameters.\n\n\n\n**"
