Q_ID,Question,Reference_Answer,Answer
5239,"Doctor, I'm experiencing some strange symptoms. I've been acting hostile towards my family, and I'm having problems with my movement. Also, I've noticed that I've been slurring my words lately.","1. **Most Likely Disease:** Substance-related mental disorder. While both stroke and substance-related mental disorder share the ""problems with movement"" symptom, substance-related mental disorder is the only disease listed with ""hostile behavior"" as a symptom, which the patient is experiencing. Slurred speech could potentially be related to a substance.

2. **Recommended Medication(s):**
    *   Lorazepam

3. **Suggested Medical Test(s):**
    *   Hematologic tests (Blood test)","**\n\n1. **Most Likely Disease:**\nBased on the combination of hostile behavior, movement problems, and slurred speech, the most likely disease is **Stroke**. The symptoms – changes in behavior, motor difficulties, and speech impairment – are all classic indicators of a stroke. The provided knowledge graph suggests a connection between stroke and slurred speech, and movement problems.\n\n2. **Recommended Medication(s):**\nGiven the potential for a stroke, immediate medical intervention is crucial.  Here’s a breakdown of potential medications and treatments:\n*   **Thrombolytics (e.g., Alteplase):** If the stroke is ischemic (caused by a blood clot), these medications can dissolve the clot and restore blood flow. *Administration must be rapid and within a specific timeframe.*\n*   **Antiplatelet Agents (e.g., Aspirin, Clopidogrel):** These medications help prevent further clot formation.\n*   **Anticoagulants (e.g., Warfarin, Heparin):**  May be used in certain stroke types to prevent new clots.\n*   **Supportive Care:** This includes managing blood pressure, blood sugar, and other vital signs. Rehabilitation therapies (physical, occupational, and speech therapy) are also essential for recovery.\n\n3. **Suggested Medical Test(s):**\nTo confirm the diagnosis and determine the type of stroke, the following tests are crucial:\n*   **CT Scan (without contrast):**  This is the initial test to quickly identify bleeding in the brain (hemorrhagic stroke) or evidence of a stroke.\n*   **MRI (with and without contrast):** Provides a more detailed image of the brain and can detect smaller strokes or other abnormalities.\n*   **Blood Tests:** To assess blood clotting factors, electrolytes, and other markers that can help determine the cause of the stroke.\n*   **ECG (Electrocardiogram):** To evaluate heart rhythm and rule out cardiac causes of stroke.\n*   **Neurological Examination:** A thorough assessment of motor skills, reflexes, sensation, and cognitive function.\n\n\n\n**"
913,"Hi Doctor, I've been feeling very weak and fatigued lately. I also noticed that my muscles have been shrinking and I'm having trouble building muscle. ","1. **Most Likely Disease:** Fibromyalgia. The symptoms of fatigue and muscle pain/difficulty building muscle align with the symptoms listed for fibromyalgia. While muscle wasting can occur in other conditions, it's not a primary feature listed in the table for Cirrhosis, whereas muscle pain and fatigue are core symptoms of Fibromyalgia.

2. **Recommended Medication(s):**
* Pregabalin (Lyrica)
* Tizanidine
* Nortriptyline
* Milnacipran (Savella)
* Chlorzoxazone
* Oxymorphone (Opana)

3. **Suggested Medical Test(s):**
* Physical therapy exercises (Exercises)
* Magnetic resonance imaging (Mri)
* Bone density scan
* Depression screen (Depression screening)","**\n\n1. **Most Likely Disease:** Based on the combination of weakness, fatigue, muscle shrinkage, and difficulty building muscle, the most likely disease is **Fibromyalgia**. The symptom of \""Muscle pain\"" is strongly associated with Fibromyalgia in the provided knowledge graph. While other conditions like intracranial hemorrhage, HOCM, or pituitary adenoma are mentioned, the consistent presence of \""Muscle pain\"" points most strongly towards Fibromyalgia.\n\n2. **Recommended Medication(s):**  Given the likely diagnosis of Fibromyalgia, treatment typically involves a multi-faceted approach. Possible medications include:\n    *   **Duloxetine:** An antidepressant often used to manage fibromyalgia symptoms.\n    *   **Pregabalin or Gabapentin:** Anticonvulsants that can help reduce pain and muscle spasms.\n    *   **Tramadol:** A centrally acting analgesic, used cautiously due to potential for dependence.\n    *   **Muscle relaxants (e.g., cyclobenzaprine):** To alleviate muscle stiffness and pain.\n    *   **Physical therapy and exercise:** Crucial for improving function and reducing pain.\n\n3. **Suggested Medical Test(s):** To confirm the diagnosis and rule out other potential causes, the following tests are recommended:\n    *   **Complete Blood Count (CBC):** To assess for anemia or other blood abnormalities.\n    *   **Comprehensive Metabolic Panel (CMP):** To evaluate kidney and liver function, electrolytes, and blood sugar.\n    *   **Thyroid Function Tests (TFTs):** To rule out thyroid disorders, which can mimic fibromyalgia symptoms.\n    *   **Rheumatoid Factor (RF) and Anti-CCP Antibody Tests:** To assess for autoimmune conditions.\n    *   **Muscle Biopsy:** (If indicated based on initial findings) To examine muscle tissue for abnormalities.\n\n\n\n**"
205,"Hi doctor, I am experiencing some pain in my lower abdomen and after a few tests, I have been diagnosed with a benign kidney cyst. What medical tests do I need to undergo now? ","Since there is no reference table provided, I will answer based on my medical knowledge.

1. **Most Likely Disease:** Benign Kidney Cyst. The patient has already been diagnosed with this based on tests. While lower abdominal pain can have many causes, the question specifically states a diagnosis of a benign kidney cyst. Further testing is to monitor the cyst and rule out complications or other potential causes of the pain.

2. **Recommended Medication(s):**
    *   Pain relievers (e.g., Acetaminophen, Ibuprofen)

3. **Suggested Medical Test(s):**
    *   Repeat Ultrasound
    *   CT Scan of Abdomen and Pelvis
    *   MRI of Abdomen and Pelvis
    *   Urinalysis
    *   Blood Pressure Measurement","**\n\n1. **Most Likely Disease:**\n   Based on the diagnosis of a benign kidney cyst, the patient has a **benign kidney cyst**. This is the primary diagnosis, and further investigation is likely focused on monitoring its growth and potential complications rather than treating it directly.\n\n2. **Recommended Medication(s):**\n   Since the cyst is benign, medication is generally not required unless there are symptoms like pain or pressure. Pain management options could include over-the-counter pain relievers like **ibuprofen** or **acetaminophen**.  If the cyst grows significantly or causes complications, further treatment options might be considered, but currently, no specific medication is indicated.\n\n3. **Suggested Medical Test(s):**\n   Given the initial diagnosis, the following tests are likely already performed or may be considered for monitoring:\n    *   **Ultrasound:** This is a common initial test to visualize the cyst and assess its size and characteristics.\n    *   **CT Scan or MRI:** These imaging tests provide more detailed images of the kidney and cyst, helping to determine its size, shape, and location.\n    *   **Renal Function Tests:** Blood tests to assess kidney function (e.g., creatinine, BUN) are important to ensure the cyst isn't affecting kidney function.\n    *   **Periodic Ultrasound Follow-up:**  Regular ultrasounds to monitor the cyst's size and stability over time.\n\n\n**"
2254,"Doctor, I am experiencing some pain and soreness in my breast, along with some back pain and difficulty breathing. What could be the problem?","1. **Most Likely Disease:** Dengue fever, Problem during pregnancy, Abscess of the lung.
The patient exhibits pain or soreness of the breast, which aligns with dengue fever, back pain, which aligns with problem during pregnancy, and difficulty breathing, which is related to abscess of the lung

2. **Recommended Medication(s):**
*   Acetaminophen
*   Multivitamin, Prenatal
*   Budesonide

3. **Suggested Medical Test(s):**
*   CT scan abdomen (Ct of abdomen)
*   Standard pregnancy test
*   Radiographic imaging procedure","**\n\n1. **Most Likely Disease:**\nOvarian torsion is the most likely diagnosis. The patient presents with pain and soreness in the breast, back pain, and difficulty breathing. The knowledge graph consistently links these symptoms to ovarian torsion, requiring radiographic imaging and potentially other tests to confirm.\n\n2. **Recommended Medication(s):**\nGiven the potential for ovarian torsion, immediate medical attention is crucial. Treatment often involves pain management with analgesics like **ibuprofen** or **morphine**.  Surgery to relieve the torsion and restore blood flow to the ovary is frequently required.  Post-operative pain management will likely involve similar analgesics.  In some cases, hormonal medications might be considered to prevent recurrence.\n\n3. **Suggested Medical Test(s):**\n*   **Pelvic Ultrasound:** This is the primary test to visualize the ovaries and identify any torsion.\n*   **CT Scan of the Abdomen and Pelvis:**  This provides more detailed imaging and can help rule out other potential causes of the symptoms.\n*   **Hormonal Blood Tests:** To assess ovarian function and hormone levels.\n*   **Hematologic Tests (Blood Test):** To check for infection or inflammation.\n\n**"
2007,"Doctor, I've been experiencing shortness of breath, drainage in my throat, weakness in my wrist, and I've been coughing up blood. What could be the problem?","1. **Most Likely Disease:** Abscess of the lung. This is the most likely diagnosis as it is the only disease in the provided data that includes all the major symptoms: shortness of breath, drainage in the throat, wrist weakness (less directly related, but possible due to overall weakness), and coughing up blood (hemoptysis). Atelectasis, while having cough and shortness of breath, doesn't explain the hemoptysis, drainage in the throat or wrist weakness as well.

2. **Recommended Medication(s):**
* Meropenem
* Vancomycin
* Budesonide
* Dexamethasone Topical Product
* Docusate (Colace)

3. **Suggested Medical Test(s):**
* Radiographic imaging procedure
* X-ray computed tomography (Scan ct)
* Plain x-ray (X ray)
* Cardiac monitoring (Cardiac monitor)
* Hematologic tests (Blood test)
* Complete blood count (Cbc)
* Electrocardiogram","**\n\n1. **Most Likely Disease:** Based on the combination of shortness of breath, drainage in the throat, weakness in the wrist, and coughing up blood, the most likely disease is **Abscess of the Lung** with a strong possibility of **Thoracic Aortic Aneurysm**. The drainage in the throat, wrist weakness, and coughing up blood are all consistent with this condition. While Cysticercosis and Acute Sinusitis are also possibilities, they don’t fully explain all the symptoms.\n\n2. **Recommended Medication(s):**\n   *   **Antibiotics:** Broad-spectrum antibiotics (e.g., Ceftriaxone, Doxycycline) would be necessary to combat a potential lung abscess.\n   *   **Pain Management:** Analgesics like NSAIDs (Ibuprofen) or opioids (Morphine) for pain relief.\n   *   **Bronchodilators:** Medications like Albuterol to help open airways if there’s bronchospasm.\n   *   **Supportive Care:** Fluids and nutritional support to aid recovery.  If a thoracic aortic aneurysm is confirmed, specific medications to manage blood pressure and prevent rupture would be required (e.g., Beta-blockers, ACE inhibitors).\n\n3. **Suggested Medical Test(s):**\n   *   **Chest X-ray:** To visualize the lung and identify any abscesses or other abnormalities.\n   *   **CT Scan of the Chest:** Provides a more detailed image of the lungs and surrounding structures, crucial for assessing the extent of the abscess and ruling out other conditions.\n   *   **Blood Tests:** Complete Blood Count (CBC) to check for infection, and inflammatory markers (CRP, ESR).\n   *   **Blood Culture:** To identify any bacteria present in the bloodstream.\n   *   **Thoracic Aortic Aneurysm Imaging:** If suspicion is high, a CT angiogram or MRI of the chest is needed to evaluate the aorta.\n\n**"
1829,"Doctor, I have been experiencing sharp chest pain along with an irregular heartbeat. What could be the problem?","1. **Most Likely Disease:**
Coronary atherosclerosis. This is because it's the only disease in the provided data that lists *both* sharp chest pain and irregular heartbeat as symptoms. While other diseases include sharp chest pain, they do not also list irregular heartbeat.

2. **Recommended Medication(s):**
Aspirin

3. **Suggested Medical Test(s):**
Electrocardiogram","**\n\n1. **Most Likely Disease:**\nBased on the symptoms of sharp chest pain and irregular heartbeat, the most likely disease is **Atrial Fibrillation**. This is because the provided knowledge graph indicates that ‘Sharp_chest_pain’ is a symptom of Atrial Fibrillation, and Atrial Fibrillation is directly linked to ‘Irregular_heartbeat’. While other conditions like Coronary Atherosclerosis, Sick Sinus Syndrome, and Panic Disorder could also present with these symptoms, Atrial Fibrillation is the most direct connection in the available information.\n\n2. **Recommended Medication(s):**\nSeveral medications and treatments might be considered:\n*   **Beta-blockers** (e.g., Metoprolol, Atenolol): To slow the heart rate and reduce the severity of irregular heartbeats.\n*   **Antiarrhythmic drugs** (e.g., Amiodarone, Flecainide): To help regulate the heart rhythm.\n*   **Anticoagulants** (e.g., Warfarin, Apixaban):  Atrial fibrillation increases the risk of blood clots, so anticoagulants may be prescribed to prevent stroke.\n*   **Rate control medications** (e.g., Digoxin): To control the heart rate when it’s too fast.\n\n3. **Suggested Medical Test(s):**\n*   **Electrocardiogram (ECG/EKG):** To record the electrical activity of the heart and identify irregular rhythms.\n*   **Echocardiogram:** To assess the structure and function of the heart, looking for any abnormalities that might be contributing to the irregular heartbeat.\n*   **Holter Monitor:** A portable ECG device that records heart activity over 24-48 hours to detect intermittent arrhythmias.\n*   **Blood Tests:** Including a complete blood count (CBC), electrolytes, and a thyroid function test to rule out other potential causes.\n*   **Chest X-ray:** To evaluate the heart size and look for any lung problems that might be contributing to the chest pain.\n\n\n**"
1144,I have been diagnosed with primary kidney disease. What are the required medications for it? ,"Since you indicated there is no reference table available, I will answer using my own medical knowledge.

1. **Most Likely Disease:** Primary Kidney Disease. The prompt itself states the diagnosis, therefore, this is the most likely disease. ""Primary"" indicates the kidney disease originated in the kidneys themselves, rather than being caused by another underlying condition like diabetes or high blood pressure.

2. **Recommended Medication(s):**

*   ACE inhibitors (e.g., Lisinopril, Enalapril)
*   ARBs (e.g., Valsartan, Losartan)
*   Diuretics (e.g., Furosemide, Hydrochlorothiazide)
*   Corticosteroids (e.g., Prednisone)
*   Immunosuppressants (e.g., Cyclosporine, Mycophenolate mofetil)
*   Phosphate binders (e.g., Sevelamer, Lanthanum carbonate)
*   Erythropoiesis-stimulating agents (ESAs) (e.g., Epoetin alfa, Darbepoetin alfa)
*   Vitamin D analogs (e.g., Calcitriol)

3. **Suggested Medical Test(s):**

*   Urinalysis
*   Urine protein creatinine ratio
*   Estimated Glomerular Filtration Rate (eGFR)
*   Kidney ultrasound
*   Kidney biopsy
*   Blood urea nitrogen (BUN)
*   Serum creatinine
*   Electrolyte panel
*   Complete blood count (CBC)
*   Parathyroid hormone (PTH)
*   Vitamin D level","**\n\n1. **Most Likely Disease:**\nBased on the patient’s diagnosis of “primary kidney disease,” it’s impossible to pinpoint a single, specific disease without further information. “Primary kidney disease” is a broad term encompassing various conditions affecting the kidneys themselves, rather than being caused by another underlying illness. These can include conditions like glomerulonephritis, polycystic kidney disease, focal segmental glomerulosclerosis, and IgA nephropathy, among others.\n\n2. **Recommended Medication(s):**\nThe medications required for primary kidney disease depend entirely on the *specific* underlying cause. However, some common medications used to manage the symptoms and progression of these conditions include:\n*   **ACE inhibitors or ARBs:** These medications help control blood pressure and protect the kidneys.\n*   **Diuretics:** These medications help reduce fluid buildup in the body.\n*   **Phosphate binders:** These medications help control phosphate levels in the blood, which can be elevated in kidney disease.\n*   **Erythropoiesis-stimulating agents (ESAs):** These medications stimulate red blood cell production to treat anemia, a common complication of kidney disease.\n*   **Vitamin D supplements:** These supplements help regulate calcium and phosphate levels.\n\n3. **Suggested Medical Test(s):**\nTo confirm the diagnosis and determine the specific type of primary kidney disease, the following tests are typically recommended:\n*   **Blood tests:** Including creatinine, BUN, electrolytes, calcium, phosphorus, hemoglobin, and albumin.\n*   **Urine tests:** Including urinalysis and urine protein/creatinine ratio to assess kidney function and protein loss.\n*   **Kidney biopsy:** This procedure involves taking a small sample of kidney tissue to examine under a microscope and identify the specific cause of the disease.\n*   **Imaging tests:** Such as ultrasound, CT scan, or MRI, to visualize the kidneys and surrounding structures.\n\n\n**"
840,"Doctor, I have been experiencing severe back pain and stiffness. Sometimes the pain even radiates to my neck and shoulders. I also find it difficult to move my back freely.","1. **Most Likely Disease:** Spondylitis. The patient reports back pain, stiffness, and pain radiating to the neck and shoulders, along with limited back mobility. These symptoms strongly align with spondylitis, which involves inflammation of the vertebrae and can cause stiffness and referred pain. Fibromyalgia is also possible as it includes back pain, neck pain, and shoulder pain. However, the stiffness and limited movement described by the patient are more characteristic of spondylitis.

2. **Recommended Medication(s):**
* Cyclobenzaprine
* Diazepam (Valium)
* Carisoprodol (Soma)
* Orphenadrine (Flexon)
* Methocarbamol
* Tizanidine

3. **Suggested Medical Test(s):**
* Plain x-ray (X ray)
* Physical therapy exercises (Exercises)
* Magnetic resonance imaging (Mri)","**\n\n1. **Most Likely Disease:** Spondylitis. The patient’s symptoms – severe back pain, stiffness, radiating pain to the neck and shoulders, and difficulty moving freely – strongly align with the characteristics of Spondylitis. The knowledge graph repeatedly links back pain to Spondylitis and associates it with stiffness and movement difficulties.\n\n2. **Recommended Medication(s):**  Given the likely diagnosis of Spondylitis, treatment options could include:\n    *   **NSAIDs (Nonsteroidal Anti-inflammatory Drugs):**  Ibuprofen, naproxen to reduce pain and inflammation.\n    *   **Corticosteroids:** Prednisone (oral or injection) for more severe inflammation.\n    *   **Physical Therapy:** Exercises to strengthen back muscles and improve flexibility.\n    *   **Analgesics:** Acetaminophen for pain relief.\n\n3. **Suggested Medical Test(s):** To confirm the diagnosis and rule out other potential causes, the following tests are recommended:\n    *   **X-rays of the Spine:** To visualize the bones and identify any structural abnormalities.\n    *   **MRI (Magnetic Resonance Imaging) of the Spine:** Provides detailed images of the soft tissues, including discs and nerves, to assess for inflammation, damage, or compression.\n    *   **Blood Tests:** To check for inflammatory markers (e.g., ESR, CRP) and rule out other conditions.\n    *   **Neurological Examination:** To assess nerve function and rule out nerve compression.\n\n\n\n**"
4468,"Doctor, I recently had an ultrasound and they found a mass on my kidney. What could this mean?","1. **Most Likely Disease:** Liver cancer. The table lists ""Kidney mass"" as a symptom and ""Ultrasonography (Ultrasound)"" as a medical test associated with Liver cancer. The patient's ultrasound found a kidney mass.

2. **Recommended Medication(s):**
   * Spironolactone

3. **Suggested Medical Test(s):**
   * Ultrasonography (Ultrasound)
   * Magnetic resonance imaging (MRI)","**\n\n1. **Most Likely Disease:**\nBased on the provided information, the most likely disease is **Von Hippel-Lindau disease (VHL)**. The ultrasound finding of a kidney mass is strongly associated with this condition, as indicated by Path Evidence 1. While liver cancer is also listed as a possible association, VHL is a more direct and common connection for kidney masses.\n\n2. **Recommended Medication(s):**\nCurrently, there isn’t a cure for VHL. Treatment focuses on managing the symptoms and preventing complications. Options include:\n    *   **Beta-blockers** (e.g., propranolol): To manage headaches, which are common in VHL.\n    *   **Somatostatin analogs** (e.g., octreotide): To slow the growth of tumors.\n    *   **Avastin (bevacizumab):** An angiogenesis inhibitor that can shrink tumors.\n    *   **Surgery:** To remove tumors if they are causing symptoms.\n    *   **Radiation therapy:** May be used in some cases.\n\n3. **Suggested Medical Test(s):**\nTo confirm the diagnosis and assess the extent of the disease, the following tests are recommended:\n    *   **Genetic testing:** To identify VHL gene mutations.\n    *   **Angiography:** To visualize blood vessels and detect vascular abnormalities associated with VHL.\n    *   **CT scan or MRI:** To assess the size and location of the kidney mass and look for other tumors in the body.\n    *   **Biopsy:** To obtain a tissue sample for microscopic examination to confirm the diagnosis and determine the type of tumor.\n\n\n**"
713,"Doctor, I was diagnosed with diabetic ketoacidosis. What tests do I need to take?<EOS>","Since there is no reference table provided, I will answer based on my medical knowledge.

1. **Most Likely Disease:** Diabetic Ketoacidosis (DKA). The patient states they were diagnosed with it.

2. **Recommended Medication(s):**
    * Insulin
    * IV fluids (e.g., Normal Saline)
    * Potassium chloride (if needed)
    * Sodium bicarbonate (in specific circumstances)

3. **Suggested Medical Test(s):**
    * Blood glucose
    * Serum ketones
    * Arterial blood gas (ABG)
    * Electrolyte panel (Sodium, Potassium, Chloride, Bicarbonate)
    * Blood urea nitrogen (BUN) and Creatinine
    * Complete blood count (CBC)
    * Urinalysis
    * EKG
    * Serum Osmolality","**\n\n1. **Most Likely Disease:** Diabetic Ketoacidosis (DKA)\n\n   DKA is a serious complication of diabetes characterized by high blood sugar, ketone buildup in the blood, and metabolic acidosis. The patient’s diagnosis confirms this.\n\n2. **Recommended Medication(s):**  The primary treatment for DKA involves fluid replacement, electrolyte correction, and insulin administration. Specific medications might include:\n    *   **Insulin:** Regular insulin is crucial to lower blood glucose and stop ketone production.\n    *   **Sodium Bicarbonate:** May be administered in severe cases to correct metabolic acidosis.\n    *   **Potassium Supplements:**  Insulin shifts potassium into cells, so supplementation is often needed.\n\n3. **Suggested Medical Test(s):** To confirm the diagnosis and assess the severity of DKA, the following tests are essential:\n    *   **Blood Glucose:** To measure blood sugar levels.\n    *   **Ketone Levels (Blood or Urine):** To detect ketone presence.\n    *   **Electrolyte Panel (Sodium, Potassium, Chloride, Bicarbonate):** To assess electrolyte imbalances.\n    *   **Arterial Blood Gas (ABG):** To measure blood pH and bicarbonate levels, confirming metabolic acidosis.\n    *   **Complete Metabolic Panel (CMP):** To evaluate kidney function and other metabolic parameters.\n\n\n\n**"
