Q_ID,Question,Reference_Answer,Answer
5239,"Doctor, I'm experiencing some strange symptoms. I've been acting hostile towards my family, and I'm having problems with my movement. Also, I've noticed that I've been slurring my words lately.","1. **Most Likely Disease:** Substance-related mental disorder. While both stroke and substance-related mental disorder share the ""problems with movement"" symptom, substance-related mental disorder is the only disease listed with ""hostile behavior"" as a symptom, which the patient is experiencing. Slurred speech could potentially be related to a substance.

2. **Recommended Medication(s):**
    *   Lorazepam

3. **Suggested Medical Test(s):**
    *   Hematologic tests (Blood test)","**\n\n1. **Most Likely Disease:**\nBased on the combination of hostile behavior, movement problems, and slurred speech, the most likely disease is **Stroke**. The provided knowledge graph suggests a connection between these symptoms – “Problems_with_movement” can be caused by “Stroke,” and “Stroke” can lead to “Slurring_words.” While “Subdural hemorrhage” and “Substance-related mental disorder” are also possibilities, the constellation of symptoms points more strongly towards a cerebrovascular event.\n\n2. **Recommended Medication(s):**\nGiven the potential for stroke, immediate action is crucial.  Here’s a breakdown of potential medications and treatments:\n*   **Thrombolytics (e.g., Alteplase):** If the stroke is ischemic (caused by a blood clot), these medications can dissolve the clot and restore blood flow. *Administration must be within a specific time window.*\n*   **Antiplatelet Agents (e.g., Aspirin, Clopidogrel):** To prevent further clot formation.\n*   **Anticoagulants (e.g., Warfarin, Heparin):**  May be used in certain stroke types.\n*   **Supportive Care:**  This includes managing blood pressure, blood sugar, and other vital signs. Physical therapy, occupational therapy, and speech therapy are essential for rehabilitation.\n*   **Antidepressants/Anxiolytics:**  Given the reported hostile behavior, addressing any underlying mood or anxiety issues with medications like Sertraline or Alprazolam might be necessary, but this should be considered *after* the acute stroke situation is stabilized.\n\n3. **Suggested Medical Test(s):**\n*   **CT Scan of the Head:**  This is the initial test to quickly identify bleeding in the brain (subdural hemorrhage) or evidence of stroke.\n*   **MRI of the Brain:** Provides a more detailed image of the brain and can detect subtle signs of stroke that might be missed on a CT scan.\n*   **Electrocardiogram (ECG):** To assess heart rhythm, as atrial fibrillation is a common cause of stroke.\n*   **Blood Tests:** Including a complete blood count (CBC), electrolytes, coagulation studies (PT/INR, PTT), and cardiac enzymes to evaluate for underlying conditions.\n*   **Neurological Examination:** A thorough assessment of motor skills, reflexes, sensation, and cognitive function.\n*   **Speech Assessment:** To evaluate the extent of the slurring and any associated speech difficulties.\n\n\n\n**"
913,"Hi Doctor, I've been feeling very weak and fatigued lately. I also noticed that my muscles have been shrinking and I'm having trouble building muscle. ","1. **Most Likely Disease:** Fibromyalgia. The symptoms of fatigue and muscle pain/difficulty building muscle align with the symptoms listed for fibromyalgia. While muscle wasting can occur in other conditions, it's not a primary feature listed in the table for Cirrhosis, whereas muscle pain and fatigue are core symptoms of Fibromyalgia.

2. **Recommended Medication(s):**
* Pregabalin (Lyrica)
* Tizanidine
* Nortriptyline
* Milnacipran (Savella)
* Chlorzoxazone
* Oxymorphone (Opana)

3. **Suggested Medical Test(s):**
* Physical therapy exercises (Exercises)
* Magnetic resonance imaging (Mri)
* Bone density scan
* Depression screen (Depression screening)","**\n\n1. **Most Likely Disease:** Based on the combination of weakness, fatigue, muscle shrinkage, and difficulty building muscle, the most likely disease is **Fibromyalgia**. The evidence points to muscle pain, headaches, and potential association with other conditions like Restless Leg Syndrome, which are common features of Fibromyalgia.\n\n2. **Recommended Medication(s):**  Given the likely diagnosis of Fibromyalgia, treatment typically involves a multi-faceted approach. Potential medications include:\n    *   **Duloxetine:** An antidepressant that can help manage pain and fatigue.\n    *   **Pregabalin or Gabapentin:** Anticonvulsants that can reduce nerve pain.\n    *   **Tramadol:** A centrally acting analgesic (use with caution due to potential for dependence).\n    *   **Muscle relaxants:** Such as cyclobenzaprine, may be used to alleviate muscle spasms.\n    *   **Physical therapy and exercise:** Crucial for improving muscle strength and function.\n\n3. **Suggested Medical Test(s):** To confirm the diagnosis and rule out other potential causes, the following tests are recommended:\n    *   **Complete Blood Count (CBC):** To assess overall health and rule out anemia, which can contribute to fatigue.\n    *   **Comprehensive Metabolic Panel (CMP):** To evaluate kidney and liver function, as well as electrolyte balance.\n    *   **Thyroid Function Tests (TSH, Free T4):** To rule out thyroid disorders, which can cause fatigue and muscle weakness.\n    *   **Vitamin D Level:** Low vitamin D levels can contribute to muscle pain and weakness.\n    *   **Magnetic Resonance Imaging (MRI) of the Musculoskeletal System:** To rule out other conditions like arthritis or spinal cord issues.\n    *   **Neurological Examination:** To assess nerve function and rule out peripheral neuropathy.\n\n\n\n**"
205,"Hi doctor, I am experiencing some pain in my lower abdomen and after a few tests, I have been diagnosed with a benign kidney cyst. What medical tests do I need to undergo now? ","Since there is no reference table provided, I will answer based on my medical knowledge.

1. **Most Likely Disease:** Benign Kidney Cyst. The patient has already been diagnosed with this based on tests. While lower abdominal pain can have many causes, the question specifically states a diagnosis of a benign kidney cyst. Further testing is to monitor the cyst and rule out complications or other potential causes of the pain.

2. **Recommended Medication(s):**
    *   Pain relievers (e.g., Acetaminophen, Ibuprofen)

3. **Suggested Medical Test(s):**
    *   Repeat Ultrasound
    *   CT Scan of Abdomen and Pelvis
    *   MRI of Abdomen and Pelvis
    *   Urinalysis
    *   Blood Pressure Measurement","**\n\n1. **Most Likely Disease:**\nBenign kidney cyst. The patient has already been diagnosed with a benign kidney cyst. While the pain is a new symptom, the cyst itself is the primary diagnosis.\n\n2. **Recommended Medication(s):**\nSince a benign kidney cyst typically doesn’t require medication, treatment focuses on monitoring.  If the cyst causes pain or complications, pain relievers (like acetaminophen or ibuprofen) might be used as needed.  There are no medications to “cure” a benign cyst; the goal is to manage symptoms and watch for any changes.\n\n3. **Suggested Medical Test(s):**\nGiven the new onset of pain, further investigation is warranted.  The following tests could be helpful:\n*   **Ultrasound:** To visualize the cyst and assess its size and characteristics.\n*   **CT Scan or MRI:**  Provides more detailed images of the kidney and surrounding structures, helping to rule out other potential causes of the pain and assess the cyst’s stability.\n*   **Urine Analysis and Urine Culture:** To rule out urinary tract infection, which can sometimes cause pain and be associated with kidney cysts.\n*   **Blood Tests:**  Complete blood count (CBC) and kidney function tests (BUN, creatinine) to assess overall health.\n\n\n**"
2254,"Doctor, I am experiencing some pain and soreness in my breast, along with some back pain and difficulty breathing. What could be the problem?","1. **Most Likely Disease:** Dengue fever, Problem during pregnancy, Abscess of the lung.
The patient exhibits pain or soreness of the breast, which aligns with dengue fever, back pain, which aligns with problem during pregnancy, and difficulty breathing, which is related to abscess of the lung

2. **Recommended Medication(s):**
*   Acetaminophen
*   Multivitamin, Prenatal
*   Budesonide

3. **Suggested Medical Test(s):**
*   CT scan abdomen (Ct of abdomen)
*   Standard pregnancy test
*   Radiographic imaging procedure","**\n\n1. **Most Likely Disease:** Based on the combination of breast pain/soreness, back pain, and difficulty breathing, the most likely disease is **Ovarian Torsion**. The evidence suggests a pathway where breast pain can be linked to this condition, potentially leading to back pain and difficulty breathing. While other conditions like Dengue fever or Lead poisoning are mentioned, the combination of symptoms strongly points towards Ovarian Torsion, requiring immediate medical attention.\n\n2. **Recommended Medication(s):**  Given the potential for Ovarian Torsion, immediate medical intervention is crucial.  Medications are secondary to surgical management.  However, pain management might include:\n    *   **NSAIDs (e.g., Ibuprofen, Naproxen):** To reduce pain and inflammation.\n    *   **Opioids (e.g., Morphine, Tramadol):** For severe pain, used cautiously.\n    *   **Antiemetics:** To manage nausea, which can be a symptom of the condition.\n\n3. **Suggested Medical Test(s):**\n    *   **Pelvic Ultrasound:** To visualize the ovaries and identify any torsion.\n    *   **Complete Blood Count (CBC):** To assess for infection or inflammation.\n    *   **Hormone Levels (e.g., CA-125):**  May be elevated in cases of ovarian torsion.\n    *   **Hematologic Tests (Blood Test):** As mentioned in Path Evidence 4 and 6, to check for any abnormalities.\n\n\n\n**"
2007,"Doctor, I've been experiencing shortness of breath, drainage in my throat, weakness in my wrist, and I've been coughing up blood. What could be the problem?","1. **Most Likely Disease:** Abscess of the lung. This is the most likely diagnosis as it is the only disease in the provided data that includes all the major symptoms: shortness of breath, drainage in the throat, wrist weakness (less directly related, but possible due to overall weakness), and coughing up blood (hemoptysis). Atelectasis, while having cough and shortness of breath, doesn't explain the hemoptysis, drainage in the throat or wrist weakness as well.

2. **Recommended Medication(s):**
* Meropenem
* Vancomycin
* Budesonide
* Dexamethasone Topical Product
* Docusate (Colace)

3. **Suggested Medical Test(s):**
* Radiographic imaging procedure
* X-ray computed tomography (Scan ct)
* Plain x-ray (X ray)
* Cardiac monitoring (Cardiac monitor)
* Hematologic tests (Blood test)
* Complete blood count (Cbc)
* Electrocardiogram","**\n\n1. **Most Likely Disease:** Based on the combination of shortness of breath, drainage in the throat, weakness in the wrist, and coughing up blood, the most likely disease is **Abscess of the Lung**. The drainage in the throat, shortness of breath, and coughing up blood are all consistent with a lung infection and potential abscess formation. Wrist weakness could be a secondary symptom related to systemic inflammation or complications.\n\n2. **Recommended Medication(s):**\n   *   **Budesonide:** As indicated in Path Evidence 6, Budesonide is a medication that could potentially cure Asthma, which is a possible complication.\n   *   **Combivent:** As indicated in Path Evidence 7, Combivent is a medication that could potentially cure Asthma, which is a possible complication.\n   *   **Antibiotics:** Given the potential for an abscess, broad-spectrum antibiotics would be necessary to combat the infection. (Specific antibiotic choice would depend on culture results).\n   *   **Pain Management:** Medications like ibuprofen or acetaminophen could help manage pain and fever.\n\n3. **Suggested Medical Test(s):**\n   *   **Plain X-ray (X-ray) of the Chest:** As indicated in Path Evidence 5, a Plain X-ray (X-ray) is recommended to check for the disease.\n   *   **CT Scan of the Chest:** A CT scan would provide a more detailed image of the lungs and surrounding tissues, helping to confirm the presence of an abscess and assess its extent.\n   *   **Blood Tests:** Complete blood count (CBC) to check for signs of infection, and inflammatory markers (CRP, ESR).\n   *   **Sputum Culture:** To identify the specific bacteria or fungi causing the infection and guide antibiotic selection.\n\n\n\n**"
1829,"Doctor, I have been experiencing sharp chest pain along with an irregular heartbeat. What could be the problem?","1. **Most Likely Disease:**
Coronary atherosclerosis. This is because it's the only disease in the provided data that lists *both* sharp chest pain and irregular heartbeat as symptoms. While other diseases include sharp chest pain, they do not also list irregular heartbeat.

2. **Recommended Medication(s):**
Aspirin

3. **Suggested Medical Test(s):**
Electrocardiogram","**\n\n1. **Most Likely Disease:**\nBased on the symptoms of sharp chest pain and irregular heartbeat, the patient could have **Coronary Atherosclerosis**. This is the most concerning possibility given the combination of symptoms, as it’s a common cause of both chest pain (angina) and arrhythmias. The other possibilities (Panic Disorder, Sick Sinus Syndrome, and Atrial Fibrillation) are also potential contributors, but coronary artery disease warrants immediate investigation.\n\n2. **Recommended Medication(s):**\n*   **Aspirin:** To help prevent blood clots.\n*   **Beta-blockers:** To slow the heart rate and reduce chest pain.\n*   **ACE inhibitors or ARBs:** To lower blood pressure and protect the heart.\n*   **Statins:** To lower cholesterol levels and stabilize plaque in the arteries.\n*   **Antiarrhythmic medications:** Depending on the type of irregular heartbeat, medications like amiodarone or flecainide might be prescribed.\n\n3. **Suggested Medical Test(s):**\n*   **Electrocardiogram (ECG/EKG):** To assess the heart's electrical activity and identify arrhythmias.\n*   **Echocardiogram:** To visualize the heart's structure and function, looking for signs of reduced pumping ability or valve problems.\n*   **Stress Test:** To evaluate blood flow to the heart during exercise.\n*   **Blood Tests:** Including cardiac enzymes (troponin) to rule out a heart attack, cholesterol levels, and complete blood count.\n*   **Coronary Angiogram:**  A more invasive test to visualize the coronary arteries and identify blockages.\n\n\n**"
1144,I have been diagnosed with primary kidney disease. What are the required medications for it? ,"Since you indicated there is no reference table available, I will answer using my own medical knowledge.

1. **Most Likely Disease:** Primary Kidney Disease. The prompt itself states the diagnosis, therefore, this is the most likely disease. ""Primary"" indicates the kidney disease originated in the kidneys themselves, rather than being caused by another underlying condition like diabetes or high blood pressure.

2. **Recommended Medication(s):**

*   ACE inhibitors (e.g., Lisinopril, Enalapril)
*   ARBs (e.g., Valsartan, Losartan)
*   Diuretics (e.g., Furosemide, Hydrochlorothiazide)
*   Corticosteroids (e.g., Prednisone)
*   Immunosuppressants (e.g., Cyclosporine, Mycophenolate mofetil)
*   Phosphate binders (e.g., Sevelamer, Lanthanum carbonate)
*   Erythropoiesis-stimulating agents (ESAs) (e.g., Epoetin alfa, Darbepoetin alfa)
*   Vitamin D analogs (e.g., Calcitriol)

3. **Suggested Medical Test(s):**

*   Urinalysis
*   Urine protein creatinine ratio
*   Estimated Glomerular Filtration Rate (eGFR)
*   Kidney ultrasound
*   Kidney biopsy
*   Blood urea nitrogen (BUN)
*   Serum creatinine
*   Electrolyte panel
*   Complete blood count (CBC)
*   Parathyroid hormone (PTH)
*   Vitamin D level","**\n\n1. **Most Likely Disease:**\nBased on the provided knowledge, the patient has been diagnosed with **primary kidney disease**. The knowledge graph indicates that primary kidney disease can lead to symptoms like shortness of breath and is associated with conditions like cirrhosis and asthma.  While the graph doesn’t detail the *type* of primary kidney disease, it establishes the core diagnosis.\n\n2. **Recommended Medication(s):**\nThe knowledge graph suggests medications for associated conditions. For example, “Asthma” needs “Prednisone”.  However, primary kidney disease itself doesn’t have a single “cure” medication. Treatment focuses on managing symptoms and slowing progression. Potential medications include:\n    *   **ACE inhibitors or ARBs:** To control blood pressure, a common complication of kidney disease.\n    *   **Diuretics:** To manage fluid retention.\n    *   **Phosphate binders:** To control phosphate levels in the blood.\n    *   **Erythropoiesis-stimulating agents (ESAs):** To treat anemia, a frequent side effect of kidney disease.\n    *   **Vitamin D supplements:** To maintain bone health.\n\n3. **Suggested Medical Test(s):**\nTo confirm the diagnosis and determine the specific type of primary kidney disease, the following tests are recommended:\n    *   **Blood tests:** Including creatinine, BUN, electrolytes, and complete blood count (CBC) to assess kidney function and identify complications.\n    *   **Urine tests:**  Urinalysis and urine protein/creatinine ratio to detect protein in the urine (proteinuria), a key indicator of kidney damage.\n    *   **Kidney biopsy:**  May be necessary to determine the specific cause of the kidney disease.\n    *   **Imaging studies:** Ultrasound or CT scan to visualize the kidneys and rule out obstructions.\n\n\n\n**"
840,"Doctor, I have been experiencing severe back pain and stiffness. Sometimes the pain even radiates to my neck and shoulders. I also find it difficult to move my back freely.","1. **Most Likely Disease:** Spondylitis. The patient reports back pain, stiffness, and pain radiating to the neck and shoulders, along with limited back mobility. These symptoms strongly align with spondylitis, which involves inflammation of the vertebrae and can cause stiffness and referred pain. Fibromyalgia is also possible as it includes back pain, neck pain, and shoulder pain. However, the stiffness and limited movement described by the patient are more characteristic of spondylitis.

2. **Recommended Medication(s):**
* Cyclobenzaprine
* Diazepam (Valium)
* Carisoprodol (Soma)
* Orphenadrine (Flexon)
* Methocarbamol
* Tizanidine

3. **Suggested Medical Test(s):**
* Plain x-ray (X ray)
* Physical therapy exercises (Exercises)
* Magnetic resonance imaging (Mri)","**\n\n1. **Most Likely Disease:**\nBased on the symptoms of severe back pain, stiffness, radiating pain to the neck and shoulders, and difficulty moving the back freely, the most likely disease is **Spondylitis**. The knowledge graph indicates that back pain and stiffness are symptoms of Spondylitis.\n\n2. **Recommended Medication(s):**\nConsidering Spondylitis, potential medications and treatments include:\n*   **NSAIDs (Nonsteroidal Anti-inflammatory Drugs):** Such as ibuprofen or naproxen, to reduce pain and inflammation.\n*   **Disease-Modifying Antirheumatic Drugs (DMARDs):** Medications like methotrexate or sulfasalazine may be considered to slow the progression of the disease.\n*   **Physical Therapy:** Exercises and stretches to improve mobility and strengthen muscles.\n*   **Topical Creams:** Capsaicin cream or other topical analgesics for localized pain relief.\n\n3. **Suggested Medical Test(s):**\nTo confirm the diagnosis of Spondylitis, the following tests are recommended:\n*   **X-rays of the Spine:** To assess for structural changes and inflammation.\n*   **MRI (Magnetic Resonance Imaging) of the Spine:** Provides detailed images of the spinal cord, discs, and nerves, helping to identify inflammation, degeneration, or other abnormalities.\n*   **Blood Tests:** To check for inflammatory markers like ESR (erythrocyte sedimentation rate) and CRP (C-reactive protein).\n*   **Neurological Examination:** To assess nerve function and rule out nerve compression.\n\n\n\n**"
4468,"Doctor, I recently had an ultrasound and they found a mass on my kidney. What could this mean?","1. **Most Likely Disease:** Liver cancer. The table lists ""Kidney mass"" as a symptom and ""Ultrasonography (Ultrasound)"" as a medical test associated with Liver cancer. The patient's ultrasound found a kidney mass.

2. **Recommended Medication(s):**
   * Spironolactone

3. **Suggested Medical Test(s):**
   * Ultrasonography (Ultrasound)
   * Magnetic resonance imaging (MRI)","**\n\n1. **Most Likely Disease:**\nBased on the provided information, the most likely disease is **Von Hippel-Lindau disease (VHL)**. The ultrasound finding of a kidney mass is strongly associated with this condition, as indicated by Path Evidence 1. While liver cancer is also listed as a possible association, VHL is a more common initial consideration for kidney masses.\n\n2. **Recommended Medication(s):**\nCurrently, there is no cure for VHL. Treatment focuses on managing the symptoms and preventing complications. Options include:\n    *   **Beta-blockers** (e.g., propranolol): To manage headaches, which are common in VHL.\n    *   **Somatostatin analogs** (e.g., octreotide): To slow the growth of tumors.\n    *   **Avastin (bevacizumab):** An angiogenesis inhibitor that can shrink tumors.\n    *   **Surgery:** To remove tumors if they are causing symptoms or at high risk of bleeding.\n    *   **Radiation therapy:** May be used in some cases.\n\n3. **Suggested Medical Test(s):**\nTo confirm the diagnosis and assess the extent of the disease, the following tests are recommended:\n    *   **Genetic testing:** To identify VHL gene mutations.\n    *   **Angiography:** To visualize blood vessels in the kidneys and detect aneurysms.\n    *   **CT scan or MRI:** To assess the size and location of the kidney mass and look for involvement of other organs (e.g., brain, spinal cord).\n    *   **Biopsy:** To obtain a tissue sample for microscopic examination to confirm the diagnosis and determine the type of tumor.\n\n\n**"
713,"Doctor, I was diagnosed with diabetic ketoacidosis. What tests do I need to take?<EOS>","Since there is no reference table provided, I will answer based on my medical knowledge.

1. **Most Likely Disease:** Diabetic Ketoacidosis (DKA). The patient states they were diagnosed with it.

2. **Recommended Medication(s):**
    * Insulin
    * IV fluids (e.g., Normal Saline)
    * Potassium chloride (if needed)
    * Sodium bicarbonate (in specific circumstances)

3. **Suggested Medical Test(s):**
    * Blood glucose
    * Serum ketones
    * Arterial blood gas (ABG)
    * Electrolyte panel (Sodium, Potassium, Chloride, Bicarbonate)
    * Blood urea nitrogen (BUN) and Creatinine
    * Complete blood count (CBC)
    * Urinalysis
    * EKG
    * Serum Osmolality","**\n\n1. **Most Likely Disease:** Diabetic Ketoacidosis (DKA). This is indicated by the patient’s diagnosis. DKA is a serious complication of diabetes characterized by high blood sugar, ketone buildup in the blood, and metabolic acidosis.\n\n2. **Recommended Medication(s):**\n   *   **Insulin:**  Rapid-acting insulin is crucial to lower blood glucose levels and stop ketone production.\n   *   **Intravenous Fluids:**  To correct dehydration and electrolyte imbalances.\n   *   **Potassium Supplementation:**  Insulin shifts potassium into cells, potentially leading to dangerously low levels.\n   *   **Sodium Bicarbonate:** May be used in severe cases to correct metabolic acidosis.\n\n3. **Suggested Medical Test(s):**\n   *   **Blood Glucose Level:** To measure the severity of hyperglycemia.\n   *   **Ketone Level (Blood or Urine):** To confirm the presence of ketosis.\n   *   **Electrolyte Panel (Sodium, Potassium, Chloride, Bicarbonate):** To assess electrolyte imbalances.\n   *   **Arterial Blood Gas (ABG):** To evaluate acid-base balance.\n   *   **Complete Metabolic Panel (CMP):** To assess kidney function and other metabolic parameters.\n\n\n\n**"
