Index,Question,Q_Disease,Q_Medical_Test,Q_Medication,Q_Symptom,Answer,A_Disease,A_Medical_Test,A_Medication,A_Symptom
5239,"Doctor, I'm experiencing some strange symptoms. I've been acting hostile towards my family, and I'm having problems with my movement. Also, I've noticed that I've been slurring my words lately.",0.0,0.0,0.0,100.0,"Based on what you've described, it sounds like you may be experiencing delirium, which is a state of mental confusion that can cause changes in behavior, movement problems and difficulty speaking clearly. We'll need to run some tests to determine the underlying cause, but it's important that we act quickly to manage your symptoms and prevent any complications.",0.0,12.5,0.0,87.5
913,"Hi Doctor, I've been feeling very weak and fatigued lately. I also noticed that my muscles have been shrinking and I'm having trouble building muscle. ",0.0,0.0,0.0,100.0,"It sounds like you may be experiencing protein deficiency. I recommend that you take a combination of medications including Polyethylene Glycol 3350 (Miralax), Ursodiol (Urso), Paclitaxel (Taxol), Thiamine, Potassium Chloride, Tiotropium (Spiriva), Mupirocin Topical, Amifostine, Fondaparinux (Arixtra), Docetaxel, Papain-Urea Topical, and Cetuximab (Erbitux).",7.6923076923076925,0.0,92.3076923076923,0.0
205,"Hi doctor, I am experiencing some pain in my lower abdomen and after a few tests, I have been diagnosed with a benign kidney cyst. What medical tests do I need to undergo now? ",0.0,33.33333333333333,0.0,66.66666666666666,"To get more information about the condition and the extent of the cyst, we will need to conduct a few tests. We will need to do a radiographic imaging procedure, a urinalysis, hematologic tests or blood tests, X-ray computed tomography or scan ct, complete blood count or cbc, an electrolytes panel, and in some cases, intravenous fluid replacement.",0.0,100.0,0.0,0.0
2254,"Doctor, I am experiencing some pain and soreness in my breast, along with some back pain and difficulty breathing. What could be the problem?",0.0,0.0,0.0,100.0,"Based on the symptoms you've described, it seems like you might have Tietze syndrome.",100.0,0.0,0.0,0.0
2007,"Doctor, I've been experiencing shortness of breath, drainage in my throat, weakness in my wrist, and I've been coughing up blood. What could be the problem?",0.0,0.0,0.0,100.0,"Based on the symptoms you've described, it's possible that you have an abscess in your lung. We need to perform a chest X-ray and take a sample of your sputum to confirm the diagnosis. We'll also need to start you on antibiotics immediately.",25.0,25.0,25.0,25.0
1829,"Doctor, I have been experiencing sharp chest pain along with an irregular heartbeat. What could be the problem?",0.0,0.0,0.0,100.0,"Based on your symptoms, it looks like you may be suffering from a condition called coronary atherosclerosis. This occurs when plaque builds up in the arteries that supply blood to your heart muscles, causing chest pain (angina) and an irregular heartbeat.",20.0,20.0,20.0,40.0
1144,I have been diagnosed with primary kidney disease. What are the required medications for it? ,0.0,0.0,50.0,50.0,"You will need to take Prednisone, Mycophenolate Mofetil (Cellcept), Tacrolimus (Prograf), Valsartan (Diovan), Losartan, Hydroxychloroquine (Plaquenil), Valganciclovir (Valcyte), Nifedipine, Allopurinol, Clotrimazole Topical, Calcitriol, and Cyclosporine to manage your kidney disease.",0.0,7.6923076923076925,92.3076923076923,0.0
840,"Doctor, I have been experiencing severe back pain and stiffness. Sometimes the pain even radiates to my neck and shoulders. I also find it difficult to move my back freely.",0.0,0.0,0.0,100.0,"Based on your symptoms, it seems like you might have spondylitis. I would recommend a course of medications to alleviate your pain and stiffness. Please take Cyclobenzaprine, Diazepam (Valium), Carisoprodol (Soma), Orphenadrine (Flexon), Methocarbamol, Tizanidine, Bupivacaine, Metaxalone (Skelaxin), Methadone, Nabumetone, Chlorzoxazone, as prescribed by me.",7.142857142857142,0.0,78.57142857142857,14.285714285714285
4468,"Doctor, I recently had an ultrasound and they found a mass on my kidney. What could this mean?",0.0,0.0,0.0,100.0,"Based on your symptoms, it is possible that you have kidney cancer. We will need to run some tests to confirm the diagnosis.",0.0,50.0,0.0,50.0
713,"Doctor, I was diagnosed with diabetic ketoacidosis. What tests do I need to take?<EOS>",0.0,50.0,50.0,0.0,"You would need to take a series of medical tests to evaluate your condition. Your treatment would include intravenous fluid replacement, hematologic tests like complete blood count (CBC), glucose measurement to quantify the glucose levels in your blood, electrolytes panel to analyse sodium and potassium imbalances in your bloodstream, urinalysis to check for ketones or other signs of kidney damage, and kidney function tests to assess kidney health.",9.090909090909092,63.63636363636363,18.181818181818183,9.090909090909092
