Question_ID,Question,Reference_Ans,Answer
5239,"Doctor, I'm experiencing some strange symptoms. I've been acting hostile towards my family, and I'm having problems with my movement. Also, I've noticed that I've been slurring my words lately.","Based on what you've described, it sounds like you may be experiencing delirium, which is a state of mental confusion that can cause changes in behavior, movement problems and difficulty speaking clearly. We'll need to run some tests to determine the underlying cause, but it's important that we act quickly to manage your symptoms and prevent any complications.","**\n\nBased on the symptoms of hostility, problems with movement, and slurred speech, the patient may be experiencing a neurological issue such as a stroke or subdural hemorrhage. However, other possibilities like substance-related mental disorder need to be considered.\n\nTo confirm the diagnosis, the patient should undergo the following tests:\n*   Radiographic imaging procedure, specifically a CAT scan of the head (Head CT), to rule out subdural hemorrhage or stroke.\n*   Hematologic tests (Blood test) and Complete blood count (CBC) to check for any underlying blood disorders or infections.\n*   Toxicology screen to rule out poisoning or substance abuse.\n*   Electrocardiogram to assess for cardiac issues that might mimic neurological symptoms.\n\nRecommended medications depend on the confirmed diagnosis. If it is a subdural hemorrhage, medications like Vitamin K 1 (Mephyton) and Mannitol may be necessary. In the case of a stroke, immediate medical intervention with thrombolytics may be required. For substance-related mental disorder, Haloperidol or Olanzapine (Zyprexa) may be used.\n\n**"
913,"Hi Doctor, I've been feeling very weak and fatigued lately. I also noticed that my muscles have been shrinking and I'm having trouble building muscle. ","It sounds like you may be experiencing protein deficiency. I recommend that you take a combination of medications including Polyethylene Glycol 3350 (Miralax), Ursodiol (Urso), Paclitaxel (Taxol), Thiamine, Potassium Chloride, Tiotropium (Spiriva), Mupirocin Topical, Amifostine, Fondaparinux (Arixtra), Docetaxel, Papain-Urea Topical, and Cetuximab (Erbitux).","**\n\nBased on the symptoms described, the patient may have **Fibromyalgia**. The information suggests a potential link between weakness, fatigue, and muscle pain, which are hallmark symptoms of Fibromyalgia. To confirm the diagnosis, the patient should consider undergoing a **Magnetic Resonance Imaging (MRI)**, to rule out other conditions and visualize any potential abnormalities. While there's no known cure for Fibromyalgia, medications like **Vitamin E (Vita-E)** may help manage the symptoms.\n\n**"
205,"Hi doctor, I am experiencing some pain in my lower abdomen and after a few tests, I have been diagnosed with a benign kidney cyst. What medical tests do I need to undergo now? ","To get more information about the condition and the extent of the cyst, we will need to conduct a few tests. We will need to do a radiographic imaging procedure, a urinalysis, hematologic tests or blood tests, X-ray computed tomography or scan ct, complete blood count or cbc, an electrolytes panel, and in some cases, intravenous fluid replacement.","**\n\nBased on the information provided, and considering the lower abdominal pain alongside the benign kidney cyst, several possibilities and further tests should be considered. While the kidney cyst is benign, lower abdominal pain could indicate other issues. The provided knowledge graph suggests considering conditions like Peritonitis, Ovarian torsion (in females), and Vaginitis as potential sources of the pain.\n\nTo confirm the diagnosis and rule out other conditions, the patient should undergo the following medical tests:\n\n*   **Hematologic tests (Blood test):** As suggested by the path-based evidence linking abdominal pain and kidney mass to liver cancer, which requires hematologic tests.\n*   **Urinalysis:**  To assess kidney function and rule out urinary tract infections or other kidney-related issues.\n*   **Pelvis exam:** To rule out Ovarian torsion and Vaginitis.\n*   **Radiographic imaging procedure:** To have a clear picture of the cyst's development.\n*   **Kidney function tests (Kidney function test):**  To assess the kidneys.\n\nMedication would depend on the confirmed underlying cause of the lower abdominal pain. For example, if Vaginitis is diagnosed, medications like Metronidazole or Fluconazole may be prescribed. If peritonitis is suspected, antibiotics may be necessary.\n\n**"
2254,"Doctor, I am experiencing some pain and soreness in my breast, along with some back pain and difficulty breathing. What could be the problem?","Based on the symptoms you've described, it seems like you might have Tietze syndrome.","**\n\nBased on the symptoms described, the patient may have Restless leg syndrome, Dengue fever, Lead poisoning, Ovarian torsion, Congenital rubella, Peritonitis, Pyelonephritis, Fibromyalgia. To confirm the diagnosis, the patient should undergo a physical examination of the throat, Ultrasonography (Ultrasound), Pelvis exam, Hematologic tests (Blood test), Complete blood count (Cbc), Urinalysis, Radiographic imaging procedure, Standard pregnancy test, Corneal transplant, Transurethral resection of prostate (TURP) (Turp), Coronary thrombolysis, Control of epistaxis, CT scan abdomen (Ct of abdomen), Procedures on spleen (Spleen operation), Bone marrow transplant (Bmt). Recommended medications include Cefoxitin, Sevoflurane, Cyproheptadine, Propofol, Collagen, Clorazepate, Cellulose, Letrozole (Femara), Mecamylamine, Grepafloxacin (Raxar), Malathion Topical, Gemtuzumab (Mylotarg), Air, Troleandomycin, Indium Oxyquinoline In-111 (Indium In-111 Oxyquinoline), Pipecuronium (Arduan), Rabbit Anti-Human T-Lymphocyte Globulin (Thymoglobulin), Iopanoic Acid, Conjugated Estrogens Topical.\n\n**"
2007,"Doctor, I've been experiencing shortness of breath, drainage in my throat, weakness in my wrist, and I've been coughing up blood. What could be the problem?","Based on the symptoms you've described, it's possible that you have an abscess in your lung. We need to perform a chest X-ray and take a sample of your sputum to confirm the diagnosis. We'll also need to start you on antibiotics immediately.","\nBased on the symptoms of shortness of breath, drainage in the throat, weakness in the wrist, and coughing up blood, the patient might have an abscess of the lung. To confirm the diagnosis, the patient should undergo tests such as a chest X-ray or CT scan, sputum culture, and bronchoscopy. Recommended medications may include antibiotics to treat the infection. Further treatment might involve drainage of the abscess.\n\n"
1829,"Doctor, I have been experiencing sharp chest pain along with an irregular heartbeat. What could be the problem?","Based on your symptoms, it looks like you may be suffering from a condition called coronary atherosclerosis. This occurs when plaque builds up in the arteries that supply blood to your heart muscles, causing chest pain (angina) and an irregular heartbeat.","\nBased on the symptoms described, the patient may have Panic disorder, Coronary atherosclerosis, Sick sinus syndrome, or Atrial fibrillation. To confirm the diagnosis, the patient should undergo tests such as Psychotherapy, Mental health counseling, Electrocardiogram, Depression screen, Toxicology screen, Psychological and psychiatric evaluation and therapy, Ultrasonography, Echocardiography, Lipid panel, and Diagnostic cardiac catheterization; coronary arteriography. Recommended medications may include Lorazepam, Alprazolam (Xanax), Clonazepam, Paroxetine (Paxil), Venlafaxine (Effexor), Mirtazapine, Buspirone (Buspar), Fluvoxamine (Luvox), Imipramine, Desvenlafaxine (Pristiq), Clomipramine, Acamprosate (Campral), Warfarin, Digoxin, Sotalol, Amiodarone, Torsemide, Vitamin E (Vita-E), Bumetanide, Flecainide, Ibandronate (Boniva), Dofetilide (Tikosyn), Dopamine, and Isosorbide Mononitrate (Ismo).\n\n"
1144,I have been diagnosed with primary kidney disease. What are the required medications for it? ,"You will need to take Prednisone, Mycophenolate Mofetil (Cellcept), Tacrolimus (Prograf), Valsartan (Diovan), Losartan, Hydroxychloroquine (Plaquenil), Valganciclovir (Valcyte), Nifedipine, Allopurinol, Clotrimazole Topical, Calcitriol, and Cyclosporine to manage your kidney disease.","**\n\nBased on the provided information, it's difficult to directly connect \""primary kidney disease\"" to a specific disease within the knowledge graph. However, the knowledge graph does contain information about \""Cirrhosis\"" and \""Asthma.\"" Given the patient's diagnosis of \""primary kidney disease\"", it is impossible to use the knowledge graph to directly infer the disease.\n\nTests and medications are shown for \""Cirrhosis\"" and \""Asthma\"" separately.\n\nTo confirm the diagnosis of Cirrhosis, the patient should undergo Hematologic tests (Blood test), Complete blood count (Cbc), Glucose measurement (Glucose level), Electrolytes panel, Liver function tests (Liver test), Hemoglobin A1c measurement (Hemoglobin a1c test), and Lipid panel.\nRecommended medications for Cirrhosis include Thiamine, Lactulose, Ursodiol (Urso), Methadone, Spironolactone, Tacrolimus (Prograf), Mycophenolate Mofetil (Cellcept), Furosemide, Nadolol, Propranolol, Epoetin Alfa (Procrit), and Peginterferon Alfa-2B (Sylatron).\n\nTo confirm the diagnosis of Asthma, the patient should undergo Other diagnostic procedures (interview; evaluation; consultation), Plain x-ray (X ray), Nebulizer therapy, Arterial blood gases (ABGs), Influenzavirus antibody assay, Other respiratory therapy, and Other diagnostic procedures on skin and subcutaneous tissue.\nRecommended medications for Asthma include Beclomethasone Nasal Product, Albuterol, Prednisone, Montelukast (Singulair), Fluticasone Nasal Product, Ipratropium, Prednisolone, Budesonide, Levalbuterol (Xopenex), Combivent, and Terbutaline.\n\n**"
840,"Doctor, I have been experiencing severe back pain and stiffness. Sometimes the pain even radiates to my neck and shoulders. I also find it difficult to move my back freely.","Based on your symptoms, it seems like you might have spondylitis. I would recommend a course of medications to alleviate your pain and stiffness. Please take Cyclobenzaprine, Diazepam (Valium), Carisoprodol (Soma), Orphenadrine (Flexon), Methocarbamol, Tizanidine, Bupivacaine, Metaxalone (Skelaxin), Methadone, Nabumetone, Chlorzoxazone, as prescribed by me.","**\n\nBased on the symptoms described, the patient may have Spondylitis, also known as ankylosing spondylitis, which is a type of arthritis that affects the spine. To confirm the diagnosis, the patient should undergo imaging tests such as X-rays or MRI of the spine, as well as blood tests to check for inflammatory markers like ESR and CRP, and the HLA-B27 gene. Recommended medications for Spondylitis include NSAIDs (nonsteroidal anti-inflammatory drugs) for pain relief and stiffness, and possibly DMARDs (disease-modifying antirheumatic drugs) or biologics if the condition is severe or doesn't respond to NSAIDs. Physical therapy is also important.\n\n**"
4468,"Doctor, I recently had an ultrasound and they found a mass on my kidney. What could this mean?","Based on your symptoms, it is possible that you have kidney cancer. We will need to run some tests to confirm the diagnosis.","\n\nBased on the information provided, the mass on the kidney could indicate several possibilities, including kidney cancer or a benign growth. Given the available knowledge, Von Hippel-Lindau disease is also a possibility as it can cause kidney masses. To confirm the diagnosis, further tests are necessary, such as a biopsy, X-ray computed tomography (CT scan), and magnetic resonance imaging (MRI). While there aren't medications to \""cure\"" kidney masses directly from the provided data, potential medications related to Von Hippel-Lindau disease include Rabeprazole (Aciphex), Pimecrolimus Topical, Lactulose, Bimatoprost Ophthalmic, Brimonidine Ophthalmic, Travoprost (Travatan), Acetazolamide (Diamox), Nortriptyline, Albendazole, Fluticasone Topical Product, Oxcarbazepine (Trileptal), and Gemfibrozil to manage associated symptoms. However, treatment would highly depend on the confirmed diagnosis.\n\n"
713,"Doctor, I was diagnosed with diabetic ketoacidosis. What tests do I need to take?<EOS>","You would need to take a series of medical tests to evaluate your condition. Your treatment would include intravenous fluid replacement, hematologic tests like complete blood count (CBC), glucose measurement to quantify the glucose levels in your blood, electrolytes panel to analyse sodium and potassium imbalances in your bloodstream, urinalysis to check for ketones or other signs of kidney damage, and kidney function tests to assess kidney health.","\nBased on the information provided, the patient has been diagnosed with diabetic ketoacidosis (DKA). The provided knowledge graph information doesn't directly address DKA. Therefore, I cannot infer which tests are needed to confirm DKA or suggest medications to cure it based on the given information.\n\n"
